year,region_type,region_year_spec,region_id,region_level,arxiv_count
573,2010,NUTS,2010,PL22,2,36
574,2010,NUTS,2010,PL224,3,2
575,2010,NUTS,2010,PL22A,3,34
576,2010,NUTS,2010,PL3,1,54
577,2010,NUTS,2010,PL31,2,8
578,2010,NUTS,2010,PL314,3,8
579,2010,NUTS,2010,PL32,2,7
580,2010,NUTS,2010,PL325,3,7
581,2010,NUTS,2010,PL33,2,20
582,2010,NUTS,2010,PL331,3,20
583,2010,NUTS,2010,PL34,2,19
584,2010,NUTS,2010,PL343,3,19
585,2010,NUTS,2010,PL4,1,65
586,2010,NUTS,2010,PL41,2,44
587,2010,NUTS,2010,PL415,3,44
588,2010,NUTS,2010,PL42,2,8
589,2010,NUTS,2010,PL424,3,8
590,2010,NUTS,2010,PL43,2,13
591,2010,NUTS,2010,PL432,3,13
592,2010,NUTS,2010,PL5,1,101
593,2010,NUTS,2010,PL51,2,100
594,2010,NUTS,2010,PL514,3,100
595,2010,NUTS,2010,PL52,2,1
596,2010,NUTS,2010,PL522,3,1
597,2010,NUTS,2010,PL6,1,61
598,2010,NUTS,2010,PL61,2,36
599,2010,NUTS,2010,PL613,3,36
600,2010,NUTS,2010,PL62,2,3
601,2010,NUTS,2010,PL622,3,3
602,2010,NUTS,2010,PL63,2,22
603,2010,NUTS,2010,PL633,3,22
604,2010,NUTS,2010,PT,0,475
605,2010,NUTS,2010,PT1,1,469
606,2010,NUTS,2010,PT11,2,162
607,2010,NUTS,2010,PT113,3,32
608,2010,NUTS,2010,PT114,3,129
609,2010,NUTS,2010,PT117,3,1
610,2010,NUTS,2010,PT16,2,132
611,2010,NUTS,2010,PT161,3,48
612,2010,NUTS,2010,PT162,3,81
613,2010,NUTS,2010,PT165,3,1
614,2010,NUTS,2010,PT16A,3,2
615,2010,NUTS,2010,PT17,2,175
616,2010,NUTS,2010,PT171,3,175
617,2010,NUTS,2010,PT3,1,6
618,2010,NUTS,2010,PT30,2,6
619,2010,NUTS,2010,PT300,3,6
620,2010,NUTS,2010,RO,0,138
621,2010,NUTS,2010,RO1,1,7
622,2010,NUTS,2010,RO11,2,7
623,2010,NUTS,2010,RO111,3,3
624,2010,NUTS,2010,RO113,3,4
625,2010,NUTS,2010,RO2,1,5
626,2010,NUTS,2010,RO21,2,5
627,2010,NUTS,2010,RO213,3,5
628,2010,NUTS,2010,RO3,1,122
629,2010,NUTS,2010,RO31,2,1
630,2010,NUTS,2010,RO311,3,1
631,2010,NUTS,2010,RO32,2,121
632,2010,NUTS,2010,RO321,3,121
633,2010,NUTS,2010,RO4,1,4
634,2010,NUTS,2010,RO41,2,4
635,2010,NUTS,2010,RO411,3,4
636,2010,NUTS,2010,SE,0,1127
637,2010,NUTS,2010,SE1,1,713
638,2010,NUTS,2010,SE11,2,479
639,2010,NUTS,2010,SE110,3,479
640,2010,NUTS,2010,SE12,2,234
641,2010,NUTS,2010,SE121,3,201
642,2010,NUTS,2010,SE123,3,33
643,2010,NUTS,2010,SE2,1,345
644,2010,NUTS,2010,SE21,2,19
645,2010,NUTS,2010,SE213,3,19
646,2010,NUTS,2010,SE22,2,120
647,2010,NUTS,2010,SE221,3,6
648,2010,NUTS,2010,SE224,3,114
649,2010,NUTS,2010,SE23,2,206
650,2010,NUTS,2010,SE231,3,2
651,2010,NUTS,2010,SE232,3,204
652,2010,NUTS,2010,SE3,1,69
