,year,nuts_id,nuts_year_spec,biorxiv_count
702,2017.0,UKF3,2016,4
703,2017.0,UKG1,2016,50
704,2017.0,UKG2,2016,1
705,2017.0,UKG3,2016,82
706,2017.0,UKH1,2016,747
707,2017.0,UKH2,2016,31
708,2017.0,UKH3,2016,10
709,2017.0,UKI3,2016,493
710,2017.0,UKI4,2016,52
711,2017.0,UKI5,2016,7
712,2017.0,UKI6,2016,6
713,2017.0,UKI7,2016,12
714,2017.0,UKJ1,2016,405
715,2017.0,UKJ2,2016,47
716,2017.0,UKJ3,2016,27
717,2017.0,UKJ4,2016,25
718,2017.0,UKK1,2016,139
719,2017.0,UKK2,2016,4
720,2017.0,UKK3,2016,3
721,2017.0,UKK4,2016,45
722,2017.0,UKL1,2016,24
723,2017.0,UKL2,2016,46
724,2017.0,UKM5,2016,18
725,2017.0,UKM7,2016,255
726,2017.0,UKM8,2016,90
727,2017.0,UKN0,2016,18
728,2018.0,AT12,2016,33
729,2018.0,AT13,2016,153
730,2018.0,AT22,2016,21
731,2018.0,AT31,2016,6
732,2018.0,AT32,2016,13
733,2018.0,AT33,2016,20
734,2018.0,BE10,2016,72
735,2018.0,BE21,2016,46
736,2018.0,BE22,2016,7
737,2018.0,BE23,2016,108
738,2018.0,BE24,2016,13
739,2018.0,BE25,2016,1
740,2018.0,BE31,2016,33
741,2018.0,BE32,2016,2
742,2018.0,BE33,2016,22
743,2018.0,BE35,2016,1
744,2018.0,BG34,2016,1
745,2018.0,BG41,2016,41
746,2018.0,BG42,2016,1
747,2018.0,CH01,2016,427
748,2018.0,CH02,2016,110
749,2018.0,CH03,2016,124
750,2018.0,CH04,2016,401
751,2018.0,CH05,2016,3
752,2018.0,CH06,2016,1
753,2018.0,CH07,2016,2
754,2018.0,CY00,2016,19
755,2018.0,CZ01,2016,57
756,2018.0,CZ02,2016,15
757,2018.0,CZ03,2016,2
758,2018.0,CZ05,2016,22
759,2018.0,CZ06,2016,41
760,2018.0,CZ07,2016,5
761,2018.0,CZ08,2016,3
762,2018.0,DE11,2016,19
763,2018.0,DE12,2016,221
764,2018.0,DE13,2016,77
765,2018.0,DE14,2016,126
766,2018.0,DE21,2016,693
767,2018.0,DE23,2016,23
768,2018.0,DE24,2016,5
769,2018.0,DE25,2016,27
770,2018.0,DE26,2016,42
771,2018.0,DE27,2016,1
772,2018.0,DE30,2016,349
773,2018.0,DE40,2016,31
774,2018.0,DE50,2016,12
775,2018.0,DE60,2016,64
776,2018.0,DE71,2016,84
777,2018.0,DE72,2016,30
778,2018.0,DE73,2016,59
779,2018.0,DE80,2016,16
780,2018.0,DE91,2016,73
781,2018.0,DE92,2016,22
782,2018.0,DE94,2016,7
783,2018.0,DEA1,2016,13
784,2018.0,DEA2,2016,210
785,2018.0,DEA3,2016,27
786,2018.0,DEA4,2016,20
787,2018.0,DEA5,2016,21
788,2018.0,DEB2,2016,1
789,2018.0,DEB3,2016,10
790,2018.0,DEC0,2016,13
791,2018.0,DED2,2016,4
792,2018.0,DED4,2016,153
793,2018.0,DED5,2016,33
794,2018.0,DEE0,2016,49
795,2018.0,DEF0,2016,17
796,2018.0,DEG0,2016,2
797,2018.0,DK01,2016,336
798,2018.0,DK02,2016,2
799,2018.0,DK03,2016,40
800,2018.0,DK04,2016,139
801,2018.0,DK05,2016,13
802,2018.0,EE00,2016,61
803,2018.0,EL30,2016,25
804,2018.0,EL41,2016,8
805,2018.0,EL43,2016,14
806,2018.0,EL51,2016,1
807,2018.0,EL52,2016,8
808,2018.0,EL54,2016,7
809,2018.0,EL61,2016,8
810,2018.0,EL63,2016,6
811,2018.0,ES11,2016,22
812,2018.0,ES12,2016,6
813,2018.0,ES21,2016,22
814,2018.0,ES22,2016,4
815,2018.0,ES23,2016,1
816,2018.0,ES24,2016,11
817,2018.0,ES30,2016,257
818,2018.0,ES41,2016,55
819,2018.0,ES42,2016,3
820,2018.0,ES43,2016,4
821,2018.0,ES51,2016,178
822,2018.0,ES52,2016,41
823,2018.0,ES53,2016,3
824,2018.0,ES61,2016,50
825,2018.0,ES62,2016,20
826,2018.0,ES70,2016,10
827,2018.0,FI19,2016,19
828,2018.0,FI1B,2016,204
829,2018.0,FI1C,2016,76
830,2018.0,FI1D,2016,73
831,2018.0,FR10,2016,566
832,2018.0,FRB0,2016,11
833,2018.0,FRC1,2016,5
834,2018.0,FRC2,2016,3
835,2018.0,FRD2,2016,2
836,2018.0,FRE1,2016,22
837,2018.0,FRE2,2016,1
838,2018.0,FRF1,2016,26
839,2018.0,FRF2,2016,1
840,2018.0,FRF3,2016,12
841,2018.0,FRG0,2016,52
842,2018.0,FRH0,2016,29
843,2018.0,FRI1,2016,59
844,2018.0,FRI2,2016,6
845,2018.0,FRI3,2016,8
846,2018.0,FRJ1,2016,105
847,2018.0,FRJ2,2016,23
848,2018.0,FRK2,2016,73
849,2018.0,FRL0,2016,98
850,2018.0,HR03,2016,10
851,2018.0,HR04,2016,13
852,2018.0,HU11,2016,79
853,2018.0,HU21,2016,5
854,2018.0,HU22,2016,1
855,2018.0,HU23,2016,5
856,2018.0,HU32,2016,9
857,2018.0,HU33,2016,16
858,2018.0,IE04,2016,14
859,2018.0,IE05,2016,35
860,2018.0,IE06,2016,48
861,2018.0,IS00,2016,49
862,2018.0,ITC1,2016,32
863,2018.0,ITC3,2016,13
864,2018.0,ITC4,2016,106
865,2018.0,ITF1,2016,15
866,2018.0,ITF2,2016,1
867,2018.0,ITF3,2016,21
868,2018.0,ITF4,2016,22
869,2018.0,ITF5,2016,1
870,2018.0,ITF6,2016,2
871,2018.0,ITG1,2016,4
872,2018.0,ITG2,2016,9
873,2018.0,ITH1,2016,1
874,2018.0,ITH2,2016,51
875,2018.0,ITH3,2016,65
876,2018.0,ITH4,2016,28
877,2018.0,ITH5,2016,45
878,2018.0,ITI1,2016,265
879,2018.0,ITI2,2016,6
880,2018.0,ITI3,2016,3
881,2018.0,ITI4,2016,42
882,2018.0,LT01,2016,5
883,2018.0,LT02,2016,3
884,2018.0,LU00,2016,22
885,2018.0,LV00,2016,4
886,2018.0,MK00,2016,1
887,2018.0,NL11,2016,97
888,2018.0,NL12,2016,1
889,2018.0,NL21,2016,2
890,2018.0,NL22,2016,312
891,2018.0,NL31,2016,137
892,2018.0,NL32,2016,267
893,2018.0,NL33,2016,231
894,2018.0,NL41,2016,10
895,2018.0,NL42,2016,64
896,2018.0,NO01,2016,216
897,2018.0,NO02,2016,4
898,2018.0,NO03,2016,2
899,2018.0,NO04,2016,9
900,2018.0,NO05,2016,54
901,2018.0,NO06,2016,48
902,2018.0,NO07,2016,3
903,2018.0,PL21,2016,14
904,2018.0,PL22,2016,5
905,2018.0,PL41,2016,14
906,2018.0,PL42,2016,1
907,2018.0,PL51,2016,9
908,2018.0,PL61,2016,2
909,2018.0,PL63,2016,12
910,2018.0,PL71,2016,5
911,2018.0,PL72,2016,1
912,2018.0,PL81,2016,2
913,2018.0,PL84,2016,6
914,2018.0,PL91,2016,66
915,2018.0,PT11,2016,43
916,2018.0,PT16,2016,15
917,2018.0,PT17,2016,60
918,2018.0,PT20,2016,3
919,2018.0,RO21,2016,1
920,2018.0,RO32,2016,3
921,2018.0,RO41,2016,1
922,2018.0,RS11,2016,8
923,2018.0,SE11,2016,360
924,2018.0,SE12,2016,167
925,2018.0,SE21,2016,6
926,2018.0,SE22,2016,77
927,2018.0,SE23,2016,102
928,2018.0,SE31,2016,3
929,2018.0,SE33,2016,45
930,2018.0,SI03,2016,2
931,2018.0,SI04,2016,22
932,2018.0,SK01,2016,20
933,2018.0,SK03,2016,1
934,2018.0,TR10,2016,16
935,2018.0,TR21,2016,4
936,2018.0,TR31,2016,7
937,2018.0,TR42,2016,3
938,2018.0,TR51,2016,21
939,2018.0,TR52,2016,1
940,2018.0,TR61,2016,1
941,2018.0,TR72,2016,4
942,2018.0,TR81,2016,1
943,2018.0,UKC1,2016,44
944,2018.0,UKC2,2016,14
945,2018.0,UKD1,2016,1
946,2018.0,UKD3,2016,144
947,2018.0,UKD4,2016,13
948,2018.0,UKD6,2016,6
949,2018.0,UKD7,2016,145
950,2018.0,UKE1,2016,10
951,2018.0,UKE2,2016,59
952,2018.0,UKE3,2016,100
953,2018.0,UKE4,2016,73
954,2018.0,UKF1,2016,88
955,2018.0,UKF2,2016,57
956,2018.0,UKF3,2016,9
957,2018.0,UKG1,2016,79
958,2018.0,UKG2,2016,12
959,2018.0,UKG3,2016,120
960,2018.0,UKH1,2016,973
961,2018.0,UKH2,2016,56
962,2018.0,UKH3,2016,23
963,2018.0,UKI3,2016,880
964,2018.0,UKI4,2016,100
965,2018.0,UKI5,2016,8
966,2018.0,UKI6,2016,7
967,2018.0,UKI7,2016,27
968,2018.0,UKJ1,2016,628
969,2018.0,UKJ2,2016,97
970,2018.0,UKJ3,2016,68
971,2018.0,UKJ4,2016,41
972,2018.0,UKK1,2016,222
973,2018.0,UKK2,2016,2
974,2018.0,UKK3,2016,7
975,2018.0,UKK4,2016,119
976,2018.0,UKL1,2016,45
977,2018.0,UKL2,2016,83
978,2018.0,UKM5,2016,30
979,2018.0,UKM6,2016,4
980,2018.0,UKM7,2016,425
981,2018.0,UKM8,2016,163
982,2018.0,UKM9,2016,1
983,2018.0,UKN0,2016,33
984,2019.0,AL02,2016,1
985,2019.0,AT12,2016,53
986,2019.0,AT13,2016,248
987,2019.0,AT22,2016,31
988,2019.0,AT31,2016,3
989,2019.0,AT32,2016,18
990,2019.0,AT33,2016,31
991,2019.0,BE10,2016,113
992,2019.0,BE21,2016,61
993,2019.0,BE22,2016,17
994,2019.0,BE23,2016,146
995,2019.0,BE24,2016,15
996,2019.0,BE25,2016,2
997,2019.0,BE31,2016,34
998,2019.0,BE32,2016,5
999,2019.0,BE33,2016,27
1000,2019.0,BE35,2016,2
1001,2019.0,BG41,2016,25
1002,2019.0,CH01,2016,621
1003,2019.0,CH02,2016,160
1004,2019.0,CH03,2016,150
1005,2019.0,CH04,2016,450
1006,2019.0,CH05,2016,5
1007,2019.0,CH06,2016,5
1008,2019.0,CH07,2016,2
1009,2019.0,CY00,2016,20
1010,2019.0,CZ01,2016,88
1011,2019.0,CZ02,2016,32
1012,2019.0,CZ05,2016,20
1013,2019.0,CZ06,2016,87
1014,2019.0,CZ07,2016,10
1015,2019.0,CZ08,2016,7
1016,2019.0,DE11,2016,36
1017,2019.0,DE12,2016,326
1018,2019.0,DE13,2016,135
1019,2019.0,DE14,2016,199
1020,2019.0,DE21,2016,961
1021,2019.0,DE23,2016,29
1022,2019.0,DE24,2016,14
1023,2019.0,DE25,2016,26
1024,2019.0,DE26,2016,58
1025,2019.0,DE27,2016,1
1026,2019.0,DE30,2016,500
1027,2019.0,DE40,2016,24
1028,2019.0,DE50,2016,22
1029,2019.0,DE60,2016,112
1030,2019.0,DE71,2016,98
1031,2019.0,DE72,2016,67
1032,2019.0,DE73,2016,71
1033,2019.0,DE80,2016,42
1034,2019.0,DE91,2016,145
1035,2019.0,DE92,2016,38
1036,2019.0,DE94,2016,16
1037,2019.0,DEA1,2016,12
1038,2019.0,DEA2,2016,318
1039,2019.0,DEA3,2016,73
1040,2019.0,DEA4,2016,46
1041,2019.0,DEA5,2016,39
1042,2019.0,DEB2,2016,2
1043,2019.0,DEB3,2016,16
