,year,nuts_id,nuts_year_spec,deep_learning_count
380,2016.0,UKF,2016,3
381,2016.0,UKG,2016,4
382,2016.0,UKH,2016,21
383,2016.0,UKI,2016,28
384,2016.0,UKJ,2016,33
385,2016.0,UKK,2016,5
386,2016.0,UKM,2016,19
387,2017.0,AT1,2016,15
388,2017.0,AT2,2016,9
389,2017.0,AT3,2016,8
390,2017.0,BE2,2016,7
391,2017.0,BE3,2016,1
392,2017.0,BG4,2016,1
393,2017.0,CH0,2016,85
394,2017.0,CZ0,2016,37
395,2017.0,DE1,2016,37
396,2017.0,DE2,2016,44
397,2017.0,DE3,2016,25
398,2017.0,DE4,2016,6
399,2017.0,DE5,2016,2
400,2017.0,DE6,2016,4
401,2017.0,DE7,2016,2
402,2017.0,DE9,2016,4
403,2017.0,DEA,2016,23
404,2017.0,DEB,2016,12
405,2017.0,DEC,2016,6
406,2017.0,DED,2016,27
407,2017.0,DEF,2016,3
408,2017.0,DK0,2016,14
409,2017.0,EL3,2016,4
410,2017.0,EL4,2016,3
411,2017.0,EL5,2016,5
412,2017.0,ES2,2016,2
413,2017.0,ES3,2016,5
414,2017.0,ES4,2016,2
415,2017.0,ES5,2016,23
416,2017.0,ES6,2016,6
417,2017.0,FI1,2016,12
418,2017.0,FR1,2016,43
419,2017.0,FRE,2016,5
420,2017.0,FRG,2016,5
421,2017.0,FRH,2016,1
422,2017.0,FRI,2016,1
423,2017.0,FRJ,2016,2
424,2017.0,FRK,2016,1
425,2017.0,FRL,2016,2
426,2017.0,HU1,2016,7
427,2017.0,IE0,2016,6
428,2017.0,ITC,2016,7
429,2017.0,ITF,2016,5
430,2017.0,ITG,2016,3
431,2017.0,ITH,2016,20
432,2017.0,ITI,2016,42
433,2017.0,LU0,2016,2
434,2017.0,NL1,2016,1
435,2017.0,NL2,2016,22
436,2017.0,NL3,2016,26
437,2017.0,NL4,2016,8
438,2017.0,NO0,2016,5
439,2017.0,PL2,2016,6
440,2017.0,PL4,2016,1
441,2017.0,PL5,2016,2
442,2017.0,PL7,2016,5
443,2017.0,PL9,2016,8
444,2017.0,PT1,2016,9
445,2017.0,RO3,2016,3
446,2017.0,SE1,2016,10
447,2017.0,SE2,2016,4
448,2017.0,SE3,2016,1
449,2017.0,SI0,2016,5
450,2017.0,SK0,2016,1
451,2017.0,TR1,2016,2
452,2017.0,TR5,2016,4
453,2017.0,UKD,2016,11
454,2017.0,UKE,2016,6
455,2017.0,UKF,2016,7
456,2017.0,UKG,2016,2
457,2017.0,UKH,2016,33
458,2017.0,UKI,2016,42
459,2017.0,UKJ,2016,38
460,2017.0,UKK,2016,5
461,2017.0,UKL,2016,3
462,2017.0,UKM,2016,26
463,2018.0,AT1,2016,5
464,2018.0,AT2,2016,4
465,2018.0,AT3,2016,7
466,2018.0,BE1,2016,4
467,2018.0,BE2,2016,11
468,2018.0,BE3,2016,6
469,2018.0,CH0,2016,91
470,2018.0,CY0,2016,6
