,year,region_type,region_year_spec,region_id,region_level,policy_fund_amount
502,2015,NUTS,2013,NL2,1,7101660.91
503,2015,NUTS,2013,NL21,2,3071798.82
504,2015,NUTS,2013,NL211,3,1248860.0
505,2015,NUTS,2013,NL213,3,1822938.82
506,2015,NUTS,2013,NL22,2,4029862.09
507,2015,NUTS,2013,NL221,3,3103417.09
508,2015,NUTS,2013,NL226,3,926445.0
509,2015,NUTS,2013,NL3,1,34290327.98
510,2015,NUTS,2013,NL31,2,8277447.69
511,2015,NUTS,2013,NL310,3,8277447.69
512,2015,NUTS,2013,NL32,2,9986217.44
513,2015,NUTS,2013,NL321,3,370123.39
514,2015,NUTS,2013,NL325,3,185558.75
515,2015,NUTS,2013,NL326,3,9430535.3
516,2015,NUTS,2013,NL33,2,16026662.85
517,2015,NUTS,2013,NL332,3,9299635.49
518,2015,NUTS,2013,NL333,3,3776942.56
519,2015,NUTS,2013,NL337,3,293875.0
520,2015,NUTS,2013,NL339,3,2614832.3
521,2015,NUTS,2013,NL33A,3,41377.5
522,2015,NUTS,2013,NL4,1,2553336.53
523,2015,NUTS,2013,NL41,2,1675453.03
524,2015,NUTS,2013,NL412,3,255500.0
525,2015,NUTS,2013,NL414,3,1419953.03
526,2015,NUTS,2013,NL42,2,877883.5
527,2015,NUTS,2013,NL423,3,877883.5
528,2015,NUTS,2013,PL,0,5126175.25
529,2015,NUTS,2013,PL1,1,4130468.5
530,2015,NUTS,2013,PL12,2,4130468.5
531,2015,NUTS,2013,PL127,3,4130468.5
532,2015,NUTS,2013,PL4,1,804625.0
533,2015,NUTS,2013,PL41,2,804625.0
534,2015,NUTS,2013,PL415,3,804625.0
535,2015,NUTS,2013,PL5,1,75393.75
536,2015,NUTS,2013,PL51,2,75393.75
537,2015,NUTS,2013,PL514,3,75393.75
538,2015,NUTS,2013,PL6,1,115688.0
539,2015,NUTS,2013,PL63,2,115688.0
540,2015,NUTS,2013,PL633,3,115688.0
541,2015,NUTS,2013,PT,0,7998294.81
542,2015,NUTS,2013,PT1,1,7998294.81
543,2015,NUTS,2013,PT11,2,1037217.25
544,2015,NUTS,2013,PT112,3,220625.0
545,2015,NUTS,2013,PT11A,3,816592.25
546,2015,NUTS,2013,PT16,2,955957.72
547,2015,NUTS,2013,PT16D,3,955957.72
548,2015,NUTS,2013,PT17,2,5870078.59
549,2015,NUTS,2013,PT170,3,5870078.59
550,2015,NUTS,2013,PT18,2,135041.25
551,2015,NUTS,2013,PT187,3,135041.25
552,2015,NUTS,2013,RO,0,2592533.25
553,2015,NUTS,2013,RO1,1,241305.0
554,2015,NUTS,2013,RO11,2,60600.0
555,2015,NUTS,2013,RO113,3,60600.0
556,2015,NUTS,2013,RO12,2,180705.0
557,2015,NUTS,2013,RO122,3,180705.0
558,2015,NUTS,2013,RO2,1,439713.0
559,2015,NUTS,2013,RO22,2,439713.0
560,2015,NUTS,2013,RO224,3,439713.0
561,2015,NUTS,2013,RO3,1,1762765.25
562,2015,NUTS,2013,RO32,2,1762765.25
563,2015,NUTS,2013,RO321,3,1058605.25
