,year,region_type,region_year_spec,region_id,region_level,products_fund_spec
434,2015,NUTS,2013,FI1D2,3,1.03
435,2015,NUTS,2013,FI1D3,3,6.25
436,2015,NUTS,2013,FI1D6,3,2.62
437,2015,NUTS,2013,FR101,3,0.32
438,2015,NUTS,2013,FR103,3,5.21
439,2015,NUTS,2013,FR104,3,3.28
440,2015,NUTS,2013,FR105,3,2.43
441,2015,NUTS,2013,FR232,3,6.25
442,2015,NUTS,2013,FR246,3,0.95
443,2015,NUTS,2013,FR251,3,6.25
444,2015,NUTS,2013,FR261,3,6.25
445,2015,NUTS,2013,FR301,3,1.45
446,2015,NUTS,2013,FR411,3,6.25
447,2015,NUTS,2013,FR421,3,3.94
448,2015,NUTS,2013,FR431,3,4.84
449,2015,NUTS,2013,FR512,3,3.58
450,2015,NUTS,2013,FR515,3,6.25
451,2015,NUTS,2013,FR534,3,6.25
452,2015,NUTS,2013,FR612,3,4.81
453,2015,NUTS,2013,FR615,3,6.25
454,2015,NUTS,2013,FR623,3,1.07
455,2015,NUTS,2013,FR714,3,2.01
456,2015,NUTS,2013,FR716,3,0.93
457,2015,NUTS,2013,FR718,3,2.5
458,2015,NUTS,2013,FR824,3,0.34
459,2015,NUTS,2013,HU101,3,0.45
460,2015,NUTS,2013,HU102,3,4.38
461,2015,NUTS,2013,IE013,3,0.34
462,2015,NUTS,2013,IE021,3,0.46
463,2015,NUTS,2013,IE025,3,1.69
464,2015,NUTS,2013,ITC11,3,2.06
465,2015,NUTS,2013,ITC16,3,5.82
466,2015,NUTS,2013,ITC18,3,6.15
467,2015,NUTS,2013,ITC33,3,4.17
468,2015,NUTS,2013,ITC41,3,0.27
469,2015,NUTS,2013,ITC42,3,5.64
470,2015,NUTS,2013,ITC43,3,6.25
471,2015,NUTS,2013,ITC46,3,6.25
472,2015,NUTS,2013,ITC47,3,5.84
473,2015,NUTS,2013,ITC48,3,6.25
474,2015,NUTS,2013,ITC4C,3,1.07
475,2015,NUTS,2013,ITF14,3,4.31
476,2015,NUTS,2013,ITF33,3,1.5
477,2015,NUTS,2013,ITF45,3,3.26
478,2015,NUTS,2013,ITG12,3,0.27
479,2015,NUTS,2013,ITG27,3,6.25
480,2015,NUTS,2013,ITH10,3,4.75
481,2015,NUTS,2013,ITH32,3,6.25
482,2015,NUTS,2013,ITH34,3,6.25
483,2015,NUTS,2013,ITH36,3,0.17
484,2015,NUTS,2013,ITH44,3,5.56
485,2015,NUTS,2013,ITH53,3,5.72
486,2015,NUTS,2013,ITH55,3,1.95
487,2015,NUTS,2013,ITH57,3,6.25
488,2015,NUTS,2013,ITH59,3,6.25
489,2015,NUTS,2013,ITI14,3,0.61
490,2015,NUTS,2013,ITI43,3,0.67
491,2015,NUTS,2013,ITI44,3,6.25
492,2015,NUTS,2013,LT003,3,3.86
493,2015,NUTS,2013,LT00A,3,3.25
494,2015,NUTS,2013,LU000,3,0.45
495,2015,NUTS,2013,LV006,3,1.04
496,2015,NUTS,2013,NL121,3,3.06
497,2015,NUTS,2013,NL131,3,1.98
498,2015,NUTS,2013,NL213,3,0.76
499,2015,NUTS,2013,NL221,3,0.56
500,2015,NUTS,2013,NL226,3,0.2
501,2015,NUTS,2013,NL310,3,0.59
502,2015,NUTS,2013,NL323,3,6.25
503,2015,NUTS,2013,NL326,3,0.22
504,2015,NUTS,2013,NL327,3,6.06
505,2015,NUTS,2013,NL332,3,1.56
506,2015,NUTS,2013,NL333,3,1.67
507,2015,NUTS,2013,NL337,3,0.15
508,2015,NUTS,2013,NL339,3,0.35
509,2015,NUTS,2013,NL413,3,0.73
510,2015,NUTS,2013,NL414,3,2.24
511,2015,NUTS,2013,NL423,3,0.97
512,2015,NUTS,2013,PL127,3,0.4
513,2015,NUTS,2013,PL129,3,6.25
514,2015,NUTS,2013,PL12A,3,6.25
515,2015,NUTS,2013,PL229,3,6.25
516,2015,NUTS,2013,PL22A,3,6.25
517,2015,NUTS,2013,PL514,3,5.2
518,2015,NUTS,2013,PT11A,3,1.98
519,2015,NUTS,2013,PT16D,3,1.73
520,2015,NUTS,2013,PT170,3,0.02
521,2015,NUTS,2013,RO215,3,6.25
522,2015,NUTS,2013,RO321,3,1.12
523,2015,NUTS,2013,RO413,3,6.25
524,2015,NUTS,2013,SE110,3,1.2
525,2015,NUTS,2013,SE123,3,2.2
526,2015,NUTS,2013,SE125,3,6.25
527,2015,NUTS,2013,SE224,3,0.42
528,2015,NUTS,2013,SE232,3,3.46
529,2015,NUTS,2013,SE331,3,6.25
530,2015,NUTS,2013,SE332,3,1.2
531,2015,NUTS,2013,SI032,3,4.96
532,2015,NUTS,2013,SI035,3,6.25
533,2015,NUTS,2013,SI041,3,1.06
534,2015,NUTS,2013,SI042,3,6.25
535,2015,NUTS,2013,SI043,3,6.25
536,2015,NUTS,2013,UKC12,3,6.25
537,2015,NUTS,2013,UKC22,3,3.78
538,2015,NUTS,2013,UKD33,3,0.05
539,2015,NUTS,2013,UKD34,3,1.44
540,2015,NUTS,2013,UKE31,3,6.25
541,2015,NUTS,2013,UKE42,3,1.7
542,2015,NUTS,2013,UKF14,3,0.51
543,2015,NUTS,2013,UKF22,3,5.59
544,2015,NUTS,2013,UKG31,3,1.31
545,2015,NUTS,2013,UKG37,3,6.25
546,2015,NUTS,2013,UKH11,3,6.25
547,2015,NUTS,2013,UKI32,3,0.32
548,2015,NUTS,2013,UKI42,3,4.77
549,2015,NUTS,2013,UKI52,3,6.25
550,2015,NUTS,2013,UKI74,3,4.86
551,2015,NUTS,2013,UKI75,3,2.81
552,2015,NUTS,2013,UKJ11,3,6.25
553,2015,NUTS,2013,UKK12,3,2.37
554,2015,NUTS,2013,UKK13,3,4.41
555,2015,NUTS,2013,UKL17,3,6.25
556,2015,NUTS,2013,UKL21,3,6.25
557,2015,NUTS,2013,UKM34,3,1.02
558,2016,NUTS,2016,AT,0,1.57
559,2016,NUTS,2016,BE,0,1.29
560,2016,NUTS,2016,CY,0,2.4
561,2016,NUTS,2016,CZ,0,1.75
562,2016,NUTS,2016,DE,0,1.31
563,2016,NUTS,2016,DK,0,0.51
564,2016,NUTS,2016,EE,0,1.67
565,2016,NUTS,2016,ES,0,0.88
566,2016,NUTS,2016,FI,0,2.96
567,2016,NUTS,2016,FR,0,0.82
568,2016,NUTS,2016,HU,0,0.17
569,2016,NUTS,2016,IE,0,0.05
570,2016,NUTS,2016,IT,0,1.18
571,2016,NUTS,2016,LU,0,0.92
572,2016,NUTS,2016,MT,0,0.26
573,2016,NUTS,2016,NL,0,0.56
574,2016,NUTS,2016,PL,0,0.5
575,2016,NUTS,2016,PT,0,0.84
576,2016,NUTS,2016,RO,0,1.09
577,2016,NUTS,2016,SE,0,0.72
578,2016,NUTS,2016,SI,0,2.73
579,2016,NUTS,2016,SK,0,0.25
580,2016,NUTS,2016,UK,0,0.63
581,2016,NUTS,2016,AT1,1,0.69
582,2016,NUTS,2016,AT2,1,5.73
583,2016,NUTS,2016,AT3,1,0.44
584,2016,NUTS,2016,BE1,1,0.43
585,2016,NUTS,2016,BE2,1,2.13
586,2016,NUTS,2016,BE3,1,0.6
587,2016,NUTS,2016,CY0,1,2.4
588,2016,NUTS,2016,CZ0,1,1.75
589,2016,NUTS,2016,DE1,1,1.11
590,2016,NUTS,2016,DE2,1,3.01
591,2016,NUTS,2016,DE3,1,0.2
592,2016,NUTS,2016,DE7,1,1.03
593,2016,NUTS,2016,DE9,1,1.89
594,2016,NUTS,2016,DEA,1,1.0
595,2016,NUTS,2016,DEB,1,1.35
