year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_pps
2019,NUTS,2010,DE3,1,1179.449
2011,NUTS,2010,DE30,2,887.008
2012,NUTS,2010,DE30,2,878.302
2013,NUTS,2010,DE30,2,877.594
2014,NUTS,2010,DE30,2,1013.19
2015,NUTS,2010,DE30,2,1013.108
2016,NUTS,2010,DE30,2,1101.333
2017,NUTS,2010,DE30,2,1082.193
2018,NUTS,2010,DE30,2,1144.094
2019,NUTS,2010,DE30,2,1179.449
2011,NUTS,2010,DE4,1,192.101
2012,NUTS,2010,DE4,1,193.93
2013,NUTS,2010,DE4,1,204.025
2014,NUTS,2010,DE4,1,206.933
2015,NUTS,2010,DE4,1,210.703
2016,NUTS,2010,DE4,1,217.052
2017,NUTS,2010,DE4,1,242.878
2018,NUTS,2010,DE4,1,258.481
2019,NUTS,2010,DE4,1,261.598
2011,NUTS,2010,DE40,2,192.101
2012,NUTS,2010,DE40,2,193.93
2013,NUTS,2010,DE40,2,204.025
2014,NUTS,2010,DE40,2,206.933
2015,NUTS,2010,DE40,2,210.703
2016,NUTS,2010,DE40,2,217.052
2017,NUTS,2010,DE40,2,242.878
2018,NUTS,2010,DE40,2,258.481
2019,NUTS,2010,DE40,2,261.598
2011,NUTS,2010,DE5,1,200.636
2012,NUTS,2010,DE5,1,195.838
2013,NUTS,2010,DE5,1,196.454
2014,NUTS,2010,DE5,1,191.39
2015,NUTS,2010,DE5,1,191.42
2016,NUTS,2010,DE5,1,220.953
2017,NUTS,2010,DE5,1,232.96
2018,NUTS,2010,DE5,1,248.118
2019,NUTS,2010,DE5,1,238.955
2011,NUTS,2010,DE50,2,200.636
2012,NUTS,2010,DE50,2,195.838
2013,NUTS,2010,DE50,2,196.454
2014,NUTS,2010,DE50,2,191.39
2015,NUTS,2010,DE50,2,191.42
2016,NUTS,2010,DE50,2,220.953
2017,NUTS,2010,DE50,2,232.96
2018,NUTS,2010,DE50,2,248.118
2019,NUTS,2010,DE50,2,238.955
2011,NUTS,2010,DE6,1,448.85
2012,NUTS,2010,DE6,1,465.894
2013,NUTS,2010,DE6,1,475.872
2014,NUTS,2010,DE6,1,491.558
2015,NUTS,2010,DE6,1,512.403
2016,NUTS,2010,DE6,1,555.616
2017,NUTS,2010,DE6,1,567.105
2018,NUTS,2010,DE6,1,620.371
2019,NUTS,2010,DE6,1,641.092
2011,NUTS,2010,DE60,2,448.85
2012,NUTS,2010,DE60,2,465.894
2013,NUTS,2010,DE60,2,475.872
2014,NUTS,2010,DE60,2,491.558
2015,NUTS,2010,DE60,2,512.403
2016,NUTS,2010,DE60,2,555.616
2017,NUTS,2010,DE60,2,567.105
2018,NUTS,2010,DE60,2,620.371
2019,NUTS,2010,DE60,2,641.092
2011,NUTS,2010,DE7,1,940.809
2012,NUTS,2010,DE7,1,1001.937
2013,NUTS,2010,DE7,1,941.97
2014,NUTS,2010,DE7,1,955.218
2015,NUTS,2010,DE7,1,1036.79
2016,NUTS,2010,DE7,1,1116.439
2017,NUTS,2010,DE7,1,1120.25
2018,NUTS,2010,DE7,1,1189.826
2019,NUTS,2010,DE7,1,1248.664
2011,NUTS,2010,DE71,2,583.951
2012,NUTS,2010,DE71,2,608.959
2013,NUTS,2010,DE71,2,563.353
2014,NUTS,2010,DE71,2,567.261
2015,NUTS,2010,DE71,2,586.024
2016,NUTS,2010,DE71,2,668.948
2017,NUTS,2010,DE71,2,653.885
2018,NUTS,2010,DE71,2,697.821
2019,NUTS,2010,DE71,2,701.54
2011,NUTS,2010,DE72,2,256.545
2012,NUTS,2010,DE72,2,289.873
2013,NUTS,2010,DE72,2,269.539
2014,NUTS,2010,DE72,2,278.087
2015,NUTS,2010,DE72,2,325.805
2016,NUTS,2010,DE72,2,317.329
2017,NUTS,2010,DE72,2,336.129
2018,NUTS,2010,DE72,2,352.666
2019,NUTS,2010,DE72,2,240.812
2011,NUTS,2010,DE73,2,100.314
2012,NUTS,2010,DE73,2,103.104
2013,NUTS,2010,DE73,2,109.077
2014,NUTS,2010,DE73,2,109.871
2015,NUTS,2010,DE73,2,124.961
2016,NUTS,2010,DE73,2,130.162
2017,NUTS,2010,DE73,2,130.235
2018,NUTS,2010,DE73,2,139.339
2019,NUTS,2010,DE73,2,306.313
2011,NUTS,2010,DE8,1,226.584
2012,NUTS,2010,DE8,1,231.823
2013,NUTS,2010,DE8,1,222.637
2014,NUTS,2010,DE8,1,243.661
2015,NUTS,2010,DE8,1,240.729
2016,NUTS,2010,DE8,1,227.872
2017,NUTS,2010,DE8,1,232.943
2018,NUTS,2010,DE8,1,238.999
2019,NUTS,2010,DE8,1,273.58
2011,NUTS,2010,DE80,2,226.584
2012,NUTS,2010,DE80,2,231.823
2013,NUTS,2010,DE80,2,222.637
2014,NUTS,2010,DE80,2,243.661
2015,NUTS,2010,DE80,2,240.729
2016,NUTS,2010,DE80,2,227.872
2017,NUTS,2010,DE80,2,232.943
2018,NUTS,2010,DE80,2,238.999
2019,NUTS,2010,DE80,2,273.58
2011,NUTS,2010,DE9,1,1084.7
2012,NUTS,2010,DE9,1,1127.307
2013,NUTS,2010,DE9,1,1195.786
2014,NUTS,2010,DE9,1,1229.793
2015,NUTS,2010,DE9,1,1265.795
2016,NUTS,2010,DE9,1,1350.382
2017,NUTS,2010,DE9,1,1415.863
2018,NUTS,2010,DE9,1,1490.078
2019,NUTS,2010,DE9,1,1537.442
2011,NUTS,2010,DE91,2,484.359
2012,NUTS,2010,DE91,2,499.12
2013,NUTS,2010,DE91,2,522.892
2014,NUTS,2010,DE91,2,522.347
2015,NUTS,2010,DE91,2,526.47
2016,NUTS,2010,DE91,2,551.029
2017,NUTS,2010,DE91,2,590.108
2018,NUTS,2010,DE91,2,632.266
2019,NUTS,2010,DE91,2,654.787
2011,NUTS,2010,DE92,2,424.467
2012,NUTS,2010,DE92,2,433.791
2013,NUTS,2010,DE92,2,465.334
2014,NUTS,2010,DE92,2,481.364
2015,NUTS,2010,DE92,2,491.532
2016,NUTS,2010,DE92,2,508.567
2017,NUTS,2010,DE92,2,543.765
2018,NUTS,2010,DE92,2,565.658
2019,NUTS,2010,DE92,2,576.297
