year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_rse_pc_act_fte
2009,NUTS,2010,CZ03,2,0.1478
2010,NUTS,2010,CZ03,2,0.146
2011,NUTS,2010,CZ03,2,0.1578
2012,NUTS,2010,CZ03,2,0.1458
2013,NUTS,2010,CZ03,2,0.173
2014,NUTS,2010,CZ03,2,0.2131
2015,NUTS,2010,CZ03,2,0.1975
2016,NUTS,2010,CZ03,2,0.2084
2017,NUTS,2010,CZ03,2,0.2082
2018,NUTS,2010,CZ03,2,0.2277
2019,NUTS,2010,CZ03,2,0.2536
2020,NUTS,2010,CZ03,2,0.2738
2001,NUTS,2010,CZ04,2,0.0459
2002,NUTS,2010,CZ04,2,0.0296
2003,NUTS,2010,CZ04,2,0.0304
2004,NUTS,2010,CZ04,2,0.0323
2005,NUTS,2010,CZ04,2,0.0381
2006,NUTS,2010,CZ04,2,0.0503
2007,NUTS,2010,CZ04,2,0.0485
2008,NUTS,2010,CZ04,2,0.0527
2009,NUTS,2010,CZ04,2,0.0539
2010,NUTS,2010,CZ04,2,0.0511
2011,NUTS,2010,CZ04,2,0.0501
2012,NUTS,2010,CZ04,2,0.0578
2013,NUTS,2010,CZ04,2,0.0745
2014,NUTS,2010,CZ04,2,0.0649
2015,NUTS,2010,CZ04,2,0.0675
2016,NUTS,2010,CZ04,2,0.0645
2017,NUTS,2010,CZ04,2,0.0802
2018,NUTS,2010,CZ04,2,0.0949
2019,NUTS,2010,CZ04,2,0.0734
2020,NUTS,2010,CZ04,2,0.0716
2001,NUTS,2010,CZ05,2,0.0558
2002,NUTS,2010,CZ05,2,0.0668
2003,NUTS,2010,CZ05,2,0.0674
2004,NUTS,2010,CZ05,2,0.0975
2005,NUTS,2010,CZ05,2,0.1409
2006,NUTS,2010,CZ05,2,0.1717
2007,NUTS,2010,CZ05,2,0.1661
2008,NUTS,2010,CZ05,2,0.1457
2009,NUTS,2010,CZ05,2,0.1439
2010,NUTS,2010,CZ05,2,0.1494
2011,NUTS,2010,CZ05,2,0.1937
2012,NUTS,2010,CZ05,2,0.1951
2013,NUTS,2010,CZ05,2,0.201
2014,NUTS,2010,CZ05,2,0.1995
2015,NUTS,2010,CZ05,2,0.2077
2016,NUTS,2010,CZ05,2,0.197
2017,NUTS,2010,CZ05,2,0.2285
2018,NUTS,2010,CZ05,2,0.2242
2019,NUTS,2010,CZ05,2,0.2301
2020,NUTS,2010,CZ05,2,0.2538
2001,NUTS,2010,CZ06,2,0.1334
2002,NUTS,2010,CZ06,2,0.1347
2003,NUTS,2010,CZ06,2,0.1538
2004,NUTS,2010,CZ06,2,0.1631
2005,NUTS,2010,CZ06,2,0.286
2006,NUTS,2010,CZ06,2,0.286
2007,NUTS,2010,CZ06,2,0.3059
2008,NUTS,2010,CZ06,2,0.4037
2009,NUTS,2010,CZ06,2,0.3796
2010,NUTS,2010,CZ06,2,0.3843
2011,NUTS,2010,CZ06,2,0.347
2012,NUTS,2010,CZ06,2,0.3993
2013,NUTS,2010,CZ06,2,0.3701
2014,NUTS,2010,CZ06,2,0.4468
2015,NUTS,2010,CZ06,2,0.4239
2016,NUTS,2010,CZ06,2,0.4172
2017,NUTS,2010,CZ06,2,0.408
2018,NUTS,2010,CZ06,2,0.4258
2019,NUTS,2010,CZ06,2,0.4487
2020,NUTS,2010,CZ06,2,0.5112
2001,NUTS,2010,CZ07,2,0.0678
2002,NUTS,2010,CZ07,2,0.0495
2003,NUTS,2010,CZ07,2,0.0641
2004,NUTS,2010,CZ07,2,0.0737
2005,NUTS,2010,CZ07,2,0.167
2006,NUTS,2010,CZ07,2,0.1692
2007,NUTS,2010,CZ07,2,0.1411
2008,NUTS,2010,CZ07,2,0.1467
2009,NUTS,2010,CZ07,2,0.1444
2010,NUTS,2010,CZ07,2,0.1693
2011,NUTS,2010,CZ07,2,0.1791
2012,NUTS,2010,CZ07,2,0.2235
2013,NUTS,2010,CZ07,2,0.2648
2014,NUTS,2010,CZ07,2,0.2835
2015,NUTS,2010,CZ07,2,0.311
2016,NUTS,2010,CZ07,2,0.2834
2017,NUTS,2010,CZ07,2,0.2285
2018,NUTS,2010,CZ07,2,0.2443
2019,NUTS,2010,CZ07,2,0.3175
2020,NUTS,2010,CZ07,2,0.3238
2001,NUTS,2010,CZ08,2,0.0736
2002,NUTS,2010,CZ08,2,0.0921
2003,NUTS,2010,CZ08,2,0.0733
2004,NUTS,2010,CZ08,2,0.0696
2005,NUTS,2010,CZ08,2,0.102
2006,NUTS,2010,CZ08,2,0.121
2007,NUTS,2010,CZ08,2,0.1424
2008,NUTS,2010,CZ08,2,0.1544
2009,NUTS,2010,CZ08,2,0.1804
2010,NUTS,2010,CZ08,2,0.1725
2011,NUTS,2010,CZ08,2,0.1758
2012,NUTS,2010,CZ08,2,0.2544
2013,NUTS,2010,CZ08,2,0.1444
2014,NUTS,2010,CZ08,2,0.1633
2015,NUTS,2010,CZ08,2,0.1725
2016,NUTS,2010,CZ08,2,0.1656
2017,NUTS,2010,CZ08,2,0.1959
2018,NUTS,2010,CZ08,2,0.2083
2019,NUTS,2010,CZ08,2,0.2207
2020,NUTS,2010,CZ08,2,0.251
1997,NUTS,2010,DE,0,0.2539
1999,NUTS,2010,DE,0,0.212
2001,NUTS,2010,DE,0,0.2467
2003,NUTS,2010,DE,0,0.249
2005,NUTS,2010,DE,0,0.2618
2007,NUTS,2010,DE,0,0.2904
2009,NUTS,2010,DE,0,0.3533
2011,NUTS,2010,DE,0,0.405
2013,NUTS,2010,DE,0,0.4298
2015,NUTS,2010,DE,0,0.4646
2017,NUTS,2010,DE,0,0.4911
2019,NUTS,2010,DE,0,0.525
1999,NUTS,2010,DK,0,0.376
2001,NUTS,2010,DK,0,0.4183
2002,NUTS,2010,DK,0,0.5145
2003,NUTS,2010,DK,0,0.5259
2005,NUTS,2010,DK,0,0.605
2007,NUTS,2010,DK,0,0.6521
2009,NUTS,2010,DK,0,0.8125
2010,NUTS,2010,DK,0,0.8704
2011,NUTS,2010,DK,0,0.9256
2012,NUTS,2010,DK,0,0.9439
2013,NUTS,2010,DK,0,0.9901
2015,NUTS,2010,DK,0,1.027
2017,NUTS,2010,DK,0,1.1327
2019,NUTS,2010,DK,0,1.0911
1999,NUTS,2010,DK0,1,0.3761
2001,NUTS,2010,DK0,1,0.4201
2002,NUTS,2010,DK0,1,0.5074
2003,NUTS,2010,DK0,1,0.5536
2009,NUTS,2010,DK0,1,0.7947
2010,NUTS,2010,DK0,1,0.4261
2011,NUTS,2010,DK0,1,0.9093
2013,NUTS,2010,DK0,1,1.0191
2015,NUTS,2010,DK0,1,1.0079
2017,NUTS,2010,DK0,1,1.1095
2019,NUTS,2010,DK0,1,1.069
2009,NUTS,2010,DK01,2,1.7856
2010,NUTS,2010,DK01,2,0.8105
2011,NUTS,2010,DK01,2,1.8205
2013,NUTS,2010,DK01,2,1.9946
2015,NUTS,2010,DK01,2,1.8495
2017,NUTS,2010,DK01,2,2.2149
2019,NUTS,2010,DK01,2,1.9996
2009,NUTS,2010,DK02,2,0.3866
2010,NUTS,2010,DK02,2,0.158
2011,NUTS,2010,DK02,2,0.2925
2013,NUTS,2010,DK02,2,0.3546
2015,NUTS,2010,DK02,2,0.3342
2017,NUTS,2010,DK02,2,0.3599
2019,NUTS,2010,DK02,2,0.3692
2009,NUTS,2010,DK03,2,0.1843
2010,NUTS,2010,DK03,2,0.1876
2011,NUTS,2010,DK03,2,0.4362
2013,NUTS,2010,DK03,2,0.4998
2015,NUTS,2010,DK03,2,0.691
2017,NUTS,2010,DK03,2,0.3745
2019,NUTS,2010,DK03,2,0.4321
2009,NUTS,2010,DK04,2,0.4083
2010,NUTS,2010,DK04,2,0.3535
2011,NUTS,2010,DK04,2,0.6152
2013,NUTS,2010,DK04,2,0.696
