year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_se
2018,NUTS,2010,CY00,2,28.9
2019,NUTS,2010,CY00,2,29.4
2020,NUTS,2010,CY00,2,30.0
2011,NUTS,2010,CZ,0,229.9
2012,NUTS,2010,CZ,0,256.5
2013,NUTS,2010,CZ,0,282.5
2014,NUTS,2010,CZ,0,303.5
2015,NUTS,2010,CZ,0,323.0
2016,NUTS,2010,CZ,0,331.5
2017,NUTS,2010,CZ,0,333.9
2018,NUTS,2010,CZ,0,347.9
2019,NUTS,2010,CZ,0,362.6
2020,NUTS,2010,CZ,0,381.4
2011,NUTS,2010,CZ0,1,229.9
2012,NUTS,2010,CZ0,1,256.5
2013,NUTS,2010,CZ0,1,282.5
2014,NUTS,2010,CZ0,1,303.5
2015,NUTS,2010,CZ0,1,323.0
2016,NUTS,2010,CZ0,1,331.5
2017,NUTS,2010,CZ0,1,333.9
2018,NUTS,2010,CZ0,1,347.9
2019,NUTS,2010,CZ0,1,362.6
2020,NUTS,2010,CZ0,1,381.4
2011,NUTS,2010,CZ01,2,59.6
2012,NUTS,2010,CZ01,2,60.8
2013,NUTS,2010,CZ01,2,74.4
2014,NUTS,2010,CZ01,2,76.6
2015,NUTS,2010,CZ01,2,80.2
2016,NUTS,2010,CZ01,2,81.3
2017,NUTS,2010,CZ01,2,81.6
2018,NUTS,2010,CZ01,2,84.0
2019,NUTS,2010,CZ01,2,91.1
2020,NUTS,2010,CZ01,2,100.7
2011,NUTS,2010,CZ02,2,22.7
2012,NUTS,2010,CZ02,2,28.9
2013,NUTS,2010,CZ02,2,31.5
2014,NUTS,2010,CZ02,2,36.2
2015,NUTS,2010,CZ02,2,39.6
2016,NUTS,2010,CZ02,2,37.7
2017,NUTS,2010,CZ02,2,40.7
2018,NUTS,2010,CZ02,2,45.7
2019,NUTS,2010,CZ02,2,44.6
2020,NUTS,2010,CZ02,2,45.5
2011,NUTS,2010,CZ03,2,19.9
2012,NUTS,2010,CZ03,2,26.6
2013,NUTS,2010,CZ03,2,29.7
2014,NUTS,2010,CZ03,2,29.8
2015,NUTS,2010,CZ03,2,28.8
2016,NUTS,2010,CZ03,2,30.8
2017,NUTS,2010,CZ03,2,32.3
2018,NUTS,2010,CZ03,2,32.6
2019,NUTS,2010,CZ03,2,33.4
2020,NUTS,2010,CZ03,2,33.1
2011,NUTS,2010,CZ04,2,11.7
2012,NUTS,2010,CZ04,2,16.6
2013,NUTS,2010,CZ04,2,16.9
2014,NUTS,2010,CZ04,2,19.1
2015,NUTS,2010,CZ04,2,18.9
2016,NUTS,2010,CZ04,2,17.7
2017,NUTS,2010,CZ04,2,16.4
2018,NUTS,2010,CZ04,2,17.5
2019,NUTS,2010,CZ04,2,20.5
2020,NUTS,2010,CZ04,2,20.5
2011,NUTS,2010,CZ05,2,29.4
2012,NUTS,2010,CZ05,2,32.5
2013,NUTS,2010,CZ05,2,34.6
2014,NUTS,2010,CZ05,2,36.0
2015,NUTS,2010,CZ05,2,39.4
2016,NUTS,2010,CZ05,2,39.9
2017,NUTS,2010,CZ05,2,39.4
2018,NUTS,2010,CZ05,2,42.0
2019,NUTS,2010,CZ05,2,42.7
2020,NUTS,2010,CZ05,2,41.8
2011,NUTS,2010,CZ06,2,45.0
2012,NUTS,2010,CZ06,2,48.3
2013,NUTS,2010,CZ06,2,49.1
2014,NUTS,2010,CZ06,2,53.2
2015,NUTS,2010,CZ06,2,55.4
2016,NUTS,2010,CZ06,2,62.0
2017,NUTS,2010,CZ06,2,58.9
2018,NUTS,2010,CZ06,2,61.3
2019,NUTS,2010,CZ06,2,65.7
2020,NUTS,2010,CZ06,2,68.0
2011,NUTS,2010,CZ07,2,20.5
2012,NUTS,2010,CZ07,2,20.8
2013,NUTS,2010,CZ07,2,22.0
2014,NUTS,2010,CZ07,2,26.3
2015,NUTS,2010,CZ07,2,32.3
2016,NUTS,2010,CZ07,2,30.2
2017,NUTS,2010,CZ07,2,26.6
2018,NUTS,2010,CZ07,2,28.1
2019,NUTS,2010,CZ07,2,28.6
2020,NUTS,2010,CZ07,2,34.1
2011,NUTS,2010,CZ08,2,21.0
2012,NUTS,2010,CZ08,2,22.1
2013,NUTS,2010,CZ08,2,24.3
2014,NUTS,2010,CZ08,2,26.4
2015,NUTS,2010,CZ08,2,28.2
2016,NUTS,2010,CZ08,2,31.8
2017,NUTS,2010,CZ08,2,37.9
2018,NUTS,2010,CZ08,2,36.8
2019,NUTS,2010,CZ08,2,35.9
2020,NUTS,2010,CZ08,2,37.7
2011,NUTS,2010,DE,0,2952.3
2012,NUTS,2010,DE,0,2833.0
2013,NUTS,2010,DE,0,2891.6
2014,NUTS,2010,DE,0,2950.7
2015,NUTS,2010,DE,0,3038.5
2016,NUTS,2010,DE,0,3208.2
2017,NUTS,2010,DE,0,3262.2
2018,NUTS,2010,DE,0,3267.2
2019,NUTS,2010,DE,0,3361.7
2020,NUTS,2010,DE,0,3436.0
2011,NUTS,2010,DE1,1,446.4
2012,NUTS,2010,DE1,1,432.4
2013,NUTS,2010,DE1,1,452.1
2014,NUTS,2010,DE1,1,458.5
2015,NUTS,2010,DE1,1,478.2
2016,NUTS,2010,DE1,1,505.3
2017,NUTS,2010,DE1,1,506.0
2018,NUTS,2010,DE1,1,496.9
2019,NUTS,2010,DE1,1,530.6
2020,NUTS,2010,DE1,1,522.7
2011,NUTS,2010,DE11,2,174.8
2012,NUTS,2010,DE11,2,167.0
2013,NUTS,2010,DE11,2,173.8
2014,NUTS,2010,DE11,2,182.4
2015,NUTS,2010,DE11,2,193.3
2016,NUTS,2010,DE11,2,208.6
2017,NUTS,2010,DE11,2,201.9
2018,NUTS,2010,DE11,2,207.7
2019,NUTS,2010,DE11,2,221.8
2020,NUTS,2010,DE11,2,218.5
2011,NUTS,2010,DE12,2,115.2
2012,NUTS,2010,DE12,2,117.1
2013,NUTS,2010,DE12,2,118.9
2014,NUTS,2010,DE12,2,118.9
2015,NUTS,2010,DE12,2,124.3
2016,NUTS,2010,DE12,2,128.0
2017,NUTS,2010,DE12,2,133.2
2018,NUTS,2010,DE12,2,127.0
2019,NUTS,2010,DE12,2,132.0
2020,NUTS,2010,DE12,2,134.3
2011,NUTS,2010,DE13,2,79.6
2012,NUTS,2010,DE13,2,75.5
2013,NUTS,2010,DE13,2,79.8
2014,NUTS,2010,DE13,2,80.2
2015,NUTS,2010,DE13,2,82.2
2016,NUTS,2010,DE13,2,87.6
2017,NUTS,2010,DE13,2,89.3
2018,NUTS,2010,DE13,2,87.1
2019,NUTS,2010,DE13,2,91.9
2020,NUTS,2010,DE13,2,82.3
2011,NUTS,2010,DE14,2,76.8
2012,NUTS,2010,DE14,2,72.9
2013,NUTS,2010,DE14,2,79.5
2014,NUTS,2010,DE14,2,77.1
2015,NUTS,2010,DE14,2,78.4
2016,NUTS,2010,DE14,2,81.1
2017,NUTS,2010,DE14,2,81.6
2018,NUTS,2010,DE14,2,75.0
2019,NUTS,2010,DE14,2,84.8
2020,NUTS,2010,DE14,2,87.7
2011,NUTS,2010,DE2,1,530.2
2012,NUTS,2010,DE2,1,525.5
2013,NUTS,2010,DE2,1,529.1
2014,NUTS,2010,DE2,1,554.1
2015,NUTS,2010,DE2,1,563.9
2016,NUTS,2010,DE2,1,586.1
