year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_emp_fte
2015,NUTS,2010,DE80,2,0.2254
2017,NUTS,2010,DE80,2,0.2391
2019,NUTS,2010,DE80,2,0.2636
2011,NUTS,2010,DE9,1,0.7414
2013,NUTS,2010,DE9,1,0.7638
2015,NUTS,2010,DE9,1,0.8409
2017,NUTS,2010,DE9,1,0.8424
2019,NUTS,2010,DE9,1,0.9054
2011,NUTS,2010,DE91,2,1.9882
2013,NUTS,2010,DE91,2,2.1474
2015,NUTS,2010,DE91,2,2.3877
2017,NUTS,2010,DE91,2,2.4838
2019,NUTS,2010,DE91,2,2.5977
2011,NUTS,2010,DE92,2,0.771
2013,NUTS,2010,DE92,2,0.739
2015,NUTS,2010,DE92,2,0.8
2017,NUTS,2010,DE92,2,0.7161
2019,NUTS,2010,DE92,2,0.7552
2011,NUTS,2010,DE93,2,0.2886
2013,NUTS,2010,DE93,2,0.299
2015,NUTS,2010,DE93,2,0.2836
2017,NUTS,2010,DE93,2,0.3185
2019,NUTS,2010,DE93,2,0.3454
2011,NUTS,2010,DE94,2,0.2376
2013,NUTS,2010,DE94,2,0.2562
2015,NUTS,2010,DE94,2,0.3029
2017,NUTS,2010,DE94,2,0.3138
2019,NUTS,2010,DE94,2,0.3797
2011,NUTS,2010,DEA,1,0.6625
2013,NUTS,2010,DEA,1,0.6352
2015,NUTS,2010,DEA,1,0.6796
2017,NUTS,2010,DEA,1,0.6897
2019,NUTS,2010,DEA,1,0.7216
2011,NUTS,2010,DEA1,2,0.7117
2013,NUTS,2010,DEA1,2,0.6241
2015,NUTS,2010,DEA1,2,0.7025
2017,NUTS,2010,DEA1,2,0.7045
2019,NUTS,2010,DEA1,2,0.7356
2011,NUTS,2010,DEA2,2,0.8055
2013,NUTS,2010,DEA2,2,0.693
2015,NUTS,2010,DEA2,2,0.7804
2017,NUTS,2010,DEA2,2,0.8018
2019,NUTS,2010,DEA2,2,0.8401
2011,NUTS,2010,DEA3,2,0.2755
2013,NUTS,2010,DEA3,2,0.3009
2015,NUTS,2010,DEA3,2,0.3079
2017,NUTS,2010,DEA3,2,0.3104
2019,NUTS,2010,DEA3,2,0.3547
2011,NUTS,2010,DEA4,2,0.9082
2013,NUTS,2010,DEA4,2,0.9691
2015,NUTS,2010,DEA4,2,0.9656
2017,NUTS,2010,DEA4,2,0.9869
2019,NUTS,2010,DEA4,2,1.0178
2011,NUTS,2010,DEA5,2,0.557
2013,NUTS,2010,DEA5,2,0.6295
2015,NUTS,2010,DEA5,2,0.6289
2017,NUTS,2010,DEA5,2,0.6289
2019,NUTS,2010,DEA5,2,0.6559
2011,NUTS,2010,DEB,1,0.641
2013,NUTS,2010,DEB,1,0.6711
2015,NUTS,2010,DEB,1,0.7666
2017,NUTS,2010,DEB,1,0.7269
2019,NUTS,2010,DEB,1,0.8171
2011,NUTS,2010,DEB1,2,0.2772
2013,NUTS,2010,DEB1,2,0.2919
2015,NUTS,2010,DEB1,2,0.274
2017,NUTS,2010,DEB1,2,0.3132
2019,NUTS,2010,DEB1,2,0.3842
2011,NUTS,2010,DEB2,2,0.3022
2013,NUTS,2010,DEB2,2,0.273
2015,NUTS,2010,DEB2,2,0.2642
2017,NUTS,2010,DEB2,2,0.2491
2019,NUTS,2010,DEB2,2,0.248
2011,NUTS,2010,DEB3,2,1.0038
2013,NUTS,2010,DEB3,2,1.0557
2015,NUTS,2010,DEB3,2,1.2709
2017,NUTS,2010,DEB3,2,1.1642
2019,NUTS,2010,DEB3,2,1.2935
2011,NUTS,2010,DEC,1,0.3642
2013,NUTS,2010,DEC,1,0.3836
2015,NUTS,2010,DEC,1,0.4245
2017,NUTS,2010,DEC,1,0.543
2019,NUTS,2010,DEC,1,0.5737
2011,NUTS,2010,DEC0,2,0.3642
2013,NUTS,2010,DEC0,2,0.3836
2015,NUTS,2010,DEC0,2,0.4245
2017,NUTS,2010,DEC0,2,0.543
2019,NUTS,2010,DEC0,2,0.5737
2011,NUTS,2010,DED,1,0.5975
2013,NUTS,2010,DED,1,0.5613
2015,NUTS,2010,DED,1,0.6347
2017,NUTS,2010,DED,1,0.679
2019,NUTS,2010,DED,1,0.7359
2011,NUTS,2010,DED2,2,0.8089
2013,NUTS,2010,DED2,2,0.7577
