year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_act_hc_f
2016,NUTS,2010,DEB,1,0.0425
2017,NUTS,2010,DEB,1,0.0457
2018,NUTS,2010,DEB,1,0.0489
2019,NUTS,2010,DEB,1,0.059
2015,NUTS,2010,DEB1,2,0.0132
2016,NUTS,2010,DEB1,2,0.0143
2017,NUTS,2010,DEB1,2,0.012
2018,NUTS,2010,DEB1,2,0.0143
2019,NUTS,2010,DEB1,2,0.0173
2015,NUTS,2010,DEB2,2,0.0077
2016,NUTS,2010,DEB2,2,0.0074
2017,NUTS,2010,DEB2,2,0.0074
2018,NUTS,2010,DEB2,2,0.0095
2019,NUTS,2010,DEB2,2,0.0241
2015,NUTS,2010,DEB3,2,0.0654
2016,NUTS,2010,DEB3,2,0.0737
2017,NUTS,2010,DEB3,2,0.081
2018,NUTS,2010,DEB3,2,0.0854
2019,NUTS,2010,DEB3,2,0.0988
2015,NUTS,2010,DEC,1,0.1055
2016,NUTS,2010,DEC,1,0.1104
2017,NUTS,2010,DEC,1,0.0949
2018,NUTS,2010,DEC,1,0.0946
2019,NUTS,2010,DEC,1,0.1355
2015,NUTS,2010,DEC0,2,0.1055
2016,NUTS,2010,DEC0,2,0.1104
2017,NUTS,2010,DEC0,2,0.0949
2018,NUTS,2010,DEC0,2,0.0946
2019,NUTS,2010,DEC0,2,0.1355
2015,NUTS,2010,DED,1,0.1665
2016,NUTS,2010,DED,1,0.164
2017,NUTS,2010,DED,1,0.1715
2018,NUTS,2010,DED,1,0.1818
2019,NUTS,2010,DED,1,0.1907
2015,NUTS,2010,DED2,2,0.2136
2016,NUTS,2010,DED2,2,0.2062
2017,NUTS,2010,DED2,2,0.2179
2018,NUTS,2010,DED2,2,0.2254
2019,NUTS,2010,DED2,2,0.2341
2015,NUTS,2010,DED4,2,0.0415
2016,NUTS,2010,DED4,2,0.0469
2017,NUTS,2010,DED4,2,0.0461
2018,NUTS,2010,DED4,2,0.0489
2019,NUTS,2010,DED4,2,0.0507
2015,NUTS,2010,DED5,2,0.2624
2016,NUTS,2010,DED5,2,0.2542
2017,NUTS,2010,DED5,2,0.2682
2018,NUTS,2010,DED5,2,0.2862
2019,NUTS,2010,DED5,2,0.3027
2015,NUTS,2010,DEE,1,0.1217
2016,NUTS,2010,DEE,1,0.1241
2017,NUTS,2010,DEE,1,0.1291
2018,NUTS,2010,DEE,1,0.1433
2019,NUTS,2010,DEE,1,0.1406
2015,NUTS,2010,DEE0,2,0.1217
2016,NUTS,2010,DEE0,2,0.1241
2017,NUTS,2010,DEE0,2,0.1291
2018,NUTS,2010,DEE0,2,0.1433
2019,NUTS,2010,DEE0,2,0.1406
2015,NUTS,2010,DEF,1,0.0895
2016,NUTS,2010,DEF,1,0.0859
2017,NUTS,2010,DEF,1,0.1002
2018,NUTS,2010,DEF,1,0.0999
2019,NUTS,2010,DEF,1,0.0989
2015,NUTS,2010,DEF0,2,0.0895
2016,NUTS,2010,DEF0,2,0.0859
2017,NUTS,2010,DEF0,2,0.1002
2018,NUTS,2010,DEF0,2,0.0999
2019,NUTS,2010,DEF0,2,0.0989
2015,NUTS,2010,DEG,1,0.1113
2016,NUTS,2010,DEG,1,0.1288
2017,NUTS,2010,DEG,1,0.1164
2018,NUTS,2010,DEG,1,0.1284
2019,NUTS,2010,DEG,1,0.1245
2015,NUTS,2010,DEG0,2,0.1113
2016,NUTS,2010,DEG0,2,0.1288
2017,NUTS,2010,DEG0,2,0.1164
2018,NUTS,2010,DEG0,2,0.1284
2019,NUTS,2010,DEG0,2,0.1245
2011,NUTS,2010,DK,0,0.056
2012,NUTS,2010,DK,0,0.0688
2013,NUTS,2010,DK,0,0.0781
2014,NUTS,2010,DK,0,0.0879
2015,NUTS,2010,DK,0,0.0966
2016,NUTS,2010,DK,0,0.0931
2017,NUTS,2010,DK,0,0.0992
2018,NUTS,2010,DK,0,0.1008
2019,NUTS,2010,DK,0,0.0996
2011,NUTS,2010,DK0,1,0.0558
2012,NUTS,2010,DK0,1,0.0675
2013,NUTS,2010,DK0,1,0.0766
2014,NUTS,2010,DK0,1,0.0859
2015,NUTS,2010,DK0,1,0.0948
2016,NUTS,2010,DK0,1,0.091
2017,NUTS,2010,DK0,1,0.0972
2018,NUTS,2010,DK0,1,0.0988
2019,NUTS,2010,DK0,1,0.0976
2011,NUTS,2010,DK01,2,0.105
2012,NUTS,2010,DK01,2,0.09
2013,NUTS,2010,DK01,2,0.0914
2014,NUTS,2010,DK01,2,0.0952
2015,NUTS,2010,DK01,2,0.1025
2016,NUTS,2010,DK01,2,0.091
2017,NUTS,2010,DK01,2,0.1158
2019,NUTS,2010,DK01,2,0.134
2011,NUTS,2010,DK02,2,0.0472
2012,NUTS,2010,DK02,2,0.0485
2013,NUTS,2010,DK02,2,0.0794
2014,NUTS,2010,DK02,2,0.1258
2015,NUTS,2010,DK02,2,0.1447
2016,NUTS,2010,DK02,2,0.0971
2017,NUTS,2010,DK02,2,0.095
2019,NUTS,2010,DK02,2,0.0771
2011,NUTS,2010,DK03,2,0.0078
2012,NUTS,2010,DK03,2,0.0559
2013,NUTS,2010,DK03,2,0.063
2014,NUTS,2010,DK03,2,0.0625
2015,NUTS,2010,DK03,2,0.0676
2016,NUTS,2010,DK03,2,0.0833
2017,NUTS,2010,DK03,2,0.0141
2019,NUTS,2010,DK03,2,0.0174
2011,NUTS,2010,DK04,2,0.0535
2012,NUTS,2010,DK04,2,0.0796
2013,NUTS,2010,DK04,2,0.0914
2014,NUTS,2010,DK04,2,0.1007
2015,NUTS,2010,DK04,2,0.1104
2016,NUTS,2010,DK04,2,0.1257
2017,NUTS,2010,DK04,2,0.1126
2019,NUTS,2010,DK04,2,0.0984
2011,NUTS,2010,DK05,2,0.0054
2012,NUTS,2010,DK05,2,0.0115
2013,NUTS,2010,DK05,2,0.0146
2014,NUTS,2010,DK05,2,0.0147
2015,NUTS,2010,DK05,2,0.022
2016,NUTS,2010,DK05,2,0.0202
2017,NUTS,2010,DK05,2,0.1694
2019,NUTS,2010,DK05,2,0.163
2011,NUTS,2010,EA19,2,0.1084
2012,NUTS,2010,EA19,2,0.1126
2013,NUTS,2010,EA19,2,0.1122
2014,NUTS,2010,EA19,2,0.1106
2015,NUTS,2010,EA19,2,0.1178
2016,NUTS,2010,EA19,2,0.1205
2017,NUTS,2010,EA19,2,0.124
2018,NUTS,2010,EA19,2,0.1292
2019,NUTS,2010,EA19,2,0.1332
