year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_emp_fte_rse_t
2013,NUTS,2010,ES4,1,0.0002
2014,NUTS,2010,ES4,1,0.0002
2015,NUTS,2010,ES4,1,0.0004
2016,NUTS,2010,ES4,1,0.0005
2018,NUTS,2010,ES4,1,0.0005
2019,NUTS,2010,ES4,1,0.0004
2012,NUTS,2010,ES41,2,0.0004
2013,NUTS,2010,ES41,2,0.0003
2014,NUTS,2010,ES41,2,0.0004
2015,NUTS,2010,ES41,2,0.0005
2017,NUTS,2010,ES41,2,0.0005
2018,NUTS,2010,ES41,2,0.0006
2019,NUTS,2010,ES41,2,0.0003
2013,NUTS,2010,ES42,2,0.0002
2014,NUTS,2010,ES42,2,0.0001
2015,NUTS,2010,ES42,2,0.0002
2017,NUTS,2010,ES42,2,0.0003
2011,NUTS,2010,ES43,2,0.0003
2013,NUTS,2010,ES43,2,0.0004
2014,NUTS,2010,ES43,2,0.0003
2015,NUTS,2010,ES43,2,0.0005
2016,NUTS,2010,ES43,2,0.0006
2011,NUTS,2010,ES5,1,0.0014
2012,NUTS,2010,ES5,1,0.0014
2013,NUTS,2010,ES5,1,0.0013
2014,NUTS,2010,ES5,1,0.0019
2015,NUTS,2010,ES5,1,0.0016
2016,NUTS,2010,ES5,1,0.0028
2017,NUTS,2010,ES5,1,0.002
2018,NUTS,2010,ES5,1,0.0023
2011,NUTS,2010,ES51,2,0.0022
2012,NUTS,2010,ES51,2,0.002
2013,NUTS,2010,ES51,2,0.0019
2014,NUTS,2010,ES51,2,0.0029
2015,NUTS,2010,ES51,2,0.0027
2016,NUTS,2010,ES51,2,0.0046
2017,NUTS,2010,ES51,2,0.0032
2018,NUTS,2010,ES51,2,0.0037
2019,NUTS,2010,ES51,2,0.0033
2011,NUTS,2010,ES52,2,0.0004
2012,NUTS,2010,ES52,2,0.0005
2013,NUTS,2010,ES52,2,0.0004
2014,NUTS,2010,ES52,2,0.0005
2015,NUTS,2010,ES52,2,0.0002
2016,NUTS,2010,ES52,2,0.0002
2017,NUTS,2010,ES52,2,0.0002
2018,NUTS,2010,ES52,2,0.0004
2019,NUTS,2010,ES52,2,0.0004
2011,NUTS,2010,ES53,2,0.0004
2012,NUTS,2010,ES53,2,0.0004
2013,NUTS,2010,ES53,2,0.0005
2014,NUTS,2010,ES53,2,0.0005
2015,NUTS,2010,ES53,2,0.0003
2016,NUTS,2010,ES53,2,0.0009
2017,NUTS,2010,ES53,2,0.0009
2018,NUTS,2010,ES53,2,0.001
2011,NUTS,2010,ES6,1,0.0007
2012,NUTS,2010,ES6,1,0.0007
2013,NUTS,2010,ES6,1,0.0005
2014,NUTS,2010,ES6,1,0.0004
2015,NUTS,2010,ES6,1,0.0005
2016,NUTS,2010,ES6,1,0.0015
2017,NUTS,2010,ES6,1,0.0004
2018,NUTS,2010,ES6,1,0.0004
2019,NUTS,2010,ES6,1,0.0004
2011,NUTS,2010,ES61,2,0.0004
2012,NUTS,2010,ES61,2,0.0004
2013,NUTS,2010,ES61,2,0.0006
2014,NUTS,2010,ES61,2,0.0005
2015,NUTS,2010,ES61,2,0.0005
2016,NUTS,2010,ES61,2,0.0017
2017,NUTS,2010,ES61,2,0.0004
2018,NUTS,2010,ES61,2,0.0004
2019,NUTS,2010,ES61,2,0.0004
2012,NUTS,2010,ES62,2,0.002
2013,NUTS,2010,ES62,2,0.0004
2014,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES62,2,0.001
2016,NUTS,2010,ES62,2,0.0006
2018,NUTS,2010,ES62,2,0.0004
2019,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0003
2012,NUTS,2010,ES7,1,0.0003
2013,NUTS,2010,ES7,1,0.0002
2014,NUTS,2010,ES7,1,0.0002
2015,NUTS,2010,ES7,1,0.0002
2016,NUTS,2010,ES7,1,0.0002
2017,NUTS,2010,ES7,1,0.0001
2018,NUTS,2010,ES7,1,0.0003
2011,NUTS,2010,ES70,2,0.0003
2012,NUTS,2010,ES70,2,0.0003
2013,NUTS,2010,ES70,2,0.0002
2014,NUTS,2010,ES70,2,0.0002
2015,NUTS,2010,ES70,2,0.0002
2016,NUTS,2010,ES70,2,0.0002
2017,NUTS,2010,ES70,2,0.0001
2018,NUTS,2010,ES70,2,0.0003
2011,NUTS,2010,EU27_2020,7,0.0081
2012,NUTS,2010,EU27_2020,7,0.0081
2013,NUTS,2010,EU27_2020,7,0.006
2014,NUTS,2010,EU27_2020,7,0.0064
2015,NUTS,2010,EU27_2020,7,0.0064
2016,NUTS,2010,EU27_2020,7,0.0071
