year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_pc_act_hc
2013,NUTS,2010,DEB,1,0.1103
2014,NUTS,2010,DEB,1,0.1126
2015,NUTS,2010,DEB,1,0.1189
2016,NUTS,2010,DEB,1,0.1258
2017,NUTS,2010,DEB,1,0.1335
2018,NUTS,2010,DEB,1,0.1391
2019,NUTS,2010,DEB,1,0.1507
2011,NUTS,2010,DEB1,2,0.0267
2012,NUTS,2010,DEB1,2,0.0256
2013,NUTS,2010,DEB1,2,0.0374
2014,NUTS,2010,DEB1,2,0.0338
2015,NUTS,2010,DEB1,2,0.0314
2016,NUTS,2010,DEB1,2,0.0337
2017,NUTS,2010,DEB1,2,0.033
2018,NUTS,2010,DEB1,2,0.0354
2019,NUTS,2010,DEB1,2,0.0385
2011,NUTS,2010,DEB2,2,0.0494
2012,NUTS,2010,DEB2,2,0.0552
2013,NUTS,2010,DEB2,2,0.0199
2014,NUTS,2010,DEB2,2,0.0173
2015,NUTS,2010,DEB2,2,0.0149
2016,NUTS,2010,DEB2,2,0.0152
2017,NUTS,2010,DEB2,2,0.0148
2018,NUTS,2010,DEB2,2,0.0171
2019,NUTS,2010,DEB2,2,0.0348
2011,NUTS,2010,DEB3,2,0.2026
2012,NUTS,2010,DEB3,2,0.1934
2013,NUTS,2010,DEB3,2,0.1873
2014,NUTS,2010,DEB3,2,0.1959
2015,NUTS,2010,DEB3,2,0.2118
2016,NUTS,2010,DEB3,2,0.2238
2017,NUTS,2010,DEB3,2,0.2395
2018,NUTS,2010,DEB3,2,0.2494
2019,NUTS,2010,DEB3,2,0.2641
2011,NUTS,2010,DEC,1,0.2666
2012,NUTS,2010,DEC,1,0.2762
2013,NUTS,2010,DEC,1,0.2751
2014,NUTS,2010,DEC,1,0.2805
2015,NUTS,2010,DEC,1,0.3005
2016,NUTS,2010,DEC,1,0.2931
2017,NUTS,2010,DEC,1,0.2804
2018,NUTS,2010,DEC,1,0.2815
2019,NUTS,2010,DEC,1,0.3519
2011,NUTS,2010,DEC0,2,0.2666
2012,NUTS,2010,DEC0,2,0.2762
2013,NUTS,2010,DEC0,2,0.2751
2014,NUTS,2010,DEC0,2,0.2805
2015,NUTS,2010,DEC0,2,0.3005
2016,NUTS,2010,DEC0,2,0.2931
2017,NUTS,2010,DEC0,2,0.2804
2018,NUTS,2010,DEC0,2,0.2815
2019,NUTS,2010,DEC0,2,0.3519
2011,NUTS,2010,DED,1,0.4035
2012,NUTS,2010,DED,1,0.4204
2013,NUTS,2010,DED,1,0.4208
2014,NUTS,2010,DED,1,0.4185
2015,NUTS,2010,DED,1,0.4335
2016,NUTS,2010,DED,1,0.4357
2017,NUTS,2010,DED,1,0.4566
2018,NUTS,2010,DED,1,0.4787
2019,NUTS,2010,DED,1,0.4976
2011,NUTS,2010,DED2,2,0.6106
2012,NUTS,2010,DED2,2,0.6325
2013,NUTS,2010,DED2,2,0.3233
2014,NUTS,2010,DED2,2,0.6318
2015,NUTS,2010,DED2,2,0.6273
2016,NUTS,2010,DED2,2,0.6411
2017,NUTS,2010,DED2,2,0.6585
2018,NUTS,2010,DED2,2,0.6872
2019,NUTS,2010,DED2,2,0.7109
2011,NUTS,2010,DED4,2,0.1096
2012,NUTS,2010,DED4,2,0.122
2013,NUTS,2010,DED4,2,0.5417
2014,NUTS,2010,DED4,2,0.1308
2015,NUTS,2010,DED4,2,0.1449
2016,NUTS,2010,DED4,2,0.1412
2017,NUTS,2010,DED4,2,0.147
2018,NUTS,2010,DED4,2,0.1595
2019,NUTS,2010,DED4,2,0.1679
2011,NUTS,2010,DED5,2,0.5052
2012,NUTS,2010,DED5,2,0.5185
2013,NUTS,2010,DED5,2,0.3987
2014,NUTS,2010,DED5,2,0.4982
2015,NUTS,2010,DED5,2,0.5319
2016,NUTS,2010,DED5,2,0.5304
2017,NUTS,2010,DED5,2,0.5744
2018,NUTS,2010,DED5,2,0.5874
2019,NUTS,2010,DED5,2,0.6073
2011,NUTS,2010,DEE,1,0.2324
2012,NUTS,2010,DEE,1,0.2557
2013,NUTS,2010,DEE,1,0.2593
2014,NUTS,2010,DEE,1,0.2722
2015,NUTS,2010,DEE,1,0.2722
2016,NUTS,2010,DEE,1,0.2725
2017,NUTS,2010,DEE,1,0.2933
2018,NUTS,2010,DEE,1,0.3122
2019,NUTS,2010,DEE,1,0.311
2011,NUTS,2010,DEE0,2,0.2324
2012,NUTS,2010,DEE0,2,0.2557
2013,NUTS,2010,DEE0,2,0.2593
2014,NUTS,2010,DEE0,2,0.2722
2015,NUTS,2010,DEE0,2,0.2722
2016,NUTS,2010,DEE0,2,0.2725
2017,NUTS,2010,DEE0,2,0.2933
2018,NUTS,2010,DEE0,2,0.3122
2019,NUTS,2010,DEE0,2,0.311
2011,NUTS,2010,DEF,1,0.2114
2012,NUTS,2010,DEF,1,0.2268
2013,NUTS,2010,DEF,1,0.2332
2014,NUTS,2010,DEF,1,0.2332
2015,NUTS,2010,DEF,1,0.2176
2016,NUTS,2010,DEF,1,0.2136
2017,NUTS,2010,DEF,1,0.2251
2018,NUTS,2010,DEF,1,0.2278
2019,NUTS,2010,DEF,1,0.2245
2011,NUTS,2010,DEF0,2,0.2114
2012,NUTS,2010,DEF0,2,0.2268
2013,NUTS,2010,DEF0,2,0.2332
2014,NUTS,2010,DEF0,2,0.2332
2015,NUTS,2010,DEF0,2,0.2176
2016,NUTS,2010,DEF0,2,0.2136
2017,NUTS,2010,DEF0,2,0.2251
2018,NUTS,2010,DEF0,2,0.2278
2019,NUTS,2010,DEF0,2,0.2245
2011,NUTS,2010,DEG,1,0.2477
2012,NUTS,2010,DEG,1,0.2543
2013,NUTS,2010,DEG,1,0.2556
2014,NUTS,2010,DEG,1,0.2606
2015,NUTS,2010,DEG,1,0.2629
2016,NUTS,2010,DEG,1,0.2537
2017,NUTS,2010,DEG,1,0.2656
2018,NUTS,2010,DEG,1,0.2844
2019,NUTS,2010,DEG,1,0.2845
2011,NUTS,2010,DEG0,2,0.2477
2012,NUTS,2010,DEG0,2,0.2543
2013,NUTS,2010,DEG0,2,0.2556
2014,NUTS,2010,DEG0,2,0.2606
2015,NUTS,2010,DEG0,2,0.2629
2016,NUTS,2010,DEG0,2,0.2537
2017,NUTS,2010,DEG0,2,0.2656
2018,NUTS,2010,DEG0,2,0.2844
2019,NUTS,2010,DEG0,2,0.2845
2011,NUTS,2010,DK,0,0.0933
2012,NUTS,2010,DK,0,0.0973
2013,NUTS,2010,DK,0,0.1017
2014,NUTS,2010,DK,0,0.1066
2015,NUTS,2010,DK,0,0.115
2016,NUTS,2010,DK,0,0.107
2017,NUTS,2010,DK,0,0.1241
2018,NUTS,2010,DK,0,0.1257
2019,NUTS,2010,DK,0,0.1255
2020,NUTS,2010,DK,0,0.1266
2011,NUTS,2010,DK0,1,0.0939
2012,NUTS,2010,DK0,1,0.0945
2013,NUTS,2010,DK0,1,0.0988
2014,NUTS,2010,DK0,1,0.1034
2015,NUTS,2010,DK0,1,0.1115
2016,NUTS,2010,DK0,1,0.1035
2017,NUTS,2010,DK0,1,0.1203
2018,NUTS,2010,DK0,1,0.1217
2019,NUTS,2010,DK0,1,0.1214
2011,NUTS,2010,DK01,2,0.1694
2012,NUTS,2010,DK01,2,0.151
2013,NUTS,2010,DK01,2,0.1398
2014,NUTS,2010,DK01,2,0.137
2015,NUTS,2010,DK01,2,0.1383
2016,NUTS,2010,DK01,2,0.1263
2017,NUTS,2010,DK01,2,0.1834
2019,NUTS,2010,DK01,2,0.1918
2011,NUTS,2010,DK02,2,0.0631
2012,NUTS,2010,DK02,2,0.0697
2013,NUTS,2010,DK02,2,0.1021
2014,NUTS,2010,DK02,2,0.1373
2015,NUTS,2010,DK02,2,0.1589
2016,NUTS,2010,DK02,2,0.0889
2017,NUTS,2010,DK02,2,0.0874
2019,NUTS,2010,DK02,2,0.0916
2011,NUTS,2010,DK03,2,0.0578
2012,NUTS,2010,DK03,2,0.0675
2013,NUTS,2010,DK03,2,0.0717
2014,NUTS,2010,DK03,2,0.0734
2015,NUTS,2010,DK03,2,0.0744
2016,NUTS,2010,DK03,2,0.0908
2017,NUTS,2010,DK03,2,0.0174
2019,NUTS,2010,DK03,2,0.0181
2011,NUTS,2010,DK04,2,0.0751
2012,NUTS,2010,DK04,2,0.0892
2013,NUTS,2010,DK04,2,0.0993
2014,NUTS,2010,DK04,2,0.1008
2015,NUTS,2010,DK04,2,0.1151
2016,NUTS,2010,DK04,2,0.1259
2017,NUTS,2010,DK04,2,0.1177
2019,NUTS,2010,DK04,2,0.1013
2011,NUTS,2010,DK05,2,0.0115
2012,NUTS,2010,DK05,2,0.0147
2013,NUTS,2010,DK05,2,0.0147
2014,NUTS,2010,DK05,2,0.0143
2015,NUTS,2010,DK05,2,0.0266
2016,NUTS,2010,DK05,2,0.0222
2017,NUTS,2010,DK05,2,0.1712
2019,NUTS,2010,DK05,2,0.1829
2011,NUTS,2010,EA19,2,0.217
2012,NUTS,2010,EA19,2,0.2202
2013,NUTS,2010,EA19,2,0.2183
2014,NUTS,2010,EA19,2,0.2226
2015,NUTS,2010,EA19,2,0.2319
2016,NUTS,2010,EA19,2,0.2348
2017,NUTS,2010,EA19,2,0.2385
2018,NUTS,2010,EA19,2,0.2453
2019,NUTS,2010,EA19,2,0.2496
2011,NUTS,2010,EE,0,0.1628
2012,NUTS,2010,EE,0,0.1682
2013,NUTS,2010,EE,0,0.1725
2014,NUTS,2010,EE,0,0.1659
2015,NUTS,2010,EE,0,0.1674
2016,NUTS,2010,EE,0,0.1457
2017,NUTS,2010,EE,0,0.1461
2018,NUTS,2010,EE,0,0.1224
2019,NUTS,2010,EE,0,0.1217
2011,NUTS,2010,EL,0,0.2734
2013,NUTS,2010,EL,0,0.3531
2015,NUTS,2010,EL,0,0.5902
2017,NUTS,2010,EL,0,0.5563
2019,NUTS,2010,EL,0,0.6405
2011,NUTS,2010,EL3,1,0.3196
2013,NUTS,2010,EL3,1,0.4177
2015,NUTS,2010,EL3,1,0.8137
2017,NUTS,2010,EL3,1,0.896
2019,NUTS,2010,EL3,1,1.0475
2011,NUTS,2010,EL30,2,0.3196
2013,NUTS,2010,EL30,2,0.4177
2015,NUTS,2010,EL30,2,0.8137
2017,NUTS,2010,EL30,2,0.896
2019,NUTS,2010,EL30,2,1.0475
2011,NUTS,2010,EL4,1,0.4003
2013,NUTS,2010,EL4,1,0.5218
2015,NUTS,2010,EL4,1,0.6497
2017,NUTS,2010,EL4,1,0.5987
2019,NUTS,2010,EL4,1,0.5823
2011,NUTS,2010,EL41,2,0.1662
2013,NUTS,2010,EL41,2,0.1983
2015,NUTS,2010,EL41,2,0.6124
2017,NUTS,2010,EL41,2,0.4078
2019,NUTS,2010,EL41,2,0.3855
2011,NUTS,2010,EL42,2,0.2633
2013,NUTS,2010,EL42,2,0.2609
2015,NUTS,2010,EL42,2,0.2457
2017,NUTS,2010,EL42,2,0.2032
2019,NUTS,2010,EL42,2,0.2318
2011,NUTS,2010,EL43,2,0.5346
2013,NUTS,2010,EL43,2,0.7591
2015,NUTS,2010,EL43,2,0.888
