year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_pc_act_fte_t
2014,NUTS,2010,DE72,2,0.0324
2015,NUTS,2010,DE72,2,0.0489
2016,NUTS,2010,DE72,2,0.055
2017,NUTS,2010,DE72,2,0.0616
2018,NUTS,2010,DE72,2,0.0531
2019,NUTS,2010,DE72,2,0.0521
2011,NUTS,2010,DE73,2,0.0321
2012,NUTS,2010,DE73,2,0.038
2013,NUTS,2010,DE73,2,0.04
2014,NUTS,2010,DE73,2,0.0401
2015,NUTS,2010,DE73,2,0.0559
2016,NUTS,2010,DE73,2,0.0587
2017,NUTS,2010,DE73,2,0.0598
2018,NUTS,2010,DE73,2,0.0421
2019,NUTS,2010,DE73,2,0.0455
2011,NUTS,2010,DE8,1,0.2475
2012,NUTS,2010,DE8,1,0.2559
2013,NUTS,2010,DE8,1,0.2548
2014,NUTS,2010,DE8,1,0.2664
2015,NUTS,2010,DE8,1,0.2639
2016,NUTS,2010,DE8,1,0.2708
2017,NUTS,2010,DE8,1,0.2741
2018,NUTS,2010,DE8,1,0.2842
2019,NUTS,2010,DE8,1,0.2889
2011,NUTS,2010,DE80,2,0.2475
2012,NUTS,2010,DE80,2,0.2559
2013,NUTS,2010,DE80,2,0.2548
2014,NUTS,2010,DE80,2,0.2664
2015,NUTS,2010,DE80,2,0.2639
2016,NUTS,2010,DE80,2,0.2708
2017,NUTS,2010,DE80,2,0.2741
2018,NUTS,2010,DE80,2,0.2842
2019,NUTS,2010,DE80,2,0.2889
2011,NUTS,2010,DE9,1,0.1994
2012,NUTS,2010,DE9,1,0.2007
2013,NUTS,2010,DE9,1,0.2009
2014,NUTS,2010,DE9,1,0.2099
2015,NUTS,2010,DE9,1,0.2074
2016,NUTS,2010,DE9,1,0.2033
2017,NUTS,2010,DE9,1,0.2032
2018,NUTS,2010,DE9,1,0.2091
2019,NUTS,2010,DE9,1,0.2034
2011,NUTS,2010,DE91,2,0.7183
2012,NUTS,2010,DE91,2,0.7314
2013,NUTS,2010,DE91,2,0.7505
2014,NUTS,2010,DE91,2,0.776
2015,NUTS,2010,DE91,2,0.7614
2016,NUTS,2010,DE91,2,0.7659
2017,NUTS,2010,DE91,2,0.7579
2018,NUTS,2010,DE91,2,0.7441
2019,NUTS,2010,DE91,2,0.7416
2011,NUTS,2010,DE92,2,0.1192
2012,NUTS,2010,DE92,2,0.1193
2013,NUTS,2010,DE92,2,0.1117
2014,NUTS,2010,DE92,2,0.1326
2015,NUTS,2010,DE92,2,0.127
2016,NUTS,2010,DE92,2,0.1273
2017,NUTS,2010,DE92,2,0.1226
2018,NUTS,2010,DE92,2,0.1549
2019,NUTS,2010,DE92,2,0.1474
2011,NUTS,2010,DE93,2,0.0394
2012,NUTS,2010,DE93,2,0.04
2013,NUTS,2010,DE93,2,0.0345
2014,NUTS,2010,DE93,2,0.0271
2015,NUTS,2010,DE93,2,0.0355
2016,NUTS,2010,DE93,2,0.0262
2017,NUTS,2010,DE93,2,0.0388
2018,NUTS,2010,DE93,2,0.0321
2019,NUTS,2010,DE93,2,0.0315
2011,NUTS,2010,DE94,2,0.0434
2012,NUTS,2010,DE94,2,0.0434
2013,NUTS,2010,DE94,2,0.0472
2014,NUTS,2010,DE94,2,0.0516
2015,NUTS,2010,DE94,2,0.0472
2016,NUTS,2010,DE94,2,0.0406
2017,NUTS,2010,DE94,2,0.0434
2018,NUTS,2010,DE94,2,0.0465
2019,NUTS,2010,DE94,2,0.0375
2011,NUTS,2010,DEA,1,0.1829
2012,NUTS,2010,DEA,1,0.1874
2013,NUTS,2010,DEA,1,0.188
2014,NUTS,2010,DEA,1,0.1953
2015,NUTS,2010,DEA,1,0.1966
2016,NUTS,2010,DEA,1,0.194
2017,NUTS,2010,DEA,1,0.198
2018,NUTS,2010,DEA,1,0.2048
2019,NUTS,2010,DEA,1,0.21
2011,NUTS,2010,DEA1,2,0.0831
2012,NUTS,2010,DEA1,2,0.0827
2013,NUTS,2010,DEA1,2,0.0762
2014,NUTS,2010,DEA1,2,0.0827
2015,NUTS,2010,DEA1,2,0.0855
2016,NUTS,2010,DEA1,2,0.0829
2017,NUTS,2010,DEA1,2,0.0837
2018,NUTS,2010,DEA1,2,0.0909
2019,NUTS,2010,DEA1,2,0.091
2011,NUTS,2010,DEA2,2,0.546
2012,NUTS,2010,DEA2,2,0.5641
2013,NUTS,2010,DEA2,2,0.5696
2014,NUTS,2010,DEA2,2,0.5856
2015,NUTS,2010,DEA2,2,0.5829
2016,NUTS,2010,DEA2,2,0.5602
2017,NUTS,2010,DEA2,2,0.5714
2018,NUTS,2010,DEA2,2,0.5927
2019,NUTS,2010,DEA2,2,0.611
2011,NUTS,2010,DEA3,2,0.0426
2012,NUTS,2010,DEA3,2,0.0403
2013,NUTS,2010,DEA3,2,0.0395
2014,NUTS,2010,DEA3,2,0.036
2015,NUTS,2010,DEA3,2,0.0339
2016,NUTS,2010,DEA3,2,0.0365
2017,NUTS,2010,DEA3,2,0.0391
2018,NUTS,2010,DEA3,2,0.0391
2019,NUTS,2010,DEA3,2,0.0375
2011,NUTS,2010,DEA4,2,0.0405
2012,NUTS,2010,DEA4,2,0.0463
2013,NUTS,2010,DEA4,2,0.044
2014,NUTS,2010,DEA4,2,0.0451
2015,NUTS,2010,DEA4,2,0.048
2016,NUTS,2010,DEA4,2,0.0525
2017,NUTS,2010,DEA4,2,0.0589
2018,NUTS,2010,DEA4,2,0.0631
2019,NUTS,2010,DEA4,2,0.0655
2011,NUTS,2010,DEA5,2,0.0684
2012,NUTS,2010,DEA5,2,0.0682
2013,NUTS,2010,DEA5,2,0.0742
2014,NUTS,2010,DEA5,2,0.0838
2015,NUTS,2010,DEA5,2,0.0864
2016,NUTS,2010,DEA5,2,0.0868
2017,NUTS,2010,DEA5,2,0.088
