year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_fte_t
2011,NUTS,2010,CN_X_HK,5,1318086.0
2012,NUTS,2010,CN_X_HK,5,1404017.0
2013,NUTS,2010,CN_X_HK,5,1484040.0
2014,NUTS,2010,CN_X_HK,5,1524280.0
2015,NUTS,2010,CN_X_HK,5,1619028.0
2016,NUTS,2010,CN_X_HK,5,1692176.0
2017,NUTS,2010,CN_X_HK,5,1740442.0
2018,NUTS,2010,CN_X_HK,5,1866109.0
2019,NUTS,2010,CN_X_HK,5,2109460.0
2011,NUTS,2010,CY,0,917.0
2012,NUTS,2010,CY,0,881.0
2013,NUTS,2010,CY,0,889.0
2014,NUTS,2010,CY,0,902.0
2015,NUTS,2010,CY,0,856.0
2016,NUTS,2010,CY,0,898.0
2017,NUTS,2010,CY,0,1034.0
2018,NUTS,2010,CY,0,1217.0
2019,NUTS,2010,CY,0,1452.0
2020,NUTS,2010,CY,0,1515.0
2011,NUTS,2010,CZ,0,30682.0
2012,NUTS,2010,CZ,0,33217.0
2013,NUTS,2010,CZ,0,34271.0
2014,NUTS,2010,CZ,0,36040.0
2015,NUTS,2010,CZ,0,38081.0
2016,NUTS,2010,CZ,0,37338.0
2017,NUTS,2010,CZ,0,39181.0
2018,NUTS,2010,CZ,0,41198.0
2019,NUTS,2010,CZ,0,42500.0
2020,NUTS,2010,CZ,0,44206.0
2011,NUTS,2010,CZ0,1,30682.0
2012,NUTS,2010,CZ0,1,33217.0
2013,NUTS,2010,CZ0,1,34271.0
2014,NUTS,2010,CZ0,1,36040.0
2015,NUTS,2010,CZ0,1,38081.0
2016,NUTS,2010,CZ0,1,37338.0
2017,NUTS,2010,CZ0,1,39181.0
2018,NUTS,2010,CZ0,1,41198.0
2019,NUTS,2010,CZ0,1,42500.0
2020,NUTS,2010,CZ0,1,44206.0
2011,NUTS,2010,CZ01,2,12395.0
2012,NUTS,2010,CZ01,2,12540.0
2013,NUTS,2010,CZ01,2,13637.0
2014,NUTS,2010,CZ01,2,13580.0
2015,NUTS,2010,CZ01,2,13854.0
2016,NUTS,2010,CZ01,2,13483.0
2017,NUTS,2010,CZ01,2,15187.0
2018,NUTS,2010,CZ01,2,16727.0
2019,NUTS,2010,CZ01,2,16637.0
2020,NUTS,2010,CZ01,2,17079.0
2011,NUTS,2010,CZ02,2,3072.0
2012,NUTS,2010,CZ02,2,3102.0
2013,NUTS,2010,CZ02,2,3073.0
2014,NUTS,2010,CZ02,2,3041.0
2015,NUTS,2010,CZ02,2,3504.0
2016,NUTS,2010,CZ02,2,3205.0
2017,NUTS,2010,CZ02,2,3202.0
2018,NUTS,2010,CZ02,2,3660.0
2019,NUTS,2010,CZ02,2,3845.0
2020,NUTS,2010,CZ02,2,3968.0
2011,NUTS,2010,CZ03,2,2094.0
2012,NUTS,2010,CZ03,2,2147.0
2013,NUTS,2010,CZ03,2,2366.0
2014,NUTS,2010,CZ03,2,2726.0
2015,NUTS,2010,CZ03,2,2690.0
2016,NUTS,2010,CZ03,2,2617.0
2017,NUTS,2010,CZ03,2,2733.0
2018,NUTS,2010,CZ03,2,2881.0
2019,NUTS,2010,CZ03,2,3312.0
2020,NUTS,2010,CZ03,2,3368.0
2011,NUTS,2010,CZ04,2,467.0
2012,NUTS,2010,CZ04,2,526.0
2013,NUTS,2010,CZ04,2,537.0
2014,NUTS,2010,CZ04,2,583.0
2015,NUTS,2010,CZ04,2,592.0
2016,NUTS,2010,CZ04,2,563.0
2017,NUTS,2010,CZ04,2,654.0
2018,NUTS,2010,CZ04,2,712.0
