year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps
2011,NUTS,2010,RO2,1,10.31
2012,NUTS,2010,RO2,1,36.95
2013,NUTS,2010,RO2,1,25.485
2014,NUTS,2010,RO2,1,20.479
2015,NUTS,2010,RO2,1,19.904
2016,NUTS,2010,RO2,1,16.745
2017,NUTS,2010,RO2,1,15.481
2018,NUTS,2010,RO2,1,14.612
2019,NUTS,2010,RO2,1,64.296
2011,NUTS,2010,RO21,2,9.449
2012,NUTS,2010,RO21,2,29.397
2013,NUTS,2010,RO21,2,22.668
2014,NUTS,2010,RO21,2,17.47
2015,NUTS,2010,RO21,2,13.707
2016,NUTS,2010,RO21,2,13.112
2017,NUTS,2010,RO21,2,13.355
2018,NUTS,2010,RO21,2,14.612
2019,NUTS,2010,RO21,2,62.729
2011,NUTS,2010,RO22,2,0.86
2012,NUTS,2010,RO22,2,7.553
2013,NUTS,2010,RO22,2,2.817
2014,NUTS,2010,RO22,2,3.009
2015,NUTS,2010,RO22,2,6.196
2016,NUTS,2010,RO22,2,3.633
2017,NUTS,2010,RO22,2,2.126
2018,NUTS,2010,RO22,2,0.0
2019,NUTS,2010,RO22,2,1.568
2011,NUTS,2010,RO3,1,360.211
2012,NUTS,2010,RO3,1,381.04
2013,NUTS,2010,RO3,1,247.289
2014,NUTS,2010,RO3,1,320.168
2015,NUTS,2010,RO3,1,431.354
2016,NUTS,2010,RO3,1,620.969
2017,NUTS,2010,RO3,1,799.047
2018,NUTS,2010,RO3,1,839.822
2019,NUTS,2010,RO3,1,838.735
2011,NUTS,2010,RO31,2,112.045
2012,NUTS,2010,RO31,2,139.223
2013,NUTS,2010,RO31,2,106.282
2014,NUTS,2010,RO31,2,118.925
2015,NUTS,2010,RO31,2,115.786
2016,NUTS,2010,RO31,2,136.748
2017,NUTS,2010,RO31,2,131.756
2018,NUTS,2010,RO31,2,130.766
2019,NUTS,2010,RO31,2,158.194
2011,NUTS,2010,RO32,2,248.166
2012,NUTS,2010,RO32,2,241.817
2013,NUTS,2010,RO32,2,141.007
2014,NUTS,2010,RO32,2,201.244
2015,NUTS,2010,RO32,2,315.569
2016,NUTS,2010,RO32,2,484.221
2017,NUTS,2010,RO32,2,667.291
2018,NUTS,2010,RO32,2,709.057
2019,NUTS,2010,RO32,2,680.54
2011,NUTS,2010,RO4,1,22.554
2012,NUTS,2010,RO4,1,28.773
2013,NUTS,2010,RO4,1,28.995
2014,NUTS,2010,RO4,1,14.999
2015,NUTS,2010,RO4,1,82.389
2016,NUTS,2010,RO4,1,111.273
2017,NUTS,2010,RO4,1,97.503
2018,NUTS,2010,RO4,1,146.21
2019,NUTS,2010,RO4,1,114.074
2011,NUTS,2010,RO41,2,12.735
2012,NUTS,2010,RO41,2,8.913
2013,NUTS,2010,RO41,2,5.423
2014,NUTS,2010,RO41,2,3.794
2015,NUTS,2010,RO41,2,3.778
2016,NUTS,2010,RO41,2,3.909
2017,NUTS,2010,RO41,2,10.009
2018,NUTS,2010,RO41,2,34.419
2019,NUTS,2010,RO41,2,7.193
2011,NUTS,2010,RO42,2,9.819
2012,NUTS,2010,RO42,2,19.86
2013,NUTS,2010,RO42,2,23.572
2014,NUTS,2010,RO42,2,11.204
2015,NUTS,2010,RO42,2,78.611
2016,NUTS,2010,RO42,2,107.365
2017,NUTS,2010,RO42,2,87.494
2018,NUTS,2010,RO42,2,111.79
2019,NUTS,2010,RO42,2,106.881
2011,NUTS,2010,RS,0,47.539
2012,NUTS,2010,RS,0,157.833
2013,NUTS,2010,RS,0,68.577
2014,NUTS,2010,RS,0,160.601
2015,NUTS,2010,RS,0,195.941
2016,NUTS,2010,RS,0,244.399
2017,NUTS,2010,RS,0,256.216
2018,NUTS,2010,RS,0,301.505
2019,NUTS,2010,RS,0,311.716
2020,NUTS,2010,RS,0,311.017
2018,NUTS,2010,RS1,1,293.833
2019,NUTS,2010,RS1,1,295.535
2020,NUTS,2010,RS1,1,299.095
2018,NUTS,2010,RS11,2,204.483
2019,NUTS,2010,RS11,2,239.045
2020,NUTS,2010,RS11,2,246.947
2018,NUTS,2010,RS12,2,89.35
2019,NUTS,2010,RS12,2,56.491
2020,NUTS,2010,RS12,2,52.148
2018,NUTS,2010,RS2,1,7.672
2019,NUTS,2010,RS2,1,16.181
2020,NUTS,2010,RS2,1,11.923
2018,NUTS,2010,RS21,2,1.859
2019,NUTS,2010,RS21,2,8.562
2020,NUTS,2010,RS21,2,6.085
2018,NUTS,2010,RS22,2,5.813
2019,NUTS,2010,RS22,2,7.619
2020,NUTS,2010,RS22,2,5.838
2011,NUTS,2010,RU,0,16182.211
2012,NUTS,2010,RU,0,16726.935
2013,NUTS,2010,RU,0,17624.65
2014,NUTS,2010,RU,0,18455.171
2015,NUTS,2010,RU,0,19079.689
