year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_act_fte_total_t
2015,NUTS,2010,ES53,2,0.0006
2016,NUTS,2010,ES53,2,0.0013
2017,NUTS,2010,ES53,2,0.0011
2018,NUTS,2010,ES53,2,0.0012
2011,NUTS,2010,ES6,1,0.0008
2012,NUTS,2010,ES6,1,0.0014
2013,NUTS,2010,ES6,1,0.0012
2014,NUTS,2010,ES6,1,0.0011
2015,NUTS,2010,ES6,1,0.0014
2016,NUTS,2010,ES6,1,0.0018
2017,NUTS,2010,ES6,1,0.0014
2018,NUTS,2010,ES6,1,0.0016
2019,NUTS,2010,ES6,1,0.0018
2011,NUTS,2010,ES61,2,0.0006
2012,NUTS,2010,ES61,2,0.0014
2013,NUTS,2010,ES61,2,0.0014
2014,NUTS,2010,ES61,2,0.0013
2015,NUTS,2010,ES61,2,0.0014
2016,NUTS,2010,ES61,2,0.0021
2017,NUTS,2010,ES61,2,0.0016
2018,NUTS,2010,ES61,2,0.0019
2019,NUTS,2010,ES61,2,0.0021
2012,NUTS,2010,ES62,2,0.0015
2013,NUTS,2010,ES62,2,0.0003
2014,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES62,2,0.0012
2016,NUTS,2010,ES62,2,0.0006
2018,NUTS,2010,ES62,2,0.0005
2019,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0006
2012,NUTS,2010,ES7,1,0.0006
2013,NUTS,2010,ES7,1,0.0005
2014,NUTS,2010,ES7,1,0.0005
2015,NUTS,2010,ES7,1,0.0004
2016,NUTS,2010,ES7,1,0.0004
2017,NUTS,2010,ES7,1,0.0003
2018,NUTS,2010,ES7,1,0.0003
2011,NUTS,2010,ES70,2,0.0006
2012,NUTS,2010,ES70,2,0.0006
2013,NUTS,2010,ES70,2,0.0005
2014,NUTS,2010,ES70,2,0.0005
2015,NUTS,2010,ES70,2,0.0004
2016,NUTS,2010,ES70,2,0.0004
2017,NUTS,2010,ES70,2,0.0003
2018,NUTS,2010,ES70,2,0.0003
2011,NUTS,2010,EU27_2020,7,0.0105
2012,NUTS,2010,EU27_2020,7,0.0106
2013,NUTS,2010,EU27_2020,7,0.0085
2014,NUTS,2010,EU27_2020,7,0.0091
2015,NUTS,2010,EU27_2020,7,0.0091
2016,NUTS,2010,EU27_2020,7,0.0097
2017,NUTS,2010,EU27_2020,7,0.0097
2018,NUTS,2010,EU27_2020,7,0.0105
2019,NUTS,2010,EU27_2020,7,0.0109
2020,NUTS,2010,EU27_2020,7,0.0113
2011,NUTS,2010,FI,0,0.0238
2012,NUTS,2010,FI,0,0.0209
2013,NUTS,2010,FI,0,0.0211
2014,NUTS,2010,FI,0,0.0225
2015,NUTS,2010,FI,0,0.0218
2016,NUTS,2010,FI,0,0.0232
2017,NUTS,2010,FI,0,0.0232
2018,NUTS,2010,FI,0,0.0249
2019,NUTS,2010,FI,0,0.0228
2020,NUTS,2010,FI,0,0.0233
