year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_fte
2017,NUTS,2010,DE71,2,4602.0
2018,NUTS,2010,DE71,2,4730.0
2019,NUTS,2010,DE71,2,4825.0
2011,NUTS,2010,DE72,2,153.0
2012,NUTS,2010,DE72,2,147.0
2013,NUTS,2010,DE72,2,150.0
2014,NUTS,2010,DE72,2,173.0
2015,NUTS,2010,DE72,2,258.0
2016,NUTS,2010,DE72,2,303.0
2017,NUTS,2010,DE72,2,330.0
2018,NUTS,2010,DE72,2,282.0
2019,NUTS,2010,DE72,2,279.0
2011,NUTS,2010,DE73,2,198.0
2012,NUTS,2010,DE73,2,235.0
2013,NUTS,2010,DE73,2,247.0
2014,NUTS,2010,DE73,2,247.0
2015,NUTS,2010,DE73,2,348.0
2016,NUTS,2010,DE73,2,361.0
2017,NUTS,2010,DE73,2,375.0
2018,NUTS,2010,DE73,2,266.0
2019,NUTS,2010,DE73,2,290.0
2011,NUTS,2010,DE8,1,2097.0
2012,NUTS,2010,DE8,1,2134.0
2013,NUTS,2010,DE8,1,2102.0
2014,NUTS,2010,DE8,1,2174.0
2015,NUTS,2010,DE8,1,2129.0
2016,NUTS,2010,DE8,1,2192.0
2017,NUTS,2010,DE8,1,2187.0
2018,NUTS,2010,DE8,1,2222.0
2019,NUTS,2010,DE8,1,2289.0
2011,NUTS,2010,DE80,2,2097.0
2012,NUTS,2010,DE80,2,2134.0
2013,NUTS,2010,DE80,2,2102.0
2014,NUTS,2010,DE80,2,2174.0
2015,NUTS,2010,DE80,2,2129.0
2016,NUTS,2010,DE80,2,2192.0
2017,NUTS,2010,DE80,2,2187.0
2018,NUTS,2010,DE80,2,2222.0
2019,NUTS,2010,DE80,2,2289.0
2011,NUTS,2010,DE9,1,7761.0
2012,NUTS,2010,DE9,1,7864.0
2013,NUTS,2010,DE9,1,7957.0
2014,NUTS,2010,DE9,1,8333.0
2015,NUTS,2010,DE9,1,8308.0
2016,NUTS,2010,DE9,1,8255.0
2017,NUTS,2010,DE9,1,8324.0
2018,NUTS,2010,DE9,1,8589.0
2019,NUTS,2010,DE9,1,8434.0
2011,NUTS,2010,DE91,2,5656.0
2012,NUTS,2010,DE91,2,5725.0
2013,NUTS,2010,DE91,2,5874.0
2014,NUTS,2010,DE91,2,6024.0
2015,NUTS,2010,DE91,2,6039.0
2016,NUTS,2010,DE91,2,6121.0
2017,NUTS,2010,DE91,2,6071.0
2018,NUTS,2010,DE91,2,5989.0
2019,NUTS,2010,DE91,2,6008.0
2011,NUTS,2010,DE92,2,1245.0
2012,NUTS,2010,DE92,2,1270.0
2013,NUTS,2010,DE92,2,1197.0
2014,NUTS,2010,DE92,2,1428.0
2015,NUTS,2010,DE92,2,1361.0
2016,NUTS,2010,DE92,2,1373.0
2017,NUTS,2010,DE92,2,1337.0
2018,NUTS,2010,DE92,2,1698.0
2019,NUTS,2010,DE92,2,1646.0
2011,NUTS,2010,DE93,2,332.0
2012,NUTS,2010,DE93,2,334.0
2013,NUTS,2010,DE93,2,290.0
2014,NUTS,2010,DE93,2,232.0
2015,NUTS,2010,DE93,2,311.0
2016,NUTS,2010,DE93,2,227.0
2017,NUTS,2010,DE93,2,343.0
2018,NUTS,2010,DE93,2,280.0
2019,NUTS,2010,DE93,2,279.0
2011,NUTS,2010,DE94,2,529.0
2012,NUTS,2010,DE94,2,535.0
2013,NUTS,2010,DE94,2,596.0
2014,NUTS,2010,DE94,2,649.0
2015,NUTS,2010,DE94,2,597.0
2016,NUTS,2010,DE94,2,534.0
2017,NUTS,2010,DE94,2,573.0
2018,NUTS,2010,DE94,2,621.0
2019,NUTS,2010,DE94,2,502.0
2011,NUTS,2010,DEA,1,15743.0
2012,NUTS,2010,DEA,1,16184.0
2013,NUTS,2010,DEA,1,16343.0
2014,NUTS,2010,DEA,1,17099.0
2015,NUTS,2010,DEA,1,17301.0
2016,NUTS,2010,DEA,1,17444.0
2017,NUTS,2010,DEA,1,17880.0
2018,NUTS,2010,DEA,1,18584.0
2019,NUTS,2010,DEA,1,19183.0
2011,NUTS,2010,DEA1,2,2078.0
2012,NUTS,2010,DEA1,2,2071.0
2013,NUTS,2010,DEA1,2,1924.0
