year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_pps_kp05
2019,NUTS,2010,ES2,1,0.92
2011,NUTS,2010,ES21,2,1.739
2012,NUTS,2010,ES21,2,1.832
2013,NUTS,2010,ES21,2,1.378
2014,NUTS,2010,ES21,2,1.326
2015,NUTS,2010,ES21,2,1.919
2016,NUTS,2010,ES21,2,0.956
2017,NUTS,2010,ES21,2,0.944
2018,NUTS,2010,ES21,2,0.932
2019,NUTS,2010,ES21,2,0.92
2011,NUTS,2010,ES22,2,0.127
2015,NUTS,2010,ES22,2,0.0
2011,NUTS,2010,ES23,2,0.157
2012,NUTS,2010,ES23,2,0.199
2014,NUTS,2010,ES23,2,0.07
2015,NUTS,2010,ES23,2,0.0
2016,NUTS,2010,ES23,2,0.0
2017,NUTS,2010,ES23,2,0.0
2018,NUTS,2010,ES23,2,0.0
2011,NUTS,2010,ES24,2,0.261
2012,NUTS,2010,ES24,2,0.335
2013,NUTS,2010,ES24,2,0.203
2014,NUTS,2010,ES24,2,0.051
2015,NUTS,2010,ES24,2,0.0
2016,NUTS,2010,ES24,2,0.0
2017,NUTS,2010,ES24,2,0.0
2018,NUTS,2010,ES24,2,0.0
2011,NUTS,2010,ES3,1,5.932
2012,NUTS,2010,ES3,1,5.667
2013,NUTS,2010,ES3,1,5.05
2014,NUTS,2010,ES3,1,4.341
2015,NUTS,2010,ES3,1,4.797
2016,NUTS,2010,ES3,1,4.781
2017,NUTS,2010,ES3,1,5.664
2018,NUTS,2010,ES3,1,9.324
2019,NUTS,2010,ES3,1,13.805
2011,NUTS,2010,ES30,2,5.932
2012,NUTS,2010,ES30,2,5.667
2013,NUTS,2010,ES30,2,5.05
2014,NUTS,2010,ES30,2,4.341
2015,NUTS,2010,ES30,2,4.797
2016,NUTS,2010,ES30,2,4.781
2017,NUTS,2010,ES30,2,5.664
2018,NUTS,2010,ES30,2,9.324
2019,NUTS,2010,ES30,2,13.805
2011,NUTS,2010,ES4,1,0.779
2013,NUTS,2010,ES4,1,0.347
2014,NUTS,2010,ES4,1,0.312
2015,NUTS,2010,ES4,1,0.959
2016,NUTS,2010,ES4,1,0.956
2018,NUTS,2010,ES4,1,0.932
2019,NUTS,2010,ES4,1,0.92
2012,NUTS,2010,ES41,2,0.303
2013,NUTS,2010,ES41,2,0.219
2014,NUTS,2010,ES41,2,0.242
2015,NUTS,2010,ES41,2,0.0
2017,NUTS,2010,ES41,2,0.0
2018,NUTS,2010,ES41,2,0.0
2019,NUTS,2010,ES41,2,0.0
2013,NUTS,2010,ES42,2,0.04
2014,NUTS,2010,ES42,2,0.014
2015,NUTS,2010,ES42,2,0.0
2017,NUTS,2010,ES42,2,0.0
2011,NUTS,2010,ES43,2,0.082
2013,NUTS,2010,ES43,2,0.086
2014,NUTS,2010,ES43,2,0.056
2015,NUTS,2010,ES43,2,0.0
2016,NUTS,2010,ES43,2,0.0
2011,NUTS,2010,ES5,1,9.106
2012,NUTS,2010,ES5,1,9.737
2013,NUTS,2010,ES5,1,7.661
