year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_hc_t
2017,NUTS,2010,DE1,1,137238.0
2019,NUTS,2010,DE1,1,144946.0
2011,NUTS,2010,DE11,2,43578.0
2013,NUTS,2010,DE11,2,46987.0
2015,NUTS,2010,DE11,2,52621.0
2017,NUTS,2010,DE11,2,62608.0
2019,NUTS,2010,DE11,2,65737.0
2011,NUTS,2010,DE12,2,29462.0
2013,NUTS,2010,DE12,2,30076.0
2015,NUTS,2010,DE12,2,32345.0
2017,NUTS,2010,DE12,2,35654.0
2019,NUTS,2010,DE12,2,37140.0
2011,NUTS,2010,DE13,2,15316.0
2013,NUTS,2010,DE13,2,15578.0
2015,NUTS,2010,DE13,2,16636.0
2017,NUTS,2010,DE13,2,17582.0
2019,NUTS,2010,DE13,2,18822.0
2011,NUTS,2010,DE14,2,17065.0
2013,NUTS,2010,DE14,2,18864.0
2015,NUTS,2010,DE14,2,20198.0
2017,NUTS,2010,DE14,2,21393.0
2019,NUTS,2010,DE14,2,23246.0
2011,NUTS,2010,DE2,1,91276.0
2013,NUTS,2010,DE2,1,96594.0
2015,NUTS,2010,DE2,1,105979.0
2017,NUTS,2010,DE2,1,109699.0
2019,NUTS,2010,DE2,1,122972.0
2011,NUTS,2010,DE21,2,52129.0
2013,NUTS,2010,DE21,2,55609.0
2015,NUTS,2010,DE21,2,60412.0
2017,NUTS,2010,DE21,2,59642.0
2019,NUTS,2010,DE21,2,66553.0
2015,NUTS,2010,DE22,2,3243.0
2017,NUTS,2010,DE22,2,4016.0
2019,NUTS,2010,DE22,2,4730.0
2015,NUTS,2010,DE23,2,6038.0
2017,NUTS,2010,DE23,2,6904.0
2019,NUTS,2010,DE23,2,7865.0
2011,NUTS,2010,DE24,2,4520.0
2013,NUTS,2010,DE24,2,4792.0
2015,NUTS,2010,DE24,2,5282.0
2017,NUTS,2010,DE24,2,5576.0
2019,NUTS,2010,DE24,2,6898.0
2011,NUTS,2010,DE25,2,14050.0
2013,NUTS,2010,DE25,2,13901.0
2015,NUTS,2010,DE25,2,15311.0
2017,NUTS,2010,DE25,2,15669.0
2019,NUTS,2010,DE25,2,17346.0
2011,NUTS,2010,DE26,2,8120.0
2013,NUTS,2010,DE26,2,8864.0
2015,NUTS,2010,DE26,2,8972.0
2017,NUTS,2010,DE26,2,11026.0
2019,NUTS,2010,DE26,2,11551.0
2011,NUTS,2010,DE27,2,4406.0
2013,NUTS,2010,DE27,2,5279.0
2015,NUTS,2010,DE27,2,6723.0
2017,NUTS,2010,DE27,2,6865.0
2019,NUTS,2010,DE27,2,8030.0
2011,NUTS,2010,DE3,1,30197.0
2013,NUTS,2010,DE3,1,31201.0
2015,NUTS,2010,DE3,1,32251.0
2017,NUTS,2010,DE3,1,32881.0
2019,NUTS,2010,DE3,1,35362.0
2011,NUTS,2010,DE30,2,30197.0
2013,NUTS,2010,DE30,2,31201.0
2015,NUTS,2010,DE30,2,32251.0
2017,NUTS,2010,DE30,2,32881.0
2019,NUTS,2010,DE30,2,35362.0
2011,NUTS,2010,DE4,1,8751.0
2013,NUTS,2010,DE4,1,9571.0
2015,NUTS,2010,DE4,1,9561.0
2017,NUTS,2010,DE4,1,10726.0
2019,NUTS,2010,DE4,1,11115.0
2011,NUTS,2010,DE40,2,8751.0
2013,NUTS,2010,DE40,2,9571.0
2015,NUTS,2010,DE40,2,9561.0
2017,NUTS,2010,DE40,2,10726.0
2019,NUTS,2010,DE40,2,11115.0
2011,NUTS,2010,DE5,1,7183.0
2013,NUTS,2010,DE5,1,6154.0
2015,NUTS,2010,DE5,1,6427.0
2017,NUTS,2010,DE5,1,6401.0
2019,NUTS,2010,DE5,1,7055.0
