year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_fte_t
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,124308.0
2012,NUTS,2010,DE,0,127900.0
2013,NUTS,2010,DE,0,130079.0
2014,NUTS,2010,DE,0,132542.0
2015,NUTS,2010,DE,0,134032.0
2016,NUTS,2010,DE,0,141661.0
2017,NUTS,2010,DE,0,143753.0
2018,NUTS,2010,DE,0,147160.0
2019,NUTS,2010,DE,0,147316.0
2020,NUTS,2010,DE,0,153100.0
2011,NUTS,2010,DE1,1,18076.0
2012,NUTS,2010,DE1,1,19028.0
2013,NUTS,2010,DE1,1,18857.0
2014,NUTS,2010,DE1,1,18981.0
2015,NUTS,2010,DE1,1,18981.0
2016,NUTS,2010,DE1,1,20398.0
2017,NUTS,2010,DE1,1,20809.0
2018,NUTS,2010,DE1,1,21171.0
2019,NUTS,2010,DE1,1,20926.0
2011,NUTS,2010,DE11,2,3370.0
2012,NUTS,2010,DE11,2,3758.0
2013,NUTS,2010,DE11,2,3845.0
2014,NUTS,2010,DE11,2,3802.0
2015,NUTS,2010,DE11,2,3854.0
2016,NUTS,2010,DE11,2,4558.0
2017,NUTS,2010,DE11,2,4594.0
2018,NUTS,2010,DE11,2,4552.0
2019,NUTS,2010,DE11,2,4489.0
2011,NUTS,2010,DE12,2,6623.0
2012,NUTS,2010,DE12,2,6970.0
2013,NUTS,2010,DE12,2,6924.0
2014,NUTS,2010,DE12,2,6815.0
2015,NUTS,2010,DE12,2,6665.0
2016,NUTS,2010,DE12,2,6983.0
2017,NUTS,2010,DE12,2,7140.0
2018,NUTS,2010,DE12,2,7346.0
2019,NUTS,2010,DE12,2,7046.0
2011,NUTS,2010,DE13,2,3740.0
2012,NUTS,2010,DE13,2,3872.0
2013,NUTS,2010,DE13,2,3949.0
2014,NUTS,2010,DE13,2,4156.0
2015,NUTS,2010,DE13,2,4132.0
2016,NUTS,2010,DE13,2,4426.0
2017,NUTS,2010,DE13,2,4449.0
2018,NUTS,2010,DE13,2,4503.0
2019,NUTS,2010,DE13,2,4549.0
2011,NUTS,2010,DE14,2,4343.0
2012,NUTS,2010,DE14,2,4428.0
2013,NUTS,2010,DE14,2,4140.0
2014,NUTS,2010,DE14,2,4208.0
2015,NUTS,2010,DE14,2,4331.0
2016,NUTS,2010,DE14,2,4431.0
2017,NUTS,2010,DE14,2,4626.0
2018,NUTS,2010,DE14,2,4771.0
2019,NUTS,2010,DE14,2,4843.0
2011,NUTS,2010,DE2,1,16860.0
2012,NUTS,2010,DE2,1,17288.0
2013,NUTS,2010,DE2,1,18652.0
2014,NUTS,2010,DE2,1,18995.0
2015,NUTS,2010,DE2,1,19007.0
2016,NUTS,2010,DE2,1,19850.0
2017,NUTS,2010,DE2,1,20053.0
2018,NUTS,2010,DE2,1,20659.0
2019,NUTS,2010,DE2,1,21441.0
2011,NUTS,2010,DE21,2,8291.0
2012,NUTS,2010,DE21,2,8435.0
2013,NUTS,2010,DE21,2,9411.0
2014,NUTS,2010,DE21,2,9490.0
2015,NUTS,2010,DE21,2,9681.0
2016,NUTS,2010,DE21,2,9685.0
2017,NUTS,2010,DE21,2,9654.0
2018,NUTS,2010,DE21,2,9794.0
2019,NUTS,2010,DE21,2,10139.0
2011,NUTS,2010,DE22,2,304.0
2012,NUTS,2010,DE22,2,307.0
2013,NUTS,2010,DE22,2,382.0
2014,NUTS,2010,DE22,2,449.0
2015,NUTS,2010,DE22,2,441.0
2016,NUTS,2010,DE22,2,559.0
2017,NUTS,2010,DE22,2,568.0
2018,NUTS,2010,DE22,2,640.0
2019,NUTS,2010,DE22,2,652.0
2011,NUTS,2010,DE23,2,1387.0
2012,NUTS,2010,DE23,2,1420.0
2013,NUTS,2010,DE23,2,1438.0
2014,NUTS,2010,DE23,2,1505.0
2015,NUTS,2010,DE23,2,1535.0
2016,NUTS,2010,DE23,2,1639.0
2017,NUTS,2010,DE23,2,1655.0
2018,NUTS,2010,DE23,2,1691.0
2019,NUTS,2010,DE23,2,1758.0
2011,NUTS,2010,DE24,2,1118.0
2012,NUTS,2010,DE24,2,1136.0
2013,NUTS,2010,DE24,2,1213.0
2014,NUTS,2010,DE24,2,1174.0
2015,NUTS,2010,DE24,2,1179.0
2016,NUTS,2010,DE24,2,1322.0
2017,NUTS,2010,DE24,2,1359.0
2018,NUTS,2010,DE24,2,1415.0
2019,NUTS,2010,DE24,2,1500.0
2011,NUTS,2010,DE25,2,3147.0
2012,NUTS,2010,DE25,2,3349.0
2013,NUTS,2010,DE25,2,3473.0
2014,NUTS,2010,DE25,2,3627.0
2015,NUTS,2010,DE25,2,3526.0
2016,NUTS,2010,DE25,2,3702.0
2017,NUTS,2010,DE25,2,3721.0
2018,NUTS,2010,DE25,2,3841.0
2019,NUTS,2010,DE25,2,3975.0
2011,NUTS,2010,DE26,2,2102.0
2012,NUTS,2010,DE26,2,2131.0
2013,NUTS,2010,DE26,2,2191.0
2014,NUTS,2010,DE26,2,2181.0
2015,NUTS,2010,DE26,2,2040.0
2016,NUTS,2010,DE26,2,2200.0
2017,NUTS,2010,DE26,2,2311.0
2018,NUTS,2010,DE26,2,2426.0
2019,NUTS,2010,DE26,2,2386.0
2011,NUTS,2010,DE27,2,510.0
2012,NUTS,2010,DE27,2,509.0
2013,NUTS,2010,DE27,2,544.0
2014,NUTS,2010,DE27,2,569.0
2015,NUTS,2010,DE27,2,603.0
2016,NUTS,2010,DE27,2,743.0
2017,NUTS,2010,DE27,2,785.0
2018,NUTS,2010,DE27,2,852.0
2019,NUTS,2010,DE27,2,1032.0
2011,NUTS,2010,DE3,1,7984.0
2012,NUTS,2010,DE3,1,8507.0
2013,NUTS,2010,DE3,1,8099.0
2014,NUTS,2010,DE3,1,8414.0
