year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_f_fte
2012,NUTS,2010,ES1,1,792.0
2013,NUTS,2010,ES1,1,821.0
2014,NUTS,2010,ES1,1,832.0
2015,NUTS,2010,ES1,1,796.0
2016,NUTS,2010,ES1,1,864.0
2017,NUTS,2010,ES1,1,1053.0
2018,NUTS,2010,ES1,1,1180.0
2019,NUTS,2010,ES1,1,1204.0
2011,NUTS,2010,ES11,2,460.0
2012,NUTS,2010,ES11,2,487.0
2013,NUTS,2010,ES11,2,503.0
2014,NUTS,2010,ES11,2,523.0
2015,NUTS,2010,ES11,2,498.0
2016,NUTS,2010,ES11,2,559.0
2017,NUTS,2010,ES11,2,704.0
2018,NUTS,2010,ES11,2,825.0
2019,NUTS,2010,ES11,2,828.0
2011,NUTS,2010,ES12,2,267.0
2012,NUTS,2010,ES12,2,244.0
2013,NUTS,2010,ES12,2,251.0
2014,NUTS,2010,ES12,2,247.0
2015,NUTS,2010,ES12,2,226.0
2016,NUTS,2010,ES12,2,229.0
2017,NUTS,2010,ES12,2,252.0
2018,NUTS,2010,ES12,2,263.0
2019,NUTS,2010,ES12,2,270.0
2011,NUTS,2010,ES13,2,72.0
2012,NUTS,2010,ES13,2,61.0
2013,NUTS,2010,ES13,2,67.0
2014,NUTS,2010,ES13,2,62.0
2015,NUTS,2010,ES13,2,72.0
2016,NUTS,2010,ES13,2,76.0
2017,NUTS,2010,ES13,2,98.0
2018,NUTS,2010,ES13,2,93.0
2019,NUTS,2010,ES13,2,107.0
2011,NUTS,2010,ES2,1,2996.0
2012,NUTS,2010,ES2,1,2996.0
2013,NUTS,2010,ES2,1,3042.0
2014,NUTS,2010,ES2,1,3029.0
2015,NUTS,2010,ES2,1,3003.0
2016,NUTS,2010,ES2,1,3100.0
2017,NUTS,2010,ES2,1,3351.0
2018,NUTS,2010,ES2,1,3445.0
2019,NUTS,2010,ES2,1,3592.0
2011,NUTS,2010,ES21,2,2256.0
2012,NUTS,2010,ES21,2,2283.0
2013,NUTS,2010,ES21,2,2294.0
2014,NUTS,2010,ES21,2,2247.0
2015,NUTS,2010,ES21,2,2210.0
2016,NUTS,2010,ES21,2,2251.0
2017,NUTS,2010,ES21,2,2512.0
2018,NUTS,2010,ES21,2,2627.0
2019,NUTS,2010,ES21,2,2713.0
2011,NUTS,2010,ES22,2,362.0
2012,NUTS,2010,ES22,2,345.0
2013,NUTS,2010,ES22,2,349.0
2014,NUTS,2010,ES22,2,330.0
2015,NUTS,2010,ES22,2,389.0
2016,NUTS,2010,ES22,2,389.0
2017,NUTS,2010,ES22,2,366.0
2018,NUTS,2010,ES22,2,354.0
2019,NUTS,2010,ES22,2,389.0
2011,NUTS,2010,ES23,2,86.0
2012,NUTS,2010,ES23,2,78.0
2013,NUTS,2010,ES23,2,66.0
2014,NUTS,2010,ES23,2,81.0
2015,NUTS,2010,ES23,2,77.0
2016,NUTS,2010,ES23,2,71.0
2017,NUTS,2010,ES23,2,67.0
2018,NUTS,2010,ES23,2,76.0
2019,NUTS,2010,ES23,2,77.0
2011,NUTS,2010,ES24,2,292.0
2012,NUTS,2010,ES24,2,290.0
2013,NUTS,2010,ES24,2,333.0
2014,NUTS,2010,ES24,2,371.0
2015,NUTS,2010,ES24,2,328.0
2016,NUTS,2010,ES24,2,389.0
2017,NUTS,2010,ES24,2,406.0
2018,NUTS,2010,ES24,2,388.0
2019,NUTS,2010,ES24,2,413.0
2011,NUTS,2010,ES3,1,3585.0
2012,NUTS,2010,ES3,1,3620.0
2013,NUTS,2010,ES3,1,3840.0
2014,NUTS,2010,ES3,1,3652.0
2015,NUTS,2010,ES3,1,3693.0
2016,NUTS,2010,ES3,1,3758.0
2017,NUTS,2010,ES3,1,3964.0
2018,NUTS,2010,ES3,1,4572.0
2019,NUTS,2010,ES3,1,4737.0
2011,NUTS,2010,ES30,2,3585.0
2012,NUTS,2010,ES30,2,3620.0
2013,NUTS,2010,ES30,2,3840.0
2014,NUTS,2010,ES30,2,3652.0
2015,NUTS,2010,ES30,2,3693.0
2016,NUTS,2010,ES30,2,3758.0
2017,NUTS,2010,ES30,2,3964.0
2018,NUTS,2010,ES30,2,4572.0
2019,NUTS,2010,ES30,2,4737.0
2011,NUTS,2010,ES4,1,851.0
2012,NUTS,2010,ES4,1,859.0
2013,NUTS,2010,ES4,1,772.0
2014,NUTS,2010,ES4,1,786.0
2015,NUTS,2010,ES4,1,768.0
2016,NUTS,2010,ES4,1,806.0
2017,NUTS,2010,ES4,1,874.0
2018,NUTS,2010,ES4,1,891.0
2019,NUTS,2010,ES4,1,995.0
2011,NUTS,2010,ES41,2,551.0
2012,NUTS,2010,ES41,2,600.0
2013,NUTS,2010,ES41,2,497.0
2014,NUTS,2010,ES41,2,516.0
2015,NUTS,2010,ES41,2,524.0
2016,NUTS,2010,ES41,2,512.0
2017,NUTS,2010,ES41,2,550.0
2018,NUTS,2010,ES41,2,603.0
2019,NUTS,2010,ES41,2,702.0
2011,NUTS,2010,ES42,2,237.0
2012,NUTS,2010,ES42,2,202.0
2013,NUTS,2010,ES42,2,192.0
2014,NUTS,2010,ES42,2,205.0
2015,NUTS,2010,ES42,2,183.0
2016,NUTS,2010,ES42,2,239.0
2017,NUTS,2010,ES42,2,255.0
2018,NUTS,2010,ES42,2,189.0
2019,NUTS,2010,ES42,2,223.0
2011,NUTS,2010,ES43,2,63.0
2012,NUTS,2010,ES43,2,57.0
2013,NUTS,2010,ES43,2,83.0
2014,NUTS,2010,ES43,2,66.0
2015,NUTS,2010,ES43,2,60.0
2016,NUTS,2010,ES43,2,54.0
2017,NUTS,2010,ES43,2,70.0
2018,NUTS,2010,ES43,2,99.0
2019,NUTS,2010,ES43,2,70.0
2011,NUTS,2010,ES5,1,4088.0
2012,NUTS,2010,ES5,1,4026.0
2013,NUTS,2010,ES5,1,4089.0
2014,NUTS,2010,ES5,1,4162.0
2015,NUTS,2010,ES5,1,4428.0
2016,NUTS,2010,ES5,1,4650.0
2017,NUTS,2010,ES5,1,4949.0
2018,NUTS,2010,ES5,1,5546.0
2019,NUTS,2010,ES5,1,5726.0
2011,NUTS,2010,ES51,2,3017.0
2012,NUTS,2010,ES51,2,3039.0
2013,NUTS,2010,ES51,2,3116.0
2014,NUTS,2010,ES51,2,3147.0
2015,NUTS,2010,ES51,2,3482.0
2016,NUTS,2010,ES51,2,3577.0
2017,NUTS,2010,ES51,2,3821.0
2018,NUTS,2010,ES51,2,4230.0
2019,NUTS,2010,ES51,2,4249.0
2011,NUTS,2010,ES52,2,1047.0
2012,NUTS,2010,ES52,2,957.0
2013,NUTS,2010,ES52,2,951.0
2014,NUTS,2010,ES52,2,986.0
2015,NUTS,2010,ES52,2,918.0
2016,NUTS,2010,ES52,2,1028.0
2017,NUTS,2010,ES52,2,1084.0
2018,NUTS,2010,ES52,2,1254.0
2019,NUTS,2010,ES52,2,1403.0
2011,NUTS,2010,ES53,2,24.0
2012,NUTS,2010,ES53,2,30.0
2013,NUTS,2010,ES53,2,21.0
2014,NUTS,2010,ES53,2,28.0
2015,NUTS,2010,ES53,2,28.0
2016,NUTS,2010,ES53,2,45.0
2017,NUTS,2010,ES53,2,44.0
2018,NUTS,2010,ES53,2,63.0
2019,NUTS,2010,ES53,2,75.0
2011,NUTS,2010,ES6,1,1135.0
2012,NUTS,2010,ES6,1,1190.0
2013,NUTS,2010,ES6,1,1264.0
2014,NUTS,2010,ES6,1,1263.0
2015,NUTS,2010,ES6,1,1216.0
2016,NUTS,2010,ES6,1,1200.0
2017,NUTS,2010,ES6,1,1223.0
