year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps_kp05
2012,NUTS,2010,CZ08,2,133.78
2013,NUTS,2010,CZ08,2,120.697
2014,NUTS,2010,CZ08,2,156.16
2015,NUTS,2010,CZ08,2,162.762
2016,NUTS,2010,CZ08,2,185.778
2017,NUTS,2010,CZ08,2,175.188
2018,NUTS,2010,CZ08,2,176.8
2019,NUTS,2010,CZ08,2,151.973
2020,NUTS,2010,CZ08,2,170.376
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,44867.863
2012,NUTS,2010,DE,0,46554.46
2013,NUTS,2010,DE,0,45469.813
2014,NUTS,2010,DE,0,47489.694
2015,NUTS,2010,DE,0,49861.343
2016,NUTS,2010,DE,0,50720.854
2017,NUTS,2010,DE,0,54710.667
2018,NUTS,2010,DE,0,56236.229
2019,NUTS,2010,DE,0,57953.871
2020,NUTS,2010,DE,0,53433.163
2011,NUTS,2010,DE1,1,13789.894
2013,NUTS,2010,DE1,1,13809.39
2015,NUTS,2010,DE1,1,15142.953
2017,NUTS,2010,DE1,1,18555.908
2019,NUTS,2010,DE1,1,19314.365
2011,NUTS,2010,DE11,2,8387.799
2013,NUTS,2010,DE11,2,8288.113
2015,NUTS,2010,DE11,2,9233.331
2017,NUTS,2010,DE11,2,11881.565
2019,NUTS,2010,DE11,2,11815.022
2011,NUTS,2010,DE12,2,2264.511
2013,NUTS,2010,DE12,2,2372.713
2015,NUTS,2010,DE12,2,2705.104
2017,NUTS,2010,DE12,2,3138.332
