year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_bes_rse_pc_act_fte
2008,NUTS,2010,CH03,2,0.3981
2012,NUTS,2010,CH03,2,0.4574
2015,NUTS,2010,CH03,2,0.9814
2017,NUTS,2010,CH03,2,1.0234
2019,NUTS,2010,CH03,2,1.1143
2008,NUTS,2010,CH04,2,0.2337
2012,NUTS,2010,CH04,2,0.494
2015,NUTS,2010,CH04,2,0.471
2017,NUTS,2010,CH04,2,0.3716
2019,NUTS,2010,CH04,2,0.4032
2008,NUTS,2010,CH05,2,0.1525
2012,NUTS,2010,CH05,2,0.3244
2015,NUTS,2010,CH05,2,0.329
2017,NUTS,2010,CH05,2,0.2461
2019,NUTS,2010,CH05,2,0.4159
2008,NUTS,2010,CH06,2,0.1633
2012,NUTS,2010,CH06,2,0.2877
2015,NUTS,2010,CH06,2,0.4095
2017,NUTS,2010,CH06,2,0.4717
2019,NUTS,2010,CH06,2,0.4564
2008,NUTS,2010,CH07,2,0.1249
2012,NUTS,2010,CH07,2,0.2535
2015,NUTS,2010,CH07,2,0.1534
2017,NUTS,2010,CH07,2,0.2644
2019,NUTS,2010,CH07,2,0.1815
1991,NUTS,2010,CN_X_HK,5,0.0191
1992,NUTS,2010,CN_X_HK,5,0.0203
1993,NUTS,2010,CN_X_HK,5,0.0232
1994,NUTS,2010,CN_X_HK,5,0.0274
1995,NUTS,2010,CN_X_HK,5,0.028
1996,NUTS,2010,CN_X_HK,5,0.0321
1997,NUTS,2010,CN_X_HK,5,0.0318
1998,NUTS,2010,CN_X_HK,5,0.0207
1999,NUTS,2010,CN_X_HK,5,0.0236
2000,NUTS,2010,CN_X_HK,5,0.0478
2001,NUTS,2010,CN_X_HK,5,0.0522
2002,NUTS,2010,CN_X_HK,5,0.0588
2003,NUTS,2010,CN_X_HK,5,0.0636
2004,NUTS,2010,CN_X_HK,5,0.0689
2005,NUTS,2010,CN_X_HK,5,0.0894
1998,NUTS,2010,CY,0,0.0142
1999,NUTS,2010,CY,0,0.022
2000,NUTS,2010,CY,0,0.0254
2001,NUTS,2010,CY,0,0.0265
2002,NUTS,2010,CY,0,0.0367
2003,NUTS,2010,CY,0,0.0309
2004,NUTS,2010,CY,0,0.0313
2005,NUTS,2010,CY,0,0.0363
2006,NUTS,2010,CY,0,0.0441
2007,NUTS,2010,CY,0,0.0476
2008,NUTS,2010,CY,0,0.0541
2009,NUTS,2010,CY,0,0.0536
2010,NUTS,2010,CY,0,0.0489
2011,NUTS,2010,CY,0,0.0435
2012,NUTS,2010,CY,0,0.0409
2013,NUTS,2010,CY,0,0.0423
2014,NUTS,2010,CY,0,0.0457
2015,NUTS,2010,CY,0,0.0427
2016,NUTS,2010,CY,0,0.0557
2017,NUTS,2010,CY,0,0.0648
2018,NUTS,2010,CY,0,0.0955
2019,NUTS,2010,CY,0,0.116
2020,NUTS,2010,CY,0,0.1253
1998,NUTS,2010,CZ,0,0.0996
1999,NUTS,2010,CZ,0,0.1139
2000,NUTS,2010,CZ,0,0.109
2001,NUTS,2010,CZ,0,0.114
2002,NUTS,2010,CZ,0,0.1226
2003,NUTS,2010,CZ,0,0.13
2004,NUTS,2010,CZ,0,0.1409
2005,NUTS,2010,CZ,0,0.1898
2006,NUTS,2010,CZ,0,0.2076
2007,NUTS,2010,CZ,0,0.231
2008,NUTS,2010,CZ,0,0.2492
2009,NUTS,2010,CZ,0,0.2359
2010,NUTS,2010,CZ,0,0.2374
2011,NUTS,2010,CZ,0,0.2639
2012,NUTS,2010,CZ,0,0.291
2013,NUTS,2010,CZ,0,0.314
2014,NUTS,2010,CZ,0,0.3437
2015,NUTS,2010,CZ,0,0.3684
2016,NUTS,2010,CZ,0,0.3671
2017,NUTS,2010,CZ,0,0.385
2018,NUTS,2010,CZ,0,0.4015
2019,NUTS,2010,CZ,0,0.4128
2020,NUTS,2010,CZ,0,0.4312
1999,NUTS,2010,CZ0,1,0.1128
2000,NUTS,2010,CZ0,1,0.108
2001,NUTS,2010,CZ0,1,0.1131
2002,NUTS,2010,CZ0,1,0.1216
2003,NUTS,2010,CZ0,1,0.1289
2004,NUTS,2010,CZ0,1,0.1398
2005,NUTS,2010,CZ0,1,0.1878
2006,NUTS,2010,CZ0,1,0.2053
2007,NUTS,2010,CZ0,1,0.228
2008,NUTS,2010,CZ0,1,0.2459
2009,NUTS,2010,CZ0,1,0.2325
2010,NUTS,2010,CZ0,1,0.234
2011,NUTS,2010,CZ0,1,0.26
2012,NUTS,2010,CZ0,1,0.2864
2013,NUTS,2010,CZ0,1,0.3085
2014,NUTS,2010,CZ0,1,0.3377
2015,NUTS,2010,CZ0,1,0.3609
2016,NUTS,2010,CZ0,1,0.3586
2017,NUTS,2010,CZ0,1,0.3758
2018,NUTS,2010,CZ0,1,0.3906
2019,NUTS,2010,CZ0,1,0.4011
2020,NUTS,2010,CZ0,1,0.4193
2001,NUTS,2010,CZ01,2,0.2408
2002,NUTS,2010,CZ01,2,0.2492
2003,NUTS,2010,CZ01,2,0.2774
2004,NUTS,2010,CZ01,2,0.3152
2005,NUTS,2010,CZ01,2,0.4162
2006,NUTS,2010,CZ01,2,0.438
2007,NUTS,2010,CZ01,2,0.5196
2008,NUTS,2010,CZ01,2,0.5253
2009,NUTS,2010,CZ01,2,0.4085
2010,NUTS,2010,CZ01,2,0.4075
2011,NUTS,2010,CZ01,2,0.4564
2012,NUTS,2010,CZ01,2,0.5144
2013,NUTS,2010,CZ01,2,0.5954
2014,NUTS,2010,CZ01,2,0.6049
2015,NUTS,2010,CZ01,2,0.6384
2016,NUTS,2010,CZ01,2,0.6974
2017,NUTS,2010,CZ01,2,0.7804
2018,NUTS,2010,CZ01,2,0.9067
2019,NUTS,2010,CZ01,2,0.8072
2020,NUTS,2010,CZ01,2,0.8254
2001,NUTS,2010,CZ02,2,0.2342
2002,NUTS,2010,CZ02,2,0.265
2003,NUTS,2010,CZ02,2,0.276
2004,NUTS,2010,CZ02,2,0.2565
2005,NUTS,2010,CZ02,2,0.3357
2006,NUTS,2010,CZ02,2,0.3541
2007,NUTS,2010,CZ02,2,0.3551
2008,NUTS,2010,CZ02,2,0.3851
2009,NUTS,2010,CZ02,2,0.3889
2010,NUTS,2010,CZ02,2,0.3786
2011,NUTS,2010,CZ02,2,0.391
2012,NUTS,2010,CZ02,2,0.3977
2013,NUTS,2010,CZ02,2,0.3727
2014,NUTS,2010,CZ02,2,0.3578
2015,NUTS,2010,CZ02,2,0.3841
2016,NUTS,2010,CZ02,2,0.3167
2017,NUTS,2010,CZ02,2,0.3225
2018,NUTS,2010,CZ02,2,0.3634
2019,NUTS,2010,CZ02,2,0.3865
2020,NUTS,2010,CZ02,2,0.4016
2001,NUTS,2010,CZ03,2,0.0503
2002,NUTS,2010,CZ03,2,0.0583
2003,NUTS,2010,CZ03,2,0.0617
2004,NUTS,2010,CZ03,2,0.075
