year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_nac
2017,NUTS,2010,CZ08,2,17.042
2018,NUTS,2010,CZ08,2,19.399
2019,NUTS,2010,CZ08,2,14.473
2020,NUTS,2010,CZ08,2,11.532
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DK,0,200.394
2012,NUTS,2010,DK,0,233.0
2013,NUTS,2010,DK,0,239.0
2014,NUTS,2010,DK,0,236.0
2015,NUTS,2010,DK,0,220.0
2016,NUTS,2010,DK,0,229.0
2017,NUTS,2010,DK,0,198.0
2018,NUTS,2010,DK,0,233.0
2019,NUTS,2010,DK,0,275.0
2020,NUTS,2010,DK,0,300.0
2011,NUTS,2010,DK0,1,200.394
2012,NUTS,2010,DK0,1,233.0
2013,NUTS,2010,DK0,1,238.9
2014,NUTS,2010,DK0,1,237.0
2015,NUTS,2010,DK0,1,220.0
2016,NUTS,2010,DK0,1,229.0
2017,NUTS,2010,DK0,1,198.0
2018,NUTS,2010,DK0,1,233.0
2019,NUTS,2010,DK0,1,275.0
2020,NUTS,2010,DK0,1,300.0
2011,NUTS,2010,DK01,2,196.336
2012,NUTS,2010,DK01,2,224.4
2013,NUTS,2010,DK01,2,231.2
2014,NUTS,2010,DK01,2,230.0
2015,NUTS,2010,DK01,2,208.0
2016,NUTS,2010,DK01,2,218.0
2017,NUTS,2010,DK01,2,191.0
2019,NUTS,2010,DK01,2,270.0
2011,NUTS,2010,DK02,2,4.058
2012,NUTS,2010,DK02,2,4.0
2013,NUTS,2010,DK02,2,3.5
2014,NUTS,2010,DK02,2,4.0
2015,NUTS,2010,DK02,2,9.0
2016,NUTS,2010,DK02,2,8.0
2017,NUTS,2010,DK02,2,4.0
2019,NUTS,2010,DK02,2,5.0
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,4.6
2013,NUTS,2010,DK03,2,4.1
2014,NUTS,2010,DK03,2,3.0
2015,NUTS,2010,DK03,2,3.0
2016,NUTS,2010,DK03,2,3.0
2017,NUTS,2010,DK03,2,3.0
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,3.0
2011,NUTS,2010,EE,0,3.498
2012,NUTS,2010,EE,0,4.012
2013,NUTS,2010,EE,0,3.444
2014,NUTS,2010,EE,0,3.424
2015,NUTS,2010,EE,0,5.44
2016,NUTS,2010,EE,0,4.17
2017,NUTS,2010,EE,0,4.3
2018,NUTS,2010,EE,0,6.15
2019,NUTS,2010,EE,0,5.25
2020,NUTS,2010,EE,0,7.9
2011,NUTS,2010,EE0,1,3.498
2012,NUTS,2010,EE0,1,4.012
2013,NUTS,2010,EE0,1,3.444
2014,NUTS,2010,EE0,1,3.424
2015,NUTS,2010,EE0,1,5.44
2016,NUTS,2010,EE0,1,4.17
2017,NUTS,2010,EE0,1,4.3
2018,NUTS,2010,EE0,1,6.15
2019,NUTS,2010,EE0,1,5.25
2020,NUTS,2010,EE0,1,7.9
2011,NUTS,2010,EE00,2,3.498
2012,NUTS,2010,EE00,2,4.012
2013,NUTS,2010,EE00,2,3.444
2014,NUTS,2010,EE00,2,3.424
2015,NUTS,2010,EE00,2,5.44
2016,NUTS,2010,EE00,2,4.17
2017,NUTS,2010,EE00,2,4.3
2018,NUTS,2010,EE00,2,6.15
2019,NUTS,2010,EE00,2,5.25
2020,NUTS,2010,EE00,2,7.9
2011,NUTS,2010,EL,0,14.039
2012,NUTS,2010,EL,0,12.8
2013,NUTS,2010,EL,0,18.25
2014,NUTS,2010,EL,0,18.48
2015,NUTS,2010,EL,0,19.11
2016,NUTS,2010,EL,0,15.61
2017,NUTS,2010,EL,0,16.4
2018,NUTS,2010,EL,0,23.14
2019,NUTS,2010,EL,0,19.75
2020,NUTS,2010,EL,0,14.33
2011,NUTS,2010,EL3,1,11.991
2013,NUTS,2010,EL3,1,12.83
2015,NUTS,2010,EL3,1,13.82
2017,NUTS,2010,EL3,1,12.41
2018,NUTS,2010,EL3,1,15.45
2019,NUTS,2010,EL3,1,14.59
2011,NUTS,2010,EL30,2,11.991
2013,NUTS,2010,EL30,2,12.83
2015,NUTS,2010,EL30,2,13.82
2017,NUTS,2010,EL30,2,12.41
2018,NUTS,2010,EL30,2,15.45
2019,NUTS,2010,EL30,2,14.59
2011,NUTS,2010,EL4,1,0.252
2013,NUTS,2010,EL4,1,1.58
2015,NUTS,2010,EL4,1,1.52
2017,NUTS,2010,EL4,1,1.83
2018,NUTS,2010,EL4,1,1.9
2019,NUTS,2010,EL4,1,2.04
2011,NUTS,2010,EL41,2,0.05
2013,NUTS,2010,EL41,2,0.06
2015,NUTS,2010,EL41,2,0.06
2017,NUTS,2010,EL41,2,0.17
2018,NUTS,2010,EL41,2,0.2
2019,NUTS,2010,EL41,2,0.33
2011,NUTS,2010,EL42,2,0.183
2013,NUTS,2010,EL42,2,0.61
2015,NUTS,2010,EL42,2,0.35
2017,NUTS,2010,EL42,2,0.42
2018,NUTS,2010,EL42,2,0.36
2019,NUTS,2010,EL42,2,0.4
2011,NUTS,2010,EL43,2,0.018
2013,NUTS,2010,EL43,2,0.91
2015,NUTS,2010,EL43,2,1.11
2017,NUTS,2010,EL43,2,1.24
2018,NUTS,2010,EL43,2,1.34
2019,NUTS,2010,EL43,2,1.31
2011,NUTS,2010,EL5,1,1.585
2013,NUTS,2010,EL5,1,3.49
2015,NUTS,2010,EL5,1,3.5
2017,NUTS,2010,EL5,1,1.62
2018,NUTS,2010,EL5,1,2.67
2019,NUTS,2010,EL5,1,2.3
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.05
2015,NUTS,2010,EL51,2,0.05
2017,NUTS,2010,EL51,2,0.1
2018,NUTS,2010,EL51,2,0.1
2019,NUTS,2010,EL51,2,0.04
2011,NUTS,2010,EL52,2,1.24
2013,NUTS,2010,EL52,2,2.95
2015,NUTS,2010,EL52,2,3.02
2017,NUTS,2010,EL52,2,1.04
2018,NUTS,2010,EL52,2,2.09
2019,NUTS,2010,EL52,2,1.91
2011,NUTS,2010,EL53,2,0.237
2013,NUTS,2010,EL53,2,0.19
2015,NUTS,2010,EL53,2,0.13
2017,NUTS,2010,EL53,2,0.25
2018,NUTS,2010,EL53,2,0.27
2019,NUTS,2010,EL53,2,0.15
2011,NUTS,2010,EL54,2,0.108
2013,NUTS,2010,EL54,2,0.3
2015,NUTS,2010,EL54,2,0.3
2017,NUTS,2010,EL54,2,0.23
2018,NUTS,2010,EL54,2,0.21
2019,NUTS,2010,EL54,2,0.2
2011,NUTS,2010,EL6,1,0.212
2013,NUTS,2010,EL6,1,0.35
2015,NUTS,2010,EL6,1,0.27
2017,NUTS,2010,EL6,1,0.54
2018,NUTS,2010,EL6,1,3.12
2019,NUTS,2010,EL6,1,0.82
2011,NUTS,2010,EL61,2,0.054
2013,NUTS,2010,EL61,2,0.06
2015,NUTS,2010,EL61,2,0.05
2017,NUTS,2010,EL61,2,0.12
2018,NUTS,2010,EL61,2,0.13
2019,NUTS,2010,EL61,2,0.1
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.01
2018,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.04
2015,NUTS,2010,EL63,2,0.01
2017,NUTS,2010,EL63,2,0.0
2018,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.05
2013,NUTS,2010,EL64,2,0.05
2015,NUTS,2010,EL64,2,0.05
2017,NUTS,2010,EL64,2,0.05
2018,NUTS,2010,EL64,2,0.0
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.108
2013,NUTS,2010,EL65,2,0.2
2015,NUTS,2010,EL65,2,0.16
2017,NUTS,2010,EL65,2,0.36
2018,NUTS,2010,EL65,2,2.99
2019,NUTS,2010,EL65,2,0.72
2011,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZ,1,0.0
2018,NUTS,2010,ELZ,1,0.0
2011,NUTS,2010,ELZZ,2,0.0
2015,NUTS,2010,ELZZ,2,0.0
2018,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,23.517
2012,NUTS,2010,ES,0,25.107
2013,NUTS,2010,ES,0,21.551
2014,NUTS,2010,ES,0,21.58
2015,NUTS,2010,ES,0,27.0
2016,NUTS,2010,ES,0,32.0
2017,NUTS,2010,ES,0,30.0
2018,NUTS,2010,ES,0,39.0
2019,NUTS,2010,ES,0,42.0
2020,NUTS,2010,ES,0,46.0
2011,NUTS,2010,ES1,1,2.87
2012,NUTS,2010,ES1,1,3.546
2013,NUTS,2010,ES1,1,3.479
2015,NUTS,2010,ES1,1,3.0
2016,NUTS,2010,ES1,1,5.0
2017,NUTS,2010,ES1,1,5.0
2018,NUTS,2010,ES1,1,5.0
2014,NUTS,2010,ES11,2,0.118
2015,NUTS,2010,ES11,2,0.0
2016,NUTS,2010,ES11,2,2.0
2017,NUTS,2010,ES11,2,2.0
2018,NUTS,2010,ES11,2,3.0
2019,NUTS,2010,ES11,2,2.0
2012,NUTS,2010,ES12,2,0.256
2013,NUTS,2010,ES12,2,0.137
2014,NUTS,2010,ES12,2,0.138
2015,NUTS,2010,ES12,2,0.0
2016,NUTS,2010,ES12,2,0.0
2017,NUTS,2010,ES12,2,0.0
2018,NUTS,2010,ES12,2,0.0
2019,NUTS,2010,ES12,2,0.0
2011,NUTS,2010,ES13,2,2.592
2015,NUTS,2010,ES13,2,3.0
2016,NUTS,2010,ES13,2,3.0
2017,NUTS,2010,ES13,2,2.0
2018,NUTS,2010,ES13,2,3.0
2011,NUTS,2010,ES2,1,2.368
2013,NUTS,2010,ES2,1,2.175
2015,NUTS,2010,ES2,1,2.0
2019,NUTS,2010,ES2,1,1.0
2011,NUTS,2010,ES21,2,1.802
2012,NUTS,2010,ES21,2,1.896
2013,NUTS,2010,ES21,2,1.432
2014,NUTS,2010,ES21,2,1.375
2015,NUTS,2010,ES21,2,2.0
2016,NUTS,2010,ES21,2,1.0
2017,NUTS,2010,ES21,2,1.0
2018,NUTS,2010,ES21,2,1.0
2019,NUTS,2010,ES21,2,1.0
2011,NUTS,2010,ES22,2,0.132
2015,NUTS,2010,ES22,2,0.0
2011,NUTS,2010,ES23,2,0.163
2012,NUTS,2010,ES23,2,0.206
2014,NUTS,2010,ES23,2,0.073
2015,NUTS,2010,ES23,2,0.0
2016,NUTS,2010,ES23,2,0.0
2017,NUTS,2010,ES23,2,0.0
2018,NUTS,2010,ES23,2,0.0
2011,NUTS,2010,ES24,2,0.27
2012,NUTS,2010,ES24,2,0.347
2013,NUTS,2010,ES24,2,0.211
2014,NUTS,2010,ES24,2,0.053
2015,NUTS,2010,ES24,2,0.0
2016,NUTS,2010,ES24,2,0.0
2017,NUTS,2010,ES24,2,0.0
2018,NUTS,2010,ES24,2,0.0
2011,NUTS,2010,ES3,1,6.146
2012,NUTS,2010,ES3,1,5.865
2013,NUTS,2010,ES3,1,5.247
2014,NUTS,2010,ES3,1,4.5
2015,NUTS,2010,ES3,1,5.0
2016,NUTS,2010,ES3,1,5.0
2017,NUTS,2010,ES3,1,6.0
2018,NUTS,2010,ES3,1,10.0
2019,NUTS,2010,ES3,1,15.0
2011,NUTS,2010,ES30,2,6.146
2012,NUTS,2010,ES30,2,5.865
2013,NUTS,2010,ES30,2,5.247
2014,NUTS,2010,ES30,2,4.5
2015,NUTS,2010,ES30,2,5.0
2016,NUTS,2010,ES30,2,5.0
2017,NUTS,2010,ES30,2,6.0
2018,NUTS,2010,ES30,2,10.0
2019,NUTS,2010,ES30,2,15.0
2011,NUTS,2010,ES4,1,0.807
2013,NUTS,2010,ES4,1,0.36
2014,NUTS,2010,ES4,1,0.323
2015,NUTS,2010,ES4,1,1.0
2016,NUTS,2010,ES4,1,1.0
2018,NUTS,2010,ES4,1,1.0
2019,NUTS,2010,ES4,1,1.0
2012,NUTS,2010,ES41,2,0.314
2013,NUTS,2010,ES41,2,0.228
2014,NUTS,2010,ES41,2,0.251
2015,NUTS,2010,ES41,2,0.0
2017,NUTS,2010,ES41,2,0.0
2018,NUTS,2010,ES41,2,0.0
2019,NUTS,2010,ES41,2,0.0
2013,NUTS,2010,ES42,2,0.042
2014,NUTS,2010,ES42,2,0.014
2015,NUTS,2010,ES42,2,0.0
2017,NUTS,2010,ES42,2,0.0
2011,NUTS,2010,ES43,2,0.085
2013,NUTS,2010,ES43,2,0.089
2014,NUTS,2010,ES43,2,0.058
2015,NUTS,2010,ES43,2,0.0
2016,NUTS,2010,ES43,2,0.0
2011,NUTS,2010,ES5,1,9.435
2012,NUTS,2010,ES5,1,10.077
2013,NUTS,2010,ES5,1,7.96
2014,NUTS,2010,ES5,1,9.208
2015,NUTS,2010,ES5,1,15.0
2016,NUTS,2010,ES5,1,17.0
2017,NUTS,2010,ES5,1,15.0
2018,NUTS,2010,ES5,1,18.0
2011,NUTS,2010,ES51,2,8.404
2012,NUTS,2010,ES51,2,9.199
2013,NUTS,2010,ES51,2,6.99
2014,NUTS,2010,ES51,2,8.04
2015,NUTS,2010,ES51,2,14.0
2016,NUTS,2010,ES51,2,16.0
2017,NUTS,2010,ES51,2,14.0
