year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mact
2011,NUTS,2010,NL4,1,50.338
2012,NUTS,2010,NL4,1,39.567
2011,NUTS,2010,NL41,2,69.64
2012,NUTS,2010,NL41,2,54.415
2011,NUTS,2010,NL42,2,5.733
2012,NUTS,2010,NL42,2,5.262
2011,NUTS,2010,NO,0,2.596
2012,NUTS,2010,NO,0,0.573
2011,NUTS,2010,NO0,1,2.596
2012,NUTS,2010,NO0,1,0.498
2011,NUTS,2010,NO01,2,3.078
2011,NUTS,2010,NO03,2,4.128
2011,NUTS,2010,NO06,2,11.156
2012,NUTS,2010,NO06,2,5.851
2011,NUTS,2010,NO07,2,1.368
2011,NUTS,2010,PL,0,0.19
2012,NUTS,2010,PL,0,0.125
2011,NUTS,2010,PL1,1,0.126
2012,NUTS,2010,PL1,1,0.2
2011,NUTS,2010,PL12,2,0.192
2012,NUTS,2010,PL12,2,0.3
2011,NUTS,2010,PL2,1,0.284
2012,NUTS,2010,PL2,1,0.197
2012,NUTS,2010,PL21,2,0.345
2011,NUTS,2010,PL22,2,0.477
2012,NUTS,2010,PL22,2,0.095
2011,NUTS,2010,PL3,1,0.031
2012,NUTS,2010,PL3,1,0.158
2011,NUTS,2010,PL31,2,0.093
2012,NUTS,2010,PL32,2,0.537
2011,NUTS,2010,PL4,1,0.194
2011,NUTS,2010,PL42,2,0.807
2011,NUTS,2010,PL5,1,0.616
2011,NUTS,2010,PL51,2,0.815
2012,NUTS,2010,PL6,1,0.07
2012,NUTS,2010,PL63,2,0.179
2011,NUTS,2010,PT,0,0.184
2012,NUTS,2010,PT,0,0.217
2011,NUTS,2010,PT1,1,0.193
2012,NUTS,2010,PT1,1,0.228
2012,NUTS,2010,PT11,2,0.521
2012,NUTS,2010,PT16,2,0.141
2011,NUTS,2010,PT17,2,0.703
2011,NUTS,2010,RO,0,0.14
2012,NUTS,2010,RO,0,0.127
2011,NUTS,2010,RO1,1,0.065
2011,NUTS,2010,RO11,2,0.119
2011,NUTS,2010,RO3,1,0.396
2012,NUTS,2010,RO3,1,0.459
2011,NUTS,2010,RO31,2,0.18
2012,NUTS,2010,RO31,2,0.233
2011,NUTS,2010,RO32,2,0.659
2012,NUTS,2010,RO32,2,0.732
2011,NUTS,2010,RO4,1,0.077
2011,NUTS,2010,RO42,2,0.173
2011,NUTS,2010,SE,0,3.043
2012,NUTS,2010,SE,0,4.762
2011,NUTS,2010,SE1,1,5.071
2012,NUTS,2010,SE1,1,6.167
2011,NUTS,2010,SE11,2,4.444
2012,NUTS,2010,SE11,2,6.461
2011,NUTS,2010,SE12,2,5.979
2012,NUTS,2010,SE12,2,5.753
2011,NUTS,2010,SE2,1,1.849
2012,NUTS,2010,SE2,1,4.578
2012,NUTS,2010,SE21,2,0.585
2011,NUTS,2010,SE22,2,2.735
2012,NUTS,2010,SE22,2,11.023
2011,NUTS,2010,SE23,2,1.983
2012,NUTS,2010,SE23,2,1.63
2011,NUTS,2010,SE3,1,1.423
2012,NUTS,2010,SE3,1,1.376
2011,NUTS,2010,SE31,2,2.346
2012,NUTS,2010,SE31,2,2.818
2011,NUTS,2010,SE33,2,0.948
2011,NUTS,2010,SI,0,0.981
2012,NUTS,2010,SI,0,1.974
2011,NUTS,2010,SI0,1,0.981
2012,NUTS,2010,SI0,1,1.974
