year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_f
2016,NUTS,2010,ES21,2,1.1939
2017,NUTS,2010,ES21,2,1.2931
2018,NUTS,2010,ES21,2,1.3308
2019,NUTS,2010,ES21,2,1.3095
2011,NUTS,2010,ES22,2,0.9505
2012,NUTS,2010,ES22,2,0.8498
2013,NUTS,2010,ES22,2,0.8949
2014,NUTS,2010,ES22,2,0.8076
2015,NUTS,2010,ES22,2,0.8552
2016,NUTS,2010,ES22,2,0.8837
2017,NUTS,2010,ES22,2,0.8821
2018,NUTS,2010,ES22,2,0.8867
2019,NUTS,2010,ES22,2,0.9109
2011,NUTS,2010,ES23,2,0.6142
2012,NUTS,2010,ES23,2,0.6477
2013,NUTS,2010,ES23,2,0.5776
2014,NUTS,2010,ES23,2,0.6354
2015,NUTS,2010,ES23,2,0.6282
2016,NUTS,2010,ES23,2,0.5453
2017,NUTS,2010,ES23,2,0.5963
2018,NUTS,2010,ES23,2,0.5219
2019,NUTS,2010,ES23,2,0.4992
2011,NUTS,2010,ES24,2,0.4015
2012,NUTS,2010,ES24,2,0.3936
2013,NUTS,2010,ES24,2,0.3792
2014,NUTS,2010,ES24,2,0.3824
2015,NUTS,2010,ES24,2,0.3611
2016,NUTS,2010,ES24,2,0.3795
2017,NUTS,2010,ES24,2,0.3701
2018,NUTS,2010,ES24,2,0.4044
2019,NUTS,2010,ES24,2,0.3983
2011,NUTS,2010,ES3,1,0.6529
2012,NUTS,2010,ES3,1,0.6616
2013,NUTS,2010,ES3,1,0.733
2014,NUTS,2010,ES3,1,0.7157
2015,NUTS,2010,ES3,1,0.73
2016,NUTS,2010,ES3,1,0.7151
2017,NUTS,2010,ES3,1,0.7132
2018,NUTS,2010,ES3,1,0.746
2019,NUTS,2010,ES3,1,0.7607
2011,NUTS,2010,ES30,2,0.6529
2012,NUTS,2010,ES30,2,0.6616
2013,NUTS,2010,ES30,2,0.733
2014,NUTS,2010,ES30,2,0.7157
2015,NUTS,2010,ES30,2,0.73
2016,NUTS,2010,ES30,2,0.7151
2017,NUTS,2010,ES30,2,0.7132
