year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_t
2014,NUTS,2010,ES52,2,10.0
2015,NUTS,2010,ES52,2,3.0
2016,NUTS,2010,ES52,2,4.0
2017,NUTS,2010,ES52,2,4.0
2018,NUTS,2010,ES52,2,9.0
2019,NUTS,2010,ES52,2,9.0
2011,NUTS,2010,ES53,2,2.0
2012,NUTS,2010,ES53,2,2.0
2013,NUTS,2010,ES53,2,3.0
2014,NUTS,2010,ES53,2,3.0
2015,NUTS,2010,ES53,2,2.0
2016,NUTS,2010,ES53,2,5.0
2017,NUTS,2010,ES53,2,5.0
2018,NUTS,2010,ES53,2,6.0
2011,NUTS,2010,ES6,1,24.0
2012,NUTS,2010,ES6,1,24.0
2013,NUTS,2010,ES6,1,17.0
2014,NUTS,2010,ES6,1,14.0
2015,NUTS,2010,ES6,1,18.0
2016,NUTS,2010,ES6,1,51.0
2017,NUTS,2010,ES6,1,16.0
2018,NUTS,2010,ES6,1,15.0
2019,NUTS,2010,ES6,1,15.0
2011,NUTS,2010,ES61,2,13.0
2012,NUTS,2010,ES61,2,12.0
2013,NUTS,2010,ES61,2,15.0
2014,NUTS,2010,ES61,2,13.0
2015,NUTS,2010,ES61,2,13.0
2016,NUTS,2010,ES61,2,48.0
2017,NUTS,2010,ES61,2,12.0
2018,NUTS,2010,ES61,2,12.0
2019,NUTS,2010,ES61,2,13.0
2012,NUTS,2010,ES62,2,11.0
2013,NUTS,2010,ES62,2,2.0
2014,NUTS,2010,ES62,2,2.0
2015,NUTS,2010,ES62,2,6.0
2016,NUTS,2010,ES62,2,3.0
2018,NUTS,2010,ES62,2,2.0
2019,NUTS,2010,ES62,2,2.0
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,2.0
2012,NUTS,2010,ES7,1,2.0
2013,NUTS,2010,ES7,1,1.0
2014,NUTS,2010,ES7,1,2.0
2015,NUTS,2010,ES7,1,1.0
2016,NUTS,2010,ES7,1,1.0
2017,NUTS,2010,ES7,1,1.0
2018,NUTS,2010,ES7,1,3.0
2011,NUTS,2010,ES70,2,2.0
2012,NUTS,2010,ES70,2,2.0
2013,NUTS,2010,ES70,2,1.0
2014,NUTS,2010,ES70,2,2.0
2015,NUTS,2010,ES70,2,1.0
2016,NUTS,2010,ES70,2,1.0
2017,NUTS,2010,ES70,2,1.0
2018,NUTS,2010,ES70,2,3.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,EU27_2020,7,14708.0
2012,NUTS,2010,EU27_2020,7,14714.0
2013,NUTS,2010,EU27_2020,7,10776.0
2014,NUTS,2010,EU27_2020,7,11695.0
2015,NUTS,2010,EU27_2020,7,11724.0
2016,NUTS,2010,EU27_2020,7,13256.0
2017,NUTS,2010,EU27_2020,7,12941.0
2018,NUTS,2010,EU27_2020,7,13683.0
2019,NUTS,2010,EU27_2020,7,14396.0
2020,NUTS,2010,EU27_2020,7,14823.0
2011,NUTS,2010,FI,0,460.0
2012,NUTS,2010,FI,0,399.0
2013,NUTS,2010,FI,0,406.0
2014,NUTS,2010,FI,0,441.0
2015,NUTS,2010,FI,0,429.0
2016,NUTS,2010,FI,0,456.0
2017,NUTS,2010,FI,0,454.0
