year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_emp_fte_f
2013,NUTS,2010,ES24,2,0.0002
2014,NUTS,2010,ES24,2,0.0002
2015,NUTS,2010,ES24,2,0.0009
2016,NUTS,2010,ES24,2,0.0005
2017,NUTS,2010,ES24,2,0.0005
2018,NUTS,2010,ES24,2,0.0003
2011,NUTS,2010,ES3,1,0.0025
2012,NUTS,2010,ES3,1,0.0031
2013,NUTS,2010,ES3,1,0.003
2014,NUTS,2010,ES3,1,0.0027
2015,NUTS,2010,ES3,1,0.0031
2016,NUTS,2010,ES3,1,0.0028
2017,NUTS,2010,ES3,1,0.0029
2018,NUTS,2010,ES3,1,0.0033
2019,NUTS,2010,ES3,1,0.0034
2011,NUTS,2010,ES30,2,0.0025
2012,NUTS,2010,ES30,2,0.0031
2013,NUTS,2010,ES30,2,0.003
2014,NUTS,2010,ES30,2,0.0027
2015,NUTS,2010,ES30,2,0.0031
2016,NUTS,2010,ES30,2,0.0028
2017,NUTS,2010,ES30,2,0.0029
2018,NUTS,2010,ES30,2,0.0033
2019,NUTS,2010,ES30,2,0.0034
2011,NUTS,2010,ES4,1,0.0007
2013,NUTS,2010,ES4,1,0.0003
2014,NUTS,2010,ES4,1,0.0002
2015,NUTS,2010,ES4,1,0.0005
2016,NUTS,2010,ES4,1,0.0005
2018,NUTS,2010,ES4,1,0.0005
2019,NUTS,2010,ES4,1,0.0003
2012,NUTS,2010,ES41,2,0.0006
2013,NUTS,2010,ES41,2,0.0003
2014,NUTS,2010,ES41,2,0.0004
2015,NUTS,2010,ES41,2,0.0007
2017,NUTS,2010,ES41,2,0.0008
2018,NUTS,2010,ES41,2,0.0007
2019,NUTS,2010,ES41,2,0.0004
2013,NUTS,2010,ES42,2,0.0004
2014,NUTS,2010,ES42,2,0.0001
2015,NUTS,2010,ES42,2,0.0003
2017,NUTS,2010,ES42,2,0.0
2011,NUTS,2010,ES43,2,0.0003
2013,NUTS,2010,ES43,2,0.0003
2014,NUTS,2010,ES43,2,0.0003
2015,NUTS,2010,ES43,2,0.0002
2016,NUTS,2010,ES43,2,0.0004
2011,NUTS,2010,ES5,1,0.0015
2012,NUTS,2010,ES5,1,0.0016
2013,NUTS,2010,ES5,1,0.0016
2014,NUTS,2010,ES5,1,0.0023
2015,NUTS,2010,ES5,1,0.002
2016,NUTS,2010,ES5,1,0.0029
2017,NUTS,2010,ES5,1,0.0019
2018,NUTS,2010,ES5,1,0.0023
2011,NUTS,2010,ES51,2,0.0022
2012,NUTS,2010,ES51,2,0.0024
2013,NUTS,2010,ES51,2,0.0024
2014,NUTS,2010,ES51,2,0.0036
2015,NUTS,2010,ES51,2,0.0034
2016,NUTS,2010,ES51,2,0.005
2017,NUTS,2010,ES51,2,0.0031
2018,NUTS,2010,ES51,2,0.0037
2019,NUTS,2010,ES51,2,0.0034
2011,NUTS,2010,ES52,2,0.0003
2012,NUTS,2010,ES52,2,0.0006
2013,NUTS,2010,ES52,2,0.0004
2014,NUTS,2010,ES52,2,0.0006
2015,NUTS,2010,ES52,2,0.0002
2016,NUTS,2010,ES52,2,0.0002
2017,NUTS,2010,ES52,2,0.0002
2018,NUTS,2010,ES52,2,0.0003
2019,NUTS,2010,ES52,2,0.0002
2011,NUTS,2010,ES53,2,0.0006
2012,NUTS,2010,ES53,2,0.0003
2013,NUTS,2010,ES53,2,0.0002
2014,NUTS,2010,ES53,2,0.0002
2015,NUTS,2010,ES53,2,0.0001
2016,NUTS,2010,ES53,2,0.0004
2017,NUTS,2010,ES53,2,0.0004
2018,NUTS,2010,ES53,2,0.0007
2011,NUTS,2010,ES6,1,0.0008
2012,NUTS,2010,ES6,1,0.0008
2013,NUTS,2010,ES6,1,0.0008
2014,NUTS,2010,ES6,1,0.0007
2015,NUTS,2010,ES6,1,0.0003
2016,NUTS,2010,ES6,1,0.0008
2017,NUTS,2010,ES6,1,0.0005
2018,NUTS,2010,ES6,1,0.0004
2019,NUTS,2010,ES6,1,0.0001
2011,NUTS,2010,ES61,2,0.0006
2012,NUTS,2010,ES61,2,0.0006
2013,NUTS,2010,ES61,2,0.0009
2014,NUTS,2010,ES61,2,0.0008
2015,NUTS,2010,ES61,2,0.0003
2016,NUTS,2010,ES61,2,0.0008
2017,NUTS,2010,ES61,2,0.0005
2018,NUTS,2010,ES61,2,0.0004
2019,NUTS,2010,ES61,2,0.0002
2012,NUTS,2010,ES62,2,0.0016
2013,NUTS,2010,ES62,2,0.0003
2014,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES62,2,0.0004
2016,NUTS,2010,ES62,2,0.0004
2018,NUTS,2010,ES62,2,0.0003
2019,NUTS,2010,ES62,2,0.0
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0001
2012,NUTS,2010,ES7,1,0.0001
2013,NUTS,2010,ES7,1,0.0001
2014,NUTS,2010,ES7,1,0.0001
2015,NUTS,2010,ES7,1,0.0001
2016,NUTS,2010,ES7,1,0.0001
2017,NUTS,2010,ES7,1,0.0001
2018,NUTS,2010,ES7,1,0.0005
2011,NUTS,2010,ES70,2,0.0001
2012,NUTS,2010,ES70,2,0.0001
2013,NUTS,2010,ES70,2,0.0001
2014,NUTS,2010,ES70,2,0.0001
2015,NUTS,2010,ES70,2,0.0001
2016,NUTS,2010,ES70,2,0.0001
2017,NUTS,2010,ES70,2,0.0001
2018,NUTS,2010,ES70,2,0.0005
2011,NUTS,2010,FR,0,0.0099
2012,NUTS,2010,FR,0,0.011
2013,NUTS,2010,FR,0,0.0112
2014,NUTS,2010,FR,0,0.0121
2016,NUTS,2010,FR,0,0.0156
2017,NUTS,2010,FR,0,0.0157
2011,NUTS,2010,HR,0,0.0005
2011,NUTS,2010,HR0,1,0.0005
2011,NUTS,2010,HR03,2,0.0016
2011,NUTS,2010,HR04,2,0.0
2012,NUTS,2010,HR04,2,0.0
2013,NUTS,2010,HR04,2,0.0
2014,NUTS,2010,HR04,2,0.0
2011,NUTS,2010,IS,0,0.0364
2011,NUTS,2010,IT,0,0.0209
2012,NUTS,2010,IT,0,0.022
2013,NUTS,2010,IT,0,0.0244
2014,NUTS,2010,IT,0,0.0253
2015,NUTS,2010,IT,0,0.0281
2016,NUTS,2010,IT,0,0.0285
2017,NUTS,2010,IT,0,0.0248
2018,NUTS,2010,IT,0,0.0241
2019,NUTS,2010,IT,0,0.0277
2011,NUTS,2010,ITC,1,0.0364
2012,NUTS,2010,ITC,1,0.039
2013,NUTS,2010,ITC,1,0.0431
2014,NUTS,2010,ITC,1,0.0387
2015,NUTS,2010,ITC,1,0.0422
2016,NUTS,2010,ITC,1,0.0457
2017,NUTS,2010,ITC,1,0.032
2018,NUTS,2010,ITC,1,0.0326
2019,NUTS,2010,ITC,1,0.0376
2011,NUTS,2010,ITC1,2,0.0184
2012,NUTS,2010,ITC1,2,0.0318
2013,NUTS,2010,ITC1,2,0.0367
2014,NUTS,2010,ITC1,2,0.037
2015,NUTS,2010,ITC1,2,0.0382
2016,NUTS,2010,ITC1,2,0.0359
2017,NUTS,2010,ITC1,2,0.0298
2018,NUTS,2010,ITC1,2,0.0323
2019,NUTS,2010,ITC1,2,0.0371
2011,NUTS,2010,ITC2,2,0.0274
2012,NUTS,2010,ITC2,2,0.0386
