year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_p_mact
2011,NUTS,2010,NL32,2,223.963
2012,NUTS,2010,NL32,2,149.569
2011,NUTS,2010,NL33,2,267.185
2012,NUTS,2010,NL33,2,230.871
2011,NUTS,2010,NL34,2,148.459
2012,NUTS,2010,NL34,2,110.38
2011,NUTS,2010,NL4,1,1023.426
2012,NUTS,2010,NL4,1,753.412
2011,NUTS,2010,NL41,2,1253.223
2012,NUTS,2010,NL41,2,927.743
2011,NUTS,2010,NL42,2,492.315
2012,NUTS,2010,NL42,2,350.658
2011,NUTS,2010,NO,0,185.895
2012,NUTS,2010,NO,0,151.349
2011,NUTS,2010,NO0,1,184.83
2012,NUTS,2010,NO0,1,149.326
2011,NUTS,2010,NO01,2,230.245
2012,NUTS,2010,NO01,2,221.115
2011,NUTS,2010,NO02,2,59.733
2012,NUTS,2010,NO02,2,26.586
2011,NUTS,2010,NO03,2,132.921
2012,NUTS,2010,NO03,2,110.271
2011,NUTS,2010,NO04,2,260.367
2012,NUTS,2010,NO04,2,204.378
2011,NUTS,2010,NO05,2,134.507
2012,NUTS,2010,NO05,2,90.919
2011,NUTS,2010,NO06,2,405.42
2012,NUTS,2010,NO06,2,275.627
2011,NUTS,2010,NO07,2,36.593
2012,NUTS,2010,NO07,2,31.972
2011,NUTS,2010,PL,0,22.282
2012,NUTS,2010,PL,0,24.635
2011,NUTS,2010,PL1,1,29.625
2012,NUTS,2010,PL1,1,41.259
2011,NUTS,2010,PL11,2,22.79
2012,NUTS,2010,PL11,2,35.712
2011,NUTS,2010,PL12,2,33.172
2012,NUTS,2010,PL12,2,44.052
2011,NUTS,2010,PL2,1,31.409
2012,NUTS,2010,PL2,1,27.497
2011,NUTS,2010,PL21,2,54.95
2012,NUTS,2010,PL21,2,42.187
2011,NUTS,2010,PL22,2,15.43
2012,NUTS,2010,PL22,2,17.394
2011,NUTS,2010,PL3,1,11.29
2012,NUTS,2010,PL3,1,7.856
2011,NUTS,2010,PL31,2,17.995
2012,NUTS,2010,PL31,2,6.115
2011,NUTS,2010,PL32,2,6.78
2012,NUTS,2010,PL32,2,13.1
2011,NUTS,2010,PL33,2,11.825
2012,NUTS,2010,PL33,2,7.454
2011,NUTS,2010,PL34,2,4.834
2012,NUTS,2010,PL34,2,2.375
2011,NUTS,2010,PL4,1,16.942
2012,NUTS,2010,PL4,1,22.822
