year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_total_f
2011,NUTS,2010,EL61,2,1.9624
2011,NUTS,2010,EL62,2,0.6852
2011,NUTS,2010,EL63,2,1.309
2011,NUTS,2010,EL64,2,0.3441
2011,NUTS,2010,EL65,2,0.5313
2011,NUTS,2010,ES,0,1.3458
2012,NUTS,2010,ES,0,1.289
2013,NUTS,2010,ES,0,1.2615
2014,NUTS,2010,ES,0,1.2698
2015,NUTS,2010,ES,0,1.3082
2016,NUTS,2010,ES,0,1.3176
2017,NUTS,2010,ES,0,1.379
2018,NUTS,2010,ES,0,1.4346
2019,NUTS,2010,ES,0,1.4669
2011,NUTS,2010,ES1,1,1.1515
2012,NUTS,2010,ES1,1,1.1495
2013,NUTS,2010,ES1,1,1.1672
2014,NUTS,2010,ES1,1,1.1275
2015,NUTS,2010,ES1,1,1.1537
2016,NUTS,2010,ES1,1,1.1434
2017,NUTS,2010,ES1,1,1.2194
2018,NUTS,2010,ES1,1,1.2494
2019,NUTS,2010,ES1,1,1.3365
2011,NUTS,2010,ES11,2,1.1387
2012,NUTS,2010,ES11,2,1.1677
2013,NUTS,2010,ES11,2,1.1927
2014,NUTS,2010,ES11,2,1.1621
2015,NUTS,2010,ES11,2,1.1886
2016,NUTS,2010,ES11,2,1.1857
2017,NUTS,2010,ES11,2,1.275
2018,NUTS,2010,ES11,2,1.3324
2019,NUTS,2010,ES11,2,1.4236
2011,NUTS,2010,ES12,2,1.1324
2012,NUTS,2010,ES12,2,1.0755
2013,NUTS,2010,ES12,2,1.1226
2014,NUTS,2010,ES12,2,1.0318
2015,NUTS,2010,ES12,2,1.0312
2016,NUTS,2010,ES12,2,0.9938
2017,NUTS,2010,ES12,2,1.0802
2018,NUTS,2010,ES12,2,0.9896
2019,NUTS,2010,ES12,2,1.1108
2011,NUTS,2010,ES13,2,1.2474
2012,NUTS,2010,ES13,2,1.1934
2013,NUTS,2010,ES13,2,1.1258
2014,NUTS,2010,ES13,2,1.1349
2015,NUTS,2010,ES13,2,1.206
2016,NUTS,2010,ES13,2,1.2095
2017,NUTS,2010,ES13,2,1.2005
2018,NUTS,2010,ES13,2,1.3088
2019,NUTS,2010,ES13,2,1.3172
2011,NUTS,2010,ES2,1,1.7631
2012,NUTS,2010,ES2,1,1.7942
2013,NUTS,2010,ES2,1,1.7788
2014,NUTS,2010,ES2,1,1.7969
2015,NUTS,2010,ES2,1,1.8559
2016,NUTS,2010,ES2,1,1.8404
2017,NUTS,2010,ES2,1,1.9273
2018,NUTS,2010,ES2,1,1.9926
2019,NUTS,2010,ES2,1,1.9793
2011,NUTS,2010,ES21,2,2.0186
