year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_act_fte_t
2013,NUTS,2010,EL52,2,0.007
2015,NUTS,2010,EL52,2,0.0075
2017,NUTS,2010,EL52,2,0.0026
2019,NUTS,2010,EL52,2,0.0057
2011,NUTS,2010,EL53,2,0.0046
2013,NUTS,2010,EL53,2,0.004
2015,NUTS,2010,EL53,2,0.0021
2017,NUTS,2010,EL53,2,0.0022
2019,NUTS,2010,EL53,2,0.0046
2011,NUTS,2010,EL54,2,0.0011
2013,NUTS,2010,EL54,2,0.0011
2015,NUTS,2010,EL54,2,0.0011
2017,NUTS,2010,EL54,2,0.0042
2019,NUTS,2010,EL54,2,0.0025
2011,NUTS,2010,EL6,1,0.0003
2013,NUTS,2010,EL6,1,0.0007
2015,NUTS,2010,EL6,1,0.0006
2017,NUTS,2010,EL6,1,0.001
2019,NUTS,2010,EL6,1,0.0015
2011,NUTS,2010,EL61,2,0.0003
2013,NUTS,2010,EL61,2,0.0003
2015,NUTS,2010,EL61,2,0.0003
2017,NUTS,2010,EL61,2,0.0009
2019,NUTS,2010,EL61,2,0.0006
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.0004
2015,NUTS,2010,EL63,2,0.0
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.0006
2013,NUTS,2010,EL64,2,0.0013
2015,NUTS,2010,EL64,2,0.0012
2017,NUTS,2010,EL64,2,0.0013
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.0007
2013,NUTS,2010,EL65,2,0.0011
2015,NUTS,2010,EL65,2,0.0011
2017,NUTS,2010,EL65,2,0.0022
2019,NUTS,2010,EL65,2,0.0066
2011,NUTS,2010,ES,0,0.001
2012,NUTS,2010,ES,0,0.001
2013,NUTS,2010,ES,0,0.0009
2014,NUTS,2010,ES,0,0.0009
2015,NUTS,2010,ES,0,0.001
2016,NUTS,2010,ES,0,0.0015
2017,NUTS,2010,ES,0,0.0011
2018,NUTS,2010,ES,0,0.0015
2019,NUTS,2010,ES,0,0.0014
2020,NUTS,2010,ES,0,0.0015
2011,NUTS,2010,ES1,1,0.0014
2012,NUTS,2010,ES1,1,0.0012
2013,NUTS,2010,ES1,1,0.0007
2015,NUTS,2010,ES1,1,0.0006
2016,NUTS,2010,ES1,1,0.0018
2017,NUTS,2010,ES1,1,0.0018
2018,NUTS,2010,ES1,1,0.0035
2014,NUTS,2010,ES11,2,0.0002
2015,NUTS,2010,ES11,2,0.0002
2016,NUTS,2010,ES11,2,0.0021
2017,NUTS,2010,ES11,2,0.0023
2018,NUTS,2010,ES11,2,0.0027
2019,NUTS,2010,ES11,2,0.0026
2012,NUTS,2010,ES12,2,0.0008
2013,NUTS,2010,ES12,2,0.0004
2014,NUTS,2010,ES12,2,0.0004
2015,NUTS,2010,ES12,2,0.0006
2016,NUTS,2010,ES12,2,0.0005
2017,NUTS,2010,ES12,2,0.0004
2018,NUTS,2010,ES12,2,0.0008
2019,NUTS,2010,ES12,2,0.0005
2011,NUTS,2010,ES13,2,0.0087
2015,NUTS,2010,ES13,2,0.0024
2016,NUTS,2010,ES13,2,0.0023
2017,NUTS,2010,ES13,2,0.0019
2018,NUTS,2010,ES13,2,0.0115
2011,NUTS,2010,ES2,1,0.001
2013,NUTS,2010,ES2,1,0.0011
2015,NUTS,2010,ES2,1,0.0009
2019,NUTS,2010,ES2,1,0.0007
2011,NUTS,2010,ES21,2,0.0011
2012,NUTS,2010,ES21,2,0.0018
2013,NUTS,2010,ES21,2,0.0014
2014,NUTS,2010,ES21,2,0.0011
2015,NUTS,2010,ES21,2,0.0011
2016,NUTS,2010,ES21,2,0.0018
2017,NUTS,2010,ES21,2,0.0013
2018,NUTS,2010,ES21,2,0.0012
2019,NUTS,2010,ES21,2,0.0013
2011,NUTS,2010,ES22,2,0.0012
2015,NUTS,2010,ES22,2,0.0008
2011,NUTS,2010,ES23,2,0.0013
2012,NUTS,2010,ES23,2,0.0024
2014,NUTS,2010,ES23,2,0.0011
2015,NUTS,2010,ES23,2,0.0011
2016,NUTS,2010,ES23,2,0.0005
2017,NUTS,2010,ES23,2,0.0006
2018,NUTS,2010,ES23,2,0.0005
2011,NUTS,2010,ES24,2,0.0005
2012,NUTS,2010,ES24,2,0.0005
2013,NUTS,2010,ES24,2,0.0004
2014,NUTS,2010,ES24,2,0.0002
2015,NUTS,2010,ES24,2,0.0005
2016,NUTS,2010,ES24,2,0.0004
2017,NUTS,2010,ES24,2,0.0004
2018,NUTS,2010,ES24,2,0.0002
2011,NUTS,2010,ES3,1,0.002
2012,NUTS,2010,ES3,1,0.0022
2013,NUTS,2010,ES3,1,0.0021
2014,NUTS,2010,ES3,1,0.0017
2015,NUTS,2010,ES3,1,0.0021
2016,NUTS,2010,ES3,1,0.0017
2017,NUTS,2010,ES3,1,0.0018
2018,NUTS,2010,ES3,1,0.0024
2019,NUTS,2010,ES3,1,0.0024
2011,NUTS,2010,ES30,2,0.002
2012,NUTS,2010,ES30,2,0.0022
2013,NUTS,2010,ES30,2,0.0021
2014,NUTS,2010,ES30,2,0.0017
2015,NUTS,2010,ES30,2,0.0021
2016,NUTS,2010,ES30,2,0.0017
2017,NUTS,2010,ES30,2,0.0018
2018,NUTS,2010,ES30,2,0.0024
2019,NUTS,2010,ES30,2,0.0024
2011,NUTS,2010,ES4,1,0.0006
