year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_fte_f
2017,NUTS,2010,ES13,2,0.1809
2018,NUTS,2010,ES13,2,0.1918
2011,NUTS,2010,ES2,1,0.3449
2013,NUTS,2010,ES2,1,0.3245
2019,NUTS,2010,ES2,1,0.3566
2011,NUTS,2010,ES21,2,0.2839
2012,NUTS,2010,ES21,2,0.3183
2013,NUTS,2010,ES21,2,0.3121
2014,NUTS,2010,ES21,2,0.3338
2015,NUTS,2010,ES21,2,0.3413
2016,NUTS,2010,ES21,2,0.3398
2017,NUTS,2010,ES21,2,0.3585
2018,NUTS,2010,ES21,2,0.3598
2019,NUTS,2010,ES21,2,0.3558
2011,NUTS,2010,ES22,2,0.5194
2011,NUTS,2010,ES23,2,0.2402
2012,NUTS,2010,ES23,2,0.2824
2014,NUTS,2010,ES23,2,0.3024
2015,NUTS,2010,ES23,2,0.3232
2016,NUTS,2010,ES23,2,0.3747
2017,NUTS,2010,ES23,2,0.2914
2018,NUTS,2010,ES23,2,0.2992
2011,NUTS,2010,ES24,2,0.3897
2012,NUTS,2010,ES24,2,0.3379
2013,NUTS,2010,ES24,2,0.297
2014,NUTS,2010,ES24,2,0.2787
2015,NUTS,2010,ES24,2,0.2928
2016,NUTS,2010,ES24,2,0.2978
2017,NUTS,2010,ES24,2,0.3106
2018,NUTS,2010,ES24,2,0.3244
2011,NUTS,2010,ES3,1,0.2648
2012,NUTS,2010,ES3,1,0.2458
2013,NUTS,2010,ES3,1,0.25
2014,NUTS,2010,ES3,1,0.259
2015,NUTS,2010,ES3,1,0.2601
2016,NUTS,2010,ES3,1,0.2773
2017,NUTS,2010,ES3,1,0.2881
2018,NUTS,2010,ES3,1,0.3077
2019,NUTS,2010,ES3,1,0.3568
2011,NUTS,2010,ES30,2,0.2648
2012,NUTS,2010,ES30,2,0.2458
2013,NUTS,2010,ES30,2,0.25
2014,NUTS,2010,ES30,2,0.259
2015,NUTS,2010,ES30,2,0.2601
2016,NUTS,2010,ES30,2,0.2773
2017,NUTS,2010,ES30,2,0.2881
2018,NUTS,2010,ES30,2,0.3077
2019,NUTS,2010,ES30,2,0.3568
2011,NUTS,2010,ES4,1,0.2093
2013,NUTS,2010,ES4,1,0.1868
2014,NUTS,2010,ES4,1,0.1892
2015,NUTS,2010,ES4,1,0.1963
2016,NUTS,2010,ES4,1,0.2096
2018,NUTS,2010,ES4,1,0.2175
2019,NUTS,2010,ES4,1,0.2356
2011,NUTS,2010,ES41,2,0.3385
2012,NUTS,2010,ES41,2,0.3168
2013,NUTS,2010,ES41,2,0.3179
2014,NUTS,2010,ES41,2,0.3155
2015,NUTS,2010,ES41,2,0.3255
2016,NUTS,2010,ES41,2,0.3512
2017,NUTS,2010,ES41,2,0.356
2018,NUTS,2010,ES41,2,0.3652
2019,NUTS,2010,ES41,2,0.3752
2011,NUTS,2010,ES42,2,0.0738
2012,NUTS,2010,ES42,2,0.0608
2013,NUTS,2010,ES42,2,0.0464
2014,NUTS,2010,ES42,2,0.0535
2015,NUTS,2010,ES42,2,0.0619
2017,NUTS,2010,ES42,2,0.074
2011,NUTS,2010,ES43,2,0.1651
2013,NUTS,2010,ES43,2,0.153
2014,NUTS,2010,ES43,2,0.157
2015,NUTS,2010,ES43,2,0.1559
2011,NUTS,2010,ES5,1,0.2415
2012,NUTS,2010,ES5,1,0.237
2013,NUTS,2010,ES5,1,0.2321
2014,NUTS,2010,ES5,1,0.2376
2015,NUTS,2010,ES5,1,0.2375
2016,NUTS,2010,ES5,1,0.249
2017,NUTS,2010,ES5,1,0.2561
2018,NUTS,2010,ES5,1,0.2478
2011,NUTS,2010,ES51,2,0.2395
2012,NUTS,2010,ES51,2,0.2389
2013,NUTS,2010,ES51,2,0.2397
2014,NUTS,2010,ES51,2,0.2447
2015,NUTS,2010,ES51,2,0.2479
2016,NUTS,2010,ES51,2,0.2654
2017,NUTS,2010,ES51,2,0.2688
2018,NUTS,2010,ES51,2,0.2522
2019,NUTS,2010,ES51,2,0.2552
2011,NUTS,2010,ES52,2,0.2642
2012,NUTS,2010,ES52,2,0.251
2013,NUTS,2010,ES52,2,0.2362
2014,NUTS,2010,ES52,2,0.241
2015,NUTS,2010,ES52,2,0.2441
2016,NUTS,2010,ES52,2,0.2418
2017,NUTS,2010,ES52,2,0.2517
2018,NUTS,2010,ES52,2,0.2529
2019,NUTS,2010,ES52,2,0.27
2011,NUTS,2010,ES53,2,0.1618
2012,NUTS,2010,ES53,2,0.1695
2013,NUTS,2010,ES53,2,0.1665
2014,NUTS,2010,ES53,2,0.1785
2015,NUTS,2010,ES53,2,0.1476
2016,NUTS,2010,ES53,2,0.1746
2017,NUTS,2010,ES53,2,0.1919
2018,NUTS,2010,ES53,2,0.2011
2011,NUTS,2010,ES6,1,0.224
2012,NUTS,2010,ES6,1,0.2125
2013,NUTS,2010,ES6,1,0.1988
2014,NUTS,2010,ES6,1,0.1899
2015,NUTS,2010,ES6,1,0.198
2016,NUTS,2010,ES6,1,0.1945
2017,NUTS,2010,ES6,1,0.2125
2018,NUTS,2010,ES6,1,0.2233
2019,NUTS,2010,ES6,1,0.2261
2011,NUTS,2010,ES61,2,0.197
2012,NUTS,2010,ES61,2,0.1882
2013,NUTS,2010,ES61,2,0.1731
2014,NUTS,2010,ES61,2,0.1649
2015,NUTS,2010,ES61,2,0.1705
2016,NUTS,2010,ES61,2,0.1696
2017,NUTS,2010,ES61,2,0.1893
2018,NUTS,2010,ES61,2,0.2001
2019,NUTS,2010,ES61,2,0.2012
2011,NUTS,2010,ES62,2,0.3923
2012,NUTS,2010,ES62,2,0.3669
2013,NUTS,2010,ES62,2,0.3611
2014,NUTS,2010,ES62,2,0.3466
2015,NUTS,2010,ES62,2,0.379
2016,NUTS,2010,ES62,2,0.3539
2018,NUTS,2010,ES62,2,0.362
2019,NUTS,2010,ES62,2,0.3743
2011,NUTS,2010,ES63,2,0.0309
2011,NUTS,2010,ES64,2,0.0568
2011,NUTS,2010,ES7,1,0.1307
2012,NUTS,2010,ES7,1,0.1315
2013,NUTS,2010,ES7,1,0.1207
2014,NUTS,2010,ES7,1,0.1222
2015,NUTS,2010,ES7,1,0.1028
2016,NUTS,2010,ES7,1,0.1127
2017,NUTS,2010,ES7,1,0.1168
2018,NUTS,2010,ES7,1,0.1207
2011,NUTS,2010,ES70,2,0.1307
2012,NUTS,2010,ES70,2,0.1315
2013,NUTS,2010,ES70,2,0.1207
2014,NUTS,2010,ES70,2,0.1222
2015,NUTS,2010,ES70,2,0.1028
2016,NUTS,2010,ES70,2,0.1127
2017,NUTS,2010,ES70,2,0.1168
2018,NUTS,2010,ES70,2,0.1207
2011,NUTS,2010,FR,0,0.1743
2012,NUTS,2010,FR,0,0.1751
2013,NUTS,2010,FR,0,0.1736
2014,NUTS,2010,FR,0,0.1846
2016,NUTS,2010,FR,0,0.2244
2017,NUTS,2010,FR,0,0.2281
2011,NUTS,2010,HR,0,0.2095
2012,NUTS,2010,HR,0,0.2109
2013,NUTS,2010,HR,0,0.2128
