year,region_type,region_year_spec,region_id,region_level,medrxiv_count
2020,NUTS,2016,BE221,3,13
2020,NUTS,2016,BE23,2,33
2020,NUTS,2016,BE234,3,33
2020,NUTS,2016,BE24,2,9
2020,NUTS,2016,BE241,3,5
2020,NUTS,2016,BE242,3,4
2020,NUTS,2016,BE3,1,33
2020,NUTS,2016,BE31,2,11
2020,NUTS,2016,BE310,3,11
2020,NUTS,2016,BE32,2,10
2020,NUTS,2016,BE323,3,10
2020,NUTS,2016,BE33,2,10
2020,NUTS,2016,BE332,3,10
2020,NUTS,2016,BE35,2,2
2020,NUTS,2016,BE352,3,2
2020,NUTS,2016,BG,0,12
2020,NUTS,2016,BG4,1,12
2020,NUTS,2016,BG41,2,12
2020,NUTS,2016,BG411,3,12
2020,NUTS,2016,CH,0,479
2020,NUTS,2016,CH0,1,479
2020,NUTS,2016,CH01,2,193
2020,NUTS,2016,CH011,3,73
2020,NUTS,2016,CH013,3,120
2020,NUTS,2016,CH02,2,91
2020,NUTS,2016,CH021,3,85
2020,NUTS,2016,CH022,3,2
2020,NUTS,2016,CH024,3,3
2020,NUTS,2016,CH025,3,1
2020,NUTS,2016,CH03,2,46
2020,NUTS,2016,CH031,3,44
2020,NUTS,2016,CH033,3,2
2020,NUTS,2016,CH04,2,138
2020,NUTS,2016,CH040,3,138
2020,NUTS,2016,CH05,2,11
2020,NUTS,2016,CH055,3,11
2020,NUTS,2016,CY,0,25
2020,NUTS,2016,CY0,1,25
2020,NUTS,2016,CY00,2,25
2020,NUTS,2016,CY000,3,25
2020,NUTS,2016,CZ,0,26
2020,NUTS,2016,CZ0,1,26
2020,NUTS,2016,CZ01,2,20
2020,NUTS,2016,CZ010,3,20
2020,NUTS,2016,CZ04,2,1
2020,NUTS,2016,CZ042,3,1
2020,NUTS,2016,CZ06,2,4
2020,NUTS,2016,CZ064,3,4
2020,NUTS,2016,CZ07,2,1
2020,NUTS,2016,CZ071,3,1
2020,NUTS,2016,DE,0,908
2020,NUTS,2016,DE1,1,137
2020,NUTS,2016,DE11,2,5
2020,NUTS,2016,DE111,3,5
2020,NUTS,2016,DE12,2,72
2020,NUTS,2016,DE122,3,5
2020,NUTS,2016,DE125,3,64
2020,NUTS,2016,DE126,3,3
2020,NUTS,2016,DE13,2,32
2020,NUTS,2016,DE131,3,31
2020,NUTS,2016,DE138,3,1
2020,NUTS,2016,DE14,2,28
2020,NUTS,2016,DE142,3,17
2020,NUTS,2016,DE144,3,11
2020,NUTS,2016,DE2,1,180
2020,NUTS,2016,DE21,2,139
2020,NUTS,2016,DE212,3,139
2020,NUTS,2016,DE23,2,8
2020,NUTS,2016,DE232,3,8
2020,NUTS,2016,DE24,2,2
2020,NUTS,2016,DE241,3,1
2020,NUTS,2016,DE242,3,1
2020,NUTS,2016,DE25,2,16
2020,NUTS,2016,DE252,3,16
2020,NUTS,2016,DE26,2,8
2020,NUTS,2016,DE263,3,8
2020,NUTS,2016,DE27,2,7
2020,NUTS,2016,DE271,3,7
2020,NUTS,2016,DE3,1,148
2020,NUTS,2016,DE30,2,148
2020,NUTS,2016,DE300,3,148
2020,NUTS,2016,DE4,1,15
2020,NUTS,2016,DE40,2,15
2020,NUTS,2016,DE402,3,1
2020,NUTS,2016,DE404,3,14
2020,NUTS,2016,DE5,1,3
2020,NUTS,2016,DE50,2,3
2020,NUTS,2016,DE501,3,3
2020,NUTS,2016,DE6,1,40
2020,NUTS,2016,DE60,2,40
2020,NUTS,2016,DE600,3,40
2020,NUTS,2016,DE7,1,45
2020,NUTS,2016,DE71,2,28
2020,NUTS,2016,DE712,3,27
2020,NUTS,2016,DE71C,3,1
2020,NUTS,2016,DE72,2,8
2020,NUTS,2016,DE721,3,2
2020,NUTS,2016,DE724,3,6
2020,NUTS,2016,DE73,2,9
2020,NUTS,2016,DE731,3,9
2020,NUTS,2016,DE8,1,16
2020,NUTS,2016,DE80,2,16
2020,NUTS,2016,DE803,3,14
2020,NUTS,2016,DE80N,3,2
2020,NUTS,2016,DE9,1,45
2020,NUTS,2016,DE91,2,15
2020,NUTS,2016,DE91C,3,15
2020,NUTS,2016,DE92,2,27
2020,NUTS,2016,DE929,3,27
2020,NUTS,2016,DE94,2,3
2020,NUTS,2016,DE943,3,3
2020,NUTS,2016,DEA,1,158
2020,NUTS,2016,DEA1,2,19
2020,NUTS,2016,DEA13,3,18
2020,NUTS,2016,DEA1A,3,1
2020,NUTS,2016,DEA2,2,92
2020,NUTS,2016,DEA22,3,52
2020,NUTS,2016,DEA23,3,22
2020,NUTS,2016,DEA26,3,4
2020,NUTS,2016,DEA2B,3,1
2020,NUTS,2016,DEA2C,3,1
2020,NUTS,2016,DEA2D,3,12
2020,NUTS,2016,DEA3,2,25
2020,NUTS,2016,DEA33,3,25
